Party_Name,Total_Tons,Record_Count,Avg_Tons
"PMI NORTEAMERICA SA DE CV
777 NORTH ELDRIDGE PKWY SUITE 800, HOUSTON, TX 77079, ATTN CHARLES CUTTER",1382385.0,17,81316.76470588235
"DELAWARE CITY REFINING CO. LLC
4550 WRANGLE RD, DELAWARE CITYDE 19706, US",1354223.71,41,33029.846585365856
"NEW FORTRESS ENERGY
954 PONCE DE LEON SUITE 406 SAN, JUAN PR 00907 PUERTO RICO",1235736.99,139,8890.19417266187
"MARATHON CARSON REFINERY
1801 E SEPULVEDA BLVD CARSON CA, 90745",1228840.9300000002,10,122884.09300000002
"PAULSBORO REFINING COMPANY
800 BILLINGSPORT ROAD, PAULSBORONJ 08066, US, TE856-224-6090",1148837.65,26,44186.063461538455
"FREEPOINT COMMODITIES LLC
58 COMMERCE ROAD, STAMFORD, CT 06902",1132416.03,62,18264.774677419355
"MONROE ENERGY LLC
4101 POST RD, TRAINER, PA 19061",1112282.0,21,52965.80952380953
"MONROE ENERGY LLC
4101 POST ROAD TRAINER PA 19061 610, 364 8000",1070012.7,24,44583.862499999996
"CARVER SAND & GRAVEL SE, LLC
1400 PIERSIDE STREET, BUILDING 190, SUITE D, CHARLESTON SC US",1018565.11,23,44285.43956521739
"MITSUI & CO, USA INC.
200 Park Avenue, New York, New York, 10166, United States",999290.0,2,499645.0
"MARATHON PETROLUEM  COMPANY LP
1801 E SEPULVEDA B LVD, CARSON, CA 90745, CARSON REFINERY",961010.01,10,96101.001
"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY, SUITE 800, HOUSTON TX77092 US",943974.0,21,44951.142857142855
"BDP INTERNATIONAL NV
BRADERIJSTRAAT 11, ANTWERP B-2040, BELGIUM, TEL: 32345789",924876.04,2,462438.02
"DELAWARE CITY REFINING COMPANY
4550 WRANGLE RD, DELAWARE CITY, DELAWARE CITY DE 19706 US",898004.0,26,34538.61538461538
"GLACIER NORTHWEST, INC.
5975 EAST MARGINAL WAY, SOUTH, SEATTLE, WA 98134 U.S.A., TEL: 1-626-852-6203",891676.0,32,27864.875
"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US",880176.63,59,14918.247966101695
"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT RD, PO BOX 467, COLUMBUS, MS 39703",878808.0,23,38209.04347826087
"JAIME MADURO
US CUSTOMER BROKER, P.O.BOX 9022947  PHONE 787-707-1863, SAN JUAN, P.R. 00902",867530.0,3,289176.6666666667
"MONROE ENERGY LLC
4101 POST ROAD, TRAINER, PA 19061",864850.31,17,50873.547647058826
"MONROE ENERGY LLC
4101 POST ROAD TRAINER PA 19061",827938.44,16,51746.1525
"EASTERN SALT COMPANY INC.
134 MIDDLE STREET, SUITE 210, LOWELL, MA  01852, ATTN: MS. SHELAGH MAHONEY",826852.0,19,43518.52631578947
"CSC SUGAR LLC
33 RIVERSIDE AVE., WESTPORT, CONNECTICUT 06880",825460.1,6,137576.68333333332
"GEODIS WILSON USA
75 NORTHFIELD AVE., EDISON, NJ 08837, VERONICA COHEN - 732-623-6621",796296.0,2,398148.0
"PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORO, NJ, 08066",793184.12,12,66098.67666666667
"BAERE LOGISTICS LLC
350 5TH AVENUE, SUITE 6430, NEW YORK, NEW YORK 10118",774838.0,24,32284.916666666668
"AM/NS CALVERT LLC
1 THYSSENKRUPP DRIVE, P.O. BOX 456, CALVERT AL, 36513",724655.0,15,48310.333333333336
"FERROSOURCE LLC
27 UNION SQ W 300, NEW YORK, NY 10003",708705.01,4,177176.2525
"PMI NORTEAMERICA SA DE CV
777 NORTH ELDRIDGE PKWY, SUITE 800, HOUSTON, TX, US, 77079, TE713-567-018",706256.8,9,78472.97777777778
"FOUR BELLS RESOURCES, INC
7TH FL CAPITAL PLAZA BLDG, SN,, ROBERTO MOTTA A CUIDAD, PANAMA",700320.0,2,350160.0
"PURAGLOBE SYNTAINCIS LLC
4420 PENDOLA POINT ROAD, TAMPA, FL 33619, TEL: 001 813-247-1754 EXT 2302",697746.0,2,348873.0
"PAULSBORO REFINING COMPANY
800 BILLINGS ROAD, PAULSBORO, NJ 08066",690937.1799999999,10,69093.718
"HOUSTON REFINING LP
1221 MCKINNEY PO BOX 3646, HOUSTON, TX 77010",682627.14,9,75847.46
"CIRCON ENVIRONMENTAL
10020 BAYPORT BLVD, PASADENA, TX 77507",681000.0,14,48642.857142857145
"MONROE ENERGY LLC
4101 POST RD, TRAINER PA19061 US",675208.0,22,30691.272727272728
"MONROE ENERGY LLC
4101 POST ROAD, TRAINER, PA 19061, TEL: 610-364-8000",666288.0,23,28969.043478260868
"PMI NORTEAMERICA SA DE CV
777 NORTH ELDRIDGE PKWY SUITE 800, HOUSTON, TX 77079",653890.36,8,81736.295
"BAERE LOGISTICS LLC
363 7TH AVENUE FL 22, NEW YORK, NEW YORK 10001",651734.0,18,36207.444444444445
"ARGOS USA LLC
C3015 WINDWARD PLAZA DR, ALPHARETTA, GA. 30005",618978.0,13,47613.692307692305
"PMI NORTHAMERICA SA DE CV
777 NORTH ELDRIDGE PARKWAY, SUITE 800, HOUSTON TX USA 77079",608368.0,8,76046.0
"DELAWARE CITY REFINING COMPANY
4550 WRANGLE RD, DELAWARE CITY, DE 19706",584472.84,20,29223.642
"IDEMITSU APOLLO CORPORATION
1831 16TH STREET, SACRAMENTO CA95811 US",568213.0,17,33424.294117647056
"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, US, TE251-287-8715",561161.16,80,7014.5145
"ALCOTRA NORTH AMERICA INC.
2603 AUGUSTA DR, HOUSTON, TX 77057",559116.2,2,279558.1
"CITROSUCO NA INC
5937 HIGHWAY 60 EAST, LAKE WALES, FL, 33853, USA",552458.05,58,9525.13879310345
"MARATHON CARSON REFINERY
1801 E. SEPULVEDA BLVD, CARSON CA90745 US",548082.02,2,274041.01
"HUNT CRUDE OIL SUPPLY CO LLC
2200 JACK WARNER PKWY STE 400, TUSCALOOSA, AL 35401",546797.74,16,34174.85875
"HARTREE PARTNERS LP
1185 AVENUE OF THE AMERICAS, NEW YORK, NY 10036",544901.48,16,34056.3425
"ERGON OIL PURCHASING INC
2829 LAKELAND DRIVE SUITE 2000, POST OFFICE BOX 1308, JACKSON, MS 39215",538864.24,8,67358.03
"ON SITE CONCRETE SOLUTIONS LLC
880 LAWRENCE ROAD, SUITE 188 KEMAH, HOUSTONTX 77565, TEUS",531583.64,20,26579.182
"ARCELORMITTAL SOURCING
24-26 BOULEVARD D'AVRANCHES, L-1160 LUXEMBOURG, LUXEMBOURG",528476.0,5,105695.2
"PAULSBORO REFINING COMPANY
800 BILLINGSPORT RD, PAULSBORONJ 08066, US",521507.5,12,43458.958333333336
"ALDARRA OVERSEAS GROUP, INC.
CALLE ING. JAMIE RODRIGUEZ #76, LOCAL FRONT A. STE 3D, SANTA PAULA, GUAYNABO, PR 000969",519872.7,2,259936.35
"EUROCHEM NORTH AMERICA CORP.
2502 N ROCKY POINT DR, SUITE 510, TAMPA FL 33607 US",513786.2,21,24466.009523809524
"RIVERSIDE CONSTRUCTION MATERIALS
355 NEWBOLD ROAD, FAIRLESS HILLS PA19030 US",499910.0,11,45446.36363636364
"MONROE ENERGY LLC
4101 POST ROAD, TRAINER PA 19061 US",498499.0,16,31156.1875
"GLACIER NORTHWEST, INC.
5975 EAST MARGINAL WAY, SOUTH SEATTLE, WA 98134 U.S.A., TEL: 1-626-852-6203",488040.0,20,24402.0
"BDP INTERNATIONAL AIRPORT
100 CONCORD ROAD, ASTON, PA 19014, TEL: 610-595-1819 / AMBER BERRY, EM: LANXIMP@BDPNET.COM",484470.02,2,242235.01
"PACIFICA PILING LIMITED PARTNERSHIP
PO BOX 21119, MAPLE RIDGE RPO,, MAPLE RIDGE, BC V2X 1P7, TEL.: 778-955-7473",480460.0,1,480460.0
"ON-SITE CONCRETE SOLUTIONS, LLC
2106 LAWRENCE RD, TAX ID: 85-4333681, KEMAHTX 77565, TE+1 979 200 6000",479660.0,16,29978.75
"EMPRADA MINES AND MINERALS LLC
128 SHADY SPRING TRAIL, GEORGETOWN, TX 78628",479100.0,38,12607.894736842105
"SHERWOOD LUMBER CORP
225 BROADHOLLOW ROAD SUITE 310W, MELVILLE  NY  11747, PH: 631 232 9191",479069.97,24,19961.24875
"NOVUM ENERGY TRADING INC
3200 KIRBY DRIVE SUITE 1000, HOUSTON, TX 77098",476693.28,15,31779.552000000003
"TOYOTA MOTOR SALES USA, INC.
6565 HEADQUARTERS DRIVE, PLANO TEXAS 75024 U.S.A., US, PLANO75024",463274.06,127,3647.8272440944884
"PUERTO RICO ENERGY LLC
PARQUE INDUSTRIAL LUCHETTI, CARR 28 KM 2.0, BAYAMON PR00961 US",458595.0,27,16985.0
"EASTERN SALT COMPANY
134 MIDDLE STREET, SUITE 210, LOWELL, MA 01852 - U.S.A., CONTACT: MS. SHELAGH MAHONEY",456858.06,8,57107.2575
"YARA NORTH AMERICA INC.
100 NORTH TAMPA STREET,  SUITE 3200, TAMPA, FL 33602, LEIGH RAYNER / 813-222-3803",454369.65,111,4093.4202702702705
"NATURGY APROVISIONAMIENTOS SA
1225 AVENIDA PONCE DE LEON STE 705, SAN JUAN PR 00907",449384.94,20,22469.247
"IES DOWNSTREAM LLC
91 480 MALAKOLE ST KAPOLEI HI 96707",447662.37,15,29844.158
"TERMINAL SHIPPING COMPANY, INC
300 BULL STREET, SUITE 201, SAVANNAH, GA 31401, GARY NALL  912-964-5200",442782.0,12,36898.5
"SK ENMOVE AMERICAS INC.
11700 KATY FREEWAY, SUITE 1200, HOUSTON TX77079 US",437990.0,68,6441.029411764706
"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460, HOLLYWOOD, FL 33021",436675.0,11,39697.72727272727
"PUERTO RICO ENERGY LLC
PARQUE INDUSTRIAL LUCHETTI, CARR 28 KM 2.0, BAYAMON, PR 00961",435730.78,40,10893.2695
"1. PAGE AND JONES (CUSTOMS BROKER)
1. PAGE AND JONES (CUSTOMS BROKER), 52 NORTH JACKSON STREET MOBILE  ALA, 2. STEVEDORING SERVICE OF AMERICA, A",435000.0,56,7767.857142857143
"GREEN AMERICA BIOFUELS LLC
20 GREENWAY PLAZA, SUITE 300, HOUSTON, TX 77046, USA, TEL: +1 865-474-4086",434157.44000000006,18,24119.857777777783
"AM CALVERT LLC
1 AM/NS WAY, P.O. BOX 456, CALVERT, AL 36513, USA",429992.36,13,33076.335384615384
"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY SUITE 800, HOUSTON, TX 77092",428430.0,16,26776.875
"WIND TURBINE AND ENGERY CABLES, COR
777 TERRACE AVENUE, SUITE 101, HASBROUCK HEIGHTS, NJ 07604",428000.02,2,214000.01
"LEHIGH WHITE CEMENT COMPANY, LLC
1601 FORUM PLACE SUITE 1110, WEST PALM BEACH, FL 33401, USA",426944.0,13,32841.846153846156
"ALOHA PETROLEUM LLC
1001 BISHOP ST, SUITE 1300, HONOLULU, HI 96813",423565.16,55,7701.184727272726
"TOYOTA MOTOR SALES U.S.A., INC.
6565 HEADQUARTERS DRIVE, PLANO,, TEXAS 75024 U.S.A",423049.3,110,3845.902727272727
"IES DOWNSTREAM, LLC.
91-480 MALAKOLE STREET, KAPOLEI HI96707 US",422518.0,12,35209.833333333336
"1) J.B. ELLIS & CO.
1230-1188 WEST GEORGIA STREET, VANCOUVER,BC V6E 4A2 EMAIL:OCEAN@, JBELLIS.COM TEL:604-408-7150",414857.98,1,414857.98
