Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons
SK-ENERGY-001,SK Energy,Oil/Gas,SK Group,SK ENERGY,Contains_All,All,True,South Korean refiner - use Contains_All to avoid matching SK alone,1229023
SUNOCO-001,Sunoco,Oil/Gas,Energy Transfer,SUNOCO,Contains,All,True,Fuel distributor - Energy Transfer subsidiary,1145178
ENI-TRADE-001,Eni Trade & Biofuels,Oil/Gas,Eni,ENI TRADE,Contains_All,All,True,Italian oil major trading arm,1085397
GEOGAS-001,Geogas Trading,Oil/Gas,,GEOGAS,Contains,All,True,LNG/LPG trader,1078692
CEPSA-001,Cepsa Trading,Oil/Gas,Cepsa,CEPSA TRADING,Contains,All,True,Spanish oil company trading arm,964227
GLENCORE-ENERGY-001,Glencore Energy,Oil/Gas,Glencore,GLENCORE ENERGY,Contains,All,True,Glencore energy trading division,778074
SHELL-INTL-001,Shell International Trading,Oil/Gas,Shell plc,SHELL INTERNATIONAL TRADING,Contains,All,True,Shell Middle East trading operations,702303
REPSOL-001,Repsol Trading,Oil/Gas,Repsol,REPSOL TRADING,Contains,All,True,Spanish oil major trading arm,660248
OQ-TRADING-001,OQ Trading,Oil/Gas,OQ (Oman Oil),OQ TRADING,Contains_All,All,True,Omani state oil company trading arm,645850
AES-PR-001,AES Puerto Rico,Power Generation,AES Corporation,AES PUERTO RICO,Contains,All,True,AES power generation in Puerto Rico,2545800
EUCATEX-001,Eucatex,Pulp/Paper,Eucatex,EUCATEX,Contains,All,True,Brazilian pulp and paper producer,7200000
FIBRIA-001,Fibria Celulose,Pulp/Paper,Suzano,FIBRIA CELULOSE,Contains,All,True,Brazilian pulp producer (now Suzano),3500000
MORTON-001,Morton Salt,Salt,K+S Group,MORTON SALT,Contains,All,True,Major US salt producer,3000000
EASTERN-SALT-001,Eastern Salt,Salt,,EASTERN SALT,Contains_All,Consignee,True,Salt producer/distributor,2270905
COMPASS-001,Compass Minerals,Salt/Minerals,Compass Minerals,COMPASS MINERALS,Contains,All,True,Salt and sulfate of potash producer,7000000
TERNIUM-001,Ternium,Steel,Ternium,TERNIUM,Contains,All,True,Steel producer - Brazil and Mexico entities,14000000
ARCELORMITTAL-001,ArcelorMittal,Steel,ArcelorMittal,ARCELORMITTAL,Contains,All,True,World's largest steel producer - multiple US entities,8000000
NORTH-AMERICAN-MARINE-001,North American Marine,Steel,,NORTH AMERICAN MARINE,Contains,All,True,Steel products marine transport,3300000
POSCO-001,POSCO,Steel,POSCO Holdings,POSCO,Contains,All,True,Korean steel giant - includes POSCO Mexico,2209492
NUCOR-001,Nucor Steel,Steel,Nucor Corporation,NUCOR STEEL,Contains,All,True,Largest US steel producer,2100000
DAVID-JOSEPH-001,David J. Joseph Company,Steel,Nucor,DAVID J. JOSEPH;DAVID J JOSEPH,Contains,Consignee,True,Scrap metal processor - Nucor subsidiary,1682715
NU-IRON-001,Nu-Iron Unlimited,Steel,,NU IRON;NU-IRON,Contains,Shipper,True,Steel products trader,1612511
HYUNDAI-STEEL-001,Hyundai Steel,Steel,Hyundai Motor Group,HYUNDAI STEEL,Contains_All,All,True,Korean steel producer - Hyundai affiliate,653333
INTERPIPE-001,Interpipe,Steel Pipes,Interpipe,INTERPIPE,Contains,All,True,Ukrainian steel pipe manufacturer,3300000
PMI-001,PMI Trading,Trading Company,Philip Morris International,PMI TRADING;PMI TRAD;PMI COME;PMI NORTEAMERICA,Contains,All,True,Tobacco products trading - multiple legal entities including PMI Norteamerica,47000000
BOLANTER-001,Bolanter Corporation,Trading Company,,BOLANTER,Contains,All,True,Saudi Aramco affiliate,15000000
TRAFIGURA-001,Trafigura,Trading Company,Trafigura Group,TRAFIGURA,Contains,All,True,Major commodity trader,14000000
VITOL-001,Vitol,Trading Company,Vitol Group,VITOL,Contains,All,True,World's largest independent oil trader,3300000
PERIN-001,Perin Trading,Trading Company,,PERIN TRADING,Contains,All,True,Commodity trading company,3000000
SUDATI-001,Sudati,Wood Products,,SUDATI,Contains,All,True,Wood products manufacturer,5200000
