Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons
HOUSTON-REFINING-001,Houston Refining,Oil Refining,,HOUSTON REFINING,Contains,All,TRUE,Houston area refining operations,6000000
PAR-HAWAII-001,PAR Hawaii Refining,Oil Refining,Par Pacific,PAR HAWAII,Contains,All,TRUE,Hawaii refinery,3400000
IDEMITSU-001,Idemitsu Apollo,Oil Refining,Idemitsu Kosan,IDEMITSU APOLLO,Contains,All,TRUE,Japanese refiner US operations,3200000
PUERTO-RICO-001,Puerto Rico Energy,Oil & Gas,,PUERTO RICO ENERGY,Contains,All,TRUE,Puerto Rico energy company,2900000
PAULSBORO-001,Paulsboro Refining,Oil Refining,PBF Energy,PAULSBORO REFINING,Contains,All,TRUE,PBF subsidiary - Paulsboro NJ refinery,2400000
DELAWARE-CITY-001,Delaware City Refining,Oil Refining,PBF Energy,DELAWARE CITY REFINING,Contains,All,TRUE,PBF subsidiary - Delaware City refinery,1400000
CEMEX-001,Cemex,Cement/Aggregates,Cemex,CEMEX,Contains,All,TRUE,Mexican cement/aggregates giant,3300000
GLACIER-001,Glacier Northwest,Aggregates,CalPortland,GLACIER NORTHWEST,Contains,All,TRUE,CalPortland subsidiary - aggregates,3200000
NUCOR-001,Nucor Steel,Steel,Nucor Corporation,NUCOR STEEL,Contains,All,TRUE,Largest US steel producer,2100000
DRUMMOND-001,Drummond,Coal Mining,Drummond Company,DRUMMOND,Contains,All,TRUE,Major US coal producer/exporter,2500000
IRON-ORE-001,Iron Ore Company of Canada,Mining,Rio Tinto,IRON ORE CO;IRON ORE COMPANY,Contains,All,TRUE,Rio Tinto subsidiary - iron ore Quebec,2200000
ORCA-001,Orca Sand and Gravel,Aggregates,,ORCA SAND,Contains,All,TRUE,Canadian aggregates producer,5600000
DISCOVERY-001,Discovery Bauxite,Mining,,DISCOVERY BAUXITE,Contains,All,TRUE,Bauxite mining operations,4000000
BAHAMA-ROCK-001,Bahama Rock,Aggregates,,BAHAMA ROCK,Contains,All,TRUE,Bahamas aggregates producer,3600000
EUCATEX-001,Eucatex,Pulp/Paper,Eucatex,EUCATEX,Contains,All,TRUE,Brazilian pulp and paper producer,7200000
FIBRIA-001,Fibria Celulose,Pulp/Paper,Suzano,FIBRIA CELULOSE,Contains,All,TRUE,Brazilian pulp producer (now Suzano),3500000
SUDATI-001,Sudati,Wood Products,,SUDATI,Contains,All,TRUE,Wood products manufacturer,5200000
INTERPIPE-001,Interpipe,Steel Pipes,Interpipe,INTERPIPE,Contains,All,TRUE,Ukrainian steel pipe manufacturer,3300000
NORTH-AMERICAN-MARINE-001,North American Marine,Steel,,NORTH AMERICAN MARINE,Contains,All,TRUE,Steel products marine transport,3300000
MEDCEM-001,Medcem Global,Cement,,MEDCEM,Contains,All,TRUE,Turkish cement producer,3100000
SOCIEDAD-LOBOS-001,Sociedad Punta de Lobos,Mining,,PUNTA DE LOBOS,Contains,All,TRUE,Chilean mining company,2500000
S-OIL-001,S-Oil,Oil Refining,S-Oil Corporation,S OIL CORP,Contains,All,TRUE,South Korean refiner,2500000
HERITAGE-001,Heritage Petroleum,Oil & Gas,Heritage Petroleum,HERITAGE PETROLEUM,Contains,All,TRUE,Trinidad and Tobago state oil company,2400000
ABU-DHABI-001,Abu Dhabi National Oil Company,Oil & Gas,ADNOC,ABU DHABI NATIONAL,Contains,All,TRUE,UAE state oil company,2300000
ATALCO-001,Atalco Gramercy,Aluminum,Rusal,ATALCO GRAMERCY,Contains,All,TRUE,Rusal US aluminum operations,4000000
COPPERSMITH-001,Coppersmith Global Logistics,Logistics,,COPPERSMITH,Contains,All,TRUE,Freight forwarding and logistics,4500000
PERIN-001,Perin Trading,Trading Company,,PERIN TRADING,Contains,All,TRUE,Commodity trading company,3000000
GREEN-WORLDWIDE-001,Green Worldwide Shipping,Logistics,,GREEN WORLDWIDE SHIPPING,Contains,All,TRUE,Freight forwarding and customs brokerage,3300000
EBROKERAGE-001,eBrokerage Service,Logistics,,EBROKERAGE,Contains,All,TRUE,Customs brokerage services,2700000
BLUE-WATER-001,Blue Water Industries,Logistics,,BLUE WATER INDUSTRIES,Contains,All,TRUE,Freight forwarding and logistics,1800000
BIEHL-001,Biehl & Co,Logistics,,BIEHL,Contains,All,TRUE,Customs brokerage and freight forwarding,1600000
BR-ANDERSON-001,B.R. Anderson & Co,Logistics,,B.R. ANDERSON;BR ANDERSON,Contains,All,TRUE,Customs brokerage services,1400000
GRUPO-MEDINA-001,Grupo Medina,Cement,,GRUPO MEDINA,Contains,All,TRUE,Mexican cement producer,1800000
