Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note,add
94,Dry Bulk,Minerals & Ores,SCM,Slag,10,NONE,\bSLAG\b|BLAST\s*FURNACE\s*SLAG|GRANULATED\s*SLAG|BF\s*SLAG|\bGBFS\b,,Blast furnace slag and granulated slag,iron silicate
10,Break Bulk,Steel,Slabs & Billets,Slabs,2,NONE,STEEL\s*SLABS?|CONTINU[OI]US\s*CASTING\s*SLABS?,,Unfinished steel slabs,
,Dry Bulk,Minerals & Ores,,silicon carbide,10,NONE,,,,
11,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,10,NONE,STEEL\s*SCRAP|\bBUSHELING\b|HEAVY\s*MELTING|STAINLESS\s*SCRAP|SCRAP\s*STEEL|SCRAP\s*METAL,,Steel and metal scrap,
21,Dry Bulk,Minerals & Ores,Salt,Salt,10,NONE,\bSALT\b,,Salt,
31,Break Bulk,Agricultural,Rubber,Rubber,2,NONE,\bRUBBER\b|RUBBER\s*PRODUCTS|NATURAL\s*RUBBER,,Rubber products,
,Liquid Bulk,Chemicals,,rmk,10,NONE,,,,
40,Dry Bulk,Agricultural,Grain,Rice,10,NONE,\bRICE\b,,Rice,
,Liquid Bulk,Chemicals,,rhodimet,10,NONE,,,,
29,Break Bulk,Forestry,Pulp & Paper,Pulp,2,NONE,\bPULP\b|WOOD\s*PULP|\bSUZANO\b|\bSCA\b|\bUPM\b|\bECF\b,,Pulp products,"ckb, crownboard"
72,Liquid Bulk,Chemicals,Chemicals,Propylene Glycol,10,NONE,PROPYLENE\s*GLYCOL,,Propylene glycol,
,Liquid Bulk,Chemicals,,prayfos,10,NONE,,,,
14,Dry Bulk,Construction Materials,Pozzolan,Pozzolan,10,NONE,\bPOZZOLAN\b,,Pozzolan,
53,Dry Bulk,Fertilizer,Potassium Fertilizers,Potash,10,NONE,\bPOTASH\b,,Potash,
75,Liquid Bulk,Chemicals,Chemicals,Polypropylene,10,NONE,\bPOLYPROPYLENE\b,,Polypropylene resins,
74,Liquid Bulk,Chemicals,Chemicals,Polyethylene,10,NONE,\bPOLYETHYLENE\b,,Polyethylene resins,
8,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,10,NONE,PIG\s*IRON|PIGIRON,,Raw iron for steelmaking,
54,Dry Bulk,Fertilizer,Phosphorus Fertilizers,PhosRock,10,NONE,PHOS\s*ROCK|PHOSROCK|PHOSPHATE\s*ROCK,,Phosphate rock,
55,Dry Bulk,Fertilizer,Phosphorus Fertilizers,Phosphates,10,NONE,\bGTSB\b|\bMAP\b|\bDAP\b|DIAMMONIUM\s*PHOSPHATE|DI\s*-?\s*AMMONIUM\s*PHOSPHATE|MONOAMMONIUM\s*PHOSPHATE|MONO\s*-?\s*AMMONIUM\s*PHOSPHATE,,Phosphate fertilizers - MAP/DAP/diammonium/monoammonium,
27,Dry Bulk,Carbon Products,Petcoke,Petcoke,10,NONE,GREEN\s*DELAYED|PETROLEUM\s*COKE|PETR\s*COKE|CALCINED\s*PETCOKE|CALCINED\s*PETROLEUM\s*COKE|\bCOKE\b,,Petroleum coke products,
90,Dry Bulk,Minerals & Ores,Industrial Minerals,Perlite,10,NONE,\bPERLITE\b|EXPANDED\s*PERLITE,,Perlite mineral aggregate,
,Liquid Bulk,Chemicals,,parrafin,10,NONE,,,,
95,Liquid Bulk,Chemicals,Paraxylene,Paraxylene,10,NONE,\bPARAXYLENE\b|\bPX\b|PARA\s*XYLENE,,Paraxylene - petroleum chemical,
28,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,\bPAPER\b|PAPER\s*REELS?|\bNEWSPRINT\b|\bKLB\b|\bOSB\b|\bPAPERBOARD\b|PAPER\s*BOARD|\bKRAFT\b|LINER\s*BOARD,,Paper products,"performa, cupforma, enscoat, murata"
86,Liquid Bulk,Chemicals,Chemicals,Organic Acids,10,NONE,ISONONANOIC\s*ACID|2-ETHYLHEXANOIC\s*ACID|ETHYLHEXANOIC,,"Specific organic acids (isononanoic, 2-ethylhexanoic)",
42,Dry Bulk,Agricultural,Grain,Oats,10,NONE,\bOATS\b,,Oats,
,Dry Bulk,Carbon Products,Carbon Products,Misc Bulk,10,NONE,,,,"Carbon Additive, Graphite, Sintermag"
70,Liquid Bulk,Chemicals,Chemicals,MIBK,10,NONE,\bMIBK\b|METHYL\s*ISOBUTYL\s*KETONE,,Methyl isobutyl ketone,
88,Liquid Bulk,Chemicals,Chemicals,MIBC,10,NONE,METHYL\s*ISOBUTYL\s*CARBINOL|\bMIBC\b,,Methyl isobutyl carbinol (froth flotation reagent),
99,Liquid Bulk,Chemicals,Methylcyclohexane,Methylcyclohexane,10,NONE,\bMETHYLCYCLOHEXANE\b|METHYL\s*CYCLOHEXANE|\bSOLANE\b,,Methylcyclohexane - petroleum chemical,
65,Liquid Bulk,Chemicals,Chemicals,Methanol,10,NONE,\bMETHANOL\b,,Methanol,
69,Liquid Bulk,Chemicals,Chemicals,MEK,10,NONE,\bMEK\b|METHYL\s*ETHYL\s*KETONE,,Methyl ethyl ketone,
17,Dry Bulk,Non-Ferrous Raw Materials,Manganese,Manganese Products,10,NONE,\bMANGANESE\b|SILICOMANGANESE,,Manganese products,
,Dry Bulk,Minerals & Ores,,magnesium oxide,10,NONE,,,,
,Dry Bulk,Minerals & Ores,,magnesite,10,NONE,,,,
62,Break Bulk,General Cargo,Project,Machinery,2,NONE,\bMACHINES?\b|\bENGINES?\b|\bTURBINES?\b|TRANSFORMERS?|EXCAVATORS?|MACHINERY|ISO\s*-?\s*TANKS?|ISOTANKS?,,Machinery - engines/turbines/transformers/excavators/iso-tanks,
30,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,\bLUMBER\b|\bSPRUCE\b|\bBIRCH\b|\bWHITEWOOD\b|WHITE\s*WOOD|\bPLYWOOD\b|PLY\s*WOOD|\bVENEER\b|MEDIUM\s*DENSITY\s*FI[BU]RE\s*BOARD|\bMDF\b|FI[BU]RE\s*BOARD,,Lumber and wood products,"eucalyptus, primary wood, redwood"
80,Liquid Bulk,Petroleum,Refined Products,Lubricating Oils,10,NONE,BASE\s*OIL|\bYUBASE\b|\bDEASAN\b|LUBRICAT(E|ING)\s*OIL|\bLUBE\b|BRIGHT\s*STOCK|SLACK\s*WAX|\bSN\s*\d+\b|SLACKWAX,,"Lubricating oils including base oils, YUBASE, DEASAN","bapbase, saraline"
81,Liquid Gas,Petroleum,LPG,LPG,10,NONE,\bPROPANE\b|\bLPG\b,,Liquified petroleum gas - Propane,"butane, butadine"
2,Break Bulk,Steel,Finished Steel,Long Products,2,NONE,WIRE\s*RODS?|WIRE\s*ROD\s*COILS?|\bWRC\b|\bREBAR\b|\bDEFORMED\b|RE[II]NFORCED|STEEL\s*BARS?|STEEL\s*RODS?|H[\s-]*BEAMS?|WF[\s-]*BEAMS?|WIDE\s*FLANGE\s*BEAMS?|\bANGLES\b|\bCHANNELS\b,,Long steel products - beams/bars/rebar,"sections, steel structuresm, hot forged, round bar, steel round, beam ril, rails reinfircing steel profile, channel"
47,Dry Bulk,Agricultural,Biomass,Logs,10,NONE,\bLOGS?\b|DOUGLAS\s*FIR,,Logs and timber - Douglas Fir,
83,Liquid Gas,Petroleum,Natural Gas,LNG,10,NONE,\bLNG\b|LIQU[EI]FIED\s*NATURAL\s*GAS|NATURAL\s*GAS,,Liquified natural gas,;
58,Liquid Bulk,Fertilizer,Liquid Fertilizer,Liquid Fertilizer,10,NONE,\bUAN\b|\bCAN\b|\bCN9\b|CALCIUM\s*NITRATE\s*SOLUTION|UREA\s*AMMONIUM\s*NITRATE\s*SOLUTION,,Liquid fertilizers - UAN/CAN/CN9/calcium nitrate solutions,
7,Break Bulk,Metals,Lead,Lead,2,NONE,LEAD\s*INGOTS?|LEAD\s*CONCENTRATE,,Lead products - ingots/concentrate,
,Dry Bulk,Minerals & Ores,,kaolin,10,NONE,,,,
9,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,10,NONE,IRON\s*ORE|IRON\s*ORE\s*PELLETS?|\bTALCONITE\b|\bDRI\b|DIRECT\s*REDUCED\s*IRON|\bLKAB\b|IRON\s*CONCENTRATE|DIRECT\s*REDUCTION\s*PELLETS?|REDUCTION\s*PELLETS?|\bTUBARAO\b|DR\s*PELLETS?,,Iron ore and pellets,
67,Liquid Bulk,Chemicals,Chemicals,Heptane,10,NONE,\bHEPTANE\b,,Heptane solvent,
13,Dry Bulk,Construction Materials,Gypsum,Gypsum,10,NONE,\bGYPSUM\b,,Gypsum,
24,Dry Bulk,Minerals & Ores,Garnet,Garnet,10,NONE,\bGARNET\b,,Garnet abrasive,
22,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,10,NONE,\bFLUORSPAR\b,,Fluorspar ore,
3,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,STEEL\s*COILS?|STEEL\s*PLATES?|STEEL\s*SHEETS?|TIN\s*PLATES?|TINPLATES?|BLACK\s*PLATES?|BLACKPLATES?|AL\s*/\s*ZN|STEEL\s*PRODUCTS|HOT[\s-]*ROLLED|COLD[\s-]*ROLLED|ALLOY\s*STEEL\s*PLATES?|ALLOY\s*STEEL\s*COILS?|ALLOY\s*STEEL,,Flat rolled steel - coils/plates/sheets,"hot dip, cold formed, galvalume, STEEL\s*COILS?|\bCOIL\b.*\bSTEEL\b|\bSTEEL\b.*\bCOIL\b|GALVANI[ZS]ED\s*COILS?|GALVANNEALED, STEEL\s*PLATES?|\bPLATE\b.*\bSTEEL\b|\bSTEEL\b.*\bPLATE\b|ALLOY\s*STEEL\s*PLATES? STEEL\s*SHEETS?|\bSHEET\b.*\bSTEEL\b hot forged, cold formed, hot formed"
92,Break Bulk,Forestry,Pulp & Paper,Fiberboard,2,NONE,\bHARDBOARD\b|\bFI[BU]REBOARD\b|FI[BU]RE\s*BOARD,,"Hardboard, fiberboard products",
,Dry Bulk,Minerals & Ores,,ferrous sulphate,10,NONE,,,,
,Dry Bulk,Ferrous Raw Materials,,ferromangan,10,NONE,,,,
,Dry Bulk,Ferrous Raw Materials,,ferro silicon,10,NONE,,,,
,Dry Bulk,Ferrous Raw Materials,Ferro Alloys,Ferro Alloys,10,NONE,,,,"fescir, ferro chrome, ferro silicon,  fesicr, lcfecr, ferrochrome, hcfecr"
23,Dry Bulk,Minerals & Ores,Feldspar,Feldspar,10,NONE,\bFELDSPAR\b,,Feldspar mineral,
,Break Bulk,Steel,Finished Steel,Fabricated Steel,2,NONE,,,,"support pillars, tacker, ibus"
71,Liquid Bulk,Chemicals,Chemicals,Ethylene Glycol,10,NONE,ETHYLENE\s*GLYCOL|\bEG\s+BULK\b|\bEG\s+IN\s+BULK\b,,Ethylene glycol,
97,Liquid Bulk,Chemicals,ETBE,Ethyl Tertiary Butyl Ether,10,NONE,\bETBE\b|ETHYL\s*TERTIARY\s*BUTYL\s*ETHER,,ETBE - fuel additive,
66,Liquid Bulk,Chemicals,Chemicals,Ethanol,10,NONE,\bETHANOL\b|ETHYL\s*ALCOHOL,,Ethanol,
,Liquid Bulk,Chemicals,,etac,10,NONE,,,,etac
49,Liquid Bulk,Petroleum,Refined Products,Dirty Products,10,NONE,FUEL\s*OIL|\bVGO\b|VACC?UUM\s*GAS|\bLSFO\b|\bHSFO\b|\bVLSFO\b|VERY\s*LOW\s*SULF?UR\s*FUEL\s*OIL|\bULSHO\b|ULTRA\s*LOW\s*SULF?UR\s*HEATING\s*OIL|HEATING\s*OIL|\bASPHALT\b|\bBITUMEN\b|\bFLUX\b,,Heavy fuel oils - VLSFO/LSFO/HSFO/VGO/heating oils/asphalt/bitumen,"cutter stock, cutterstock, hsvgo, vaccum,  lsvgo, gas oil, cat gas, hvfo gasoil,srfo, lsvgo, srfo vacuum"
78,Liquid Bulk,Chemicals,Chemicals,Diethylene Glycol,10,NONE,\bDEG\b|DIETHYLENE\s*GLYCOL,,Diethylene glycol (DEG),
48,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,10,NONE,CRUDE\s*OIL|\bSYNCRUDE\b|\bDCO\b|DILLUTED\s*CRUDE|DILUTED\s*CRUDE|\bMAYA\b|\bISTHMUS\b|ARAB\s*LIGHT|\bBASRAH\b|\bMEDANITO\b|\bORIENTE\b|\bCASTILLA\b|\bBOSCAN\b|\bHIBERNIA\b|\bVASCONIA\b|UNITY\s*GOLD|\bOKWUIBOME\b|CPC\s*BLEND|\bHAMACA\b|\bNAPO\b|\bTUPI\b|\bFORCADOS\b|\bHEBRON\b|\bDURI\b|\bSAHARAN\b|\bFORTIES\b|\bAMENAM\b|\bSIRTICA\b|\bMEREY\b|\bMURBAN\b|COLD\s*LAKE|\bIRACEMA\b|\bPEREGRINO\b|\bEKOFISK\b|\bLIZA\b|JOHAN\s*SVERDRUP|\bWTI\b,,Crude oil + 32 specific grades + syncrude/DCO variants,"condensate, zapoteco, arabian, iraq, iraqi, altamira, boscan, arab"
,Break Bulk,General Cargo,General Cargo,"crane,  equipment, garbage, militart, breakbulk, break-bulk, container, generator, used, unit, project",2,NONE,,,,"crane,  equipment, garbage, militart, breakbulk, break-bulk, container, generator, used, unit, project"
38,Dry Bulk,Agricultural,Grain,Corn,10,NONE,\bCORN\b,,Corn,
5,Break Bulk,Metals,Copper,Copper,2,NONE,\bCATHODES?\b|COPPER\s*SCRAP|COPPER\s*WIRES?|COPPER\s*BARS?|COPPER\s*PRODUCTS|COPPER\s*CONCENTRATE,,Copper products - cathodes/scrap/wire/bar/concentrate,
93,Break Bulk,General Cargo,Machinery,Conveyor Belts,2,NONE,CONVEYOR\s*BELT,,Rubber/steel conveyor belts,
32,Break Bulk,Agricultural,Coffee,Coffee,2,NONE,\bCOFFEE\b,,Coffee,folgers
33,Break Bulk,Agricultural,Cocoa,Cocoa,2,NONE,\bCOCOA\b|COCOA\s*BEANS?,,Cocoa and cocoa beans,
26,Dry Bulk,Carbon Products,Coal,Coal,10,NONE,\bCOAL\b|\bANTHRACITE\b|\bNUTCOKE\b|\bMETCOKE\b,,Coal and coke products,nanticoke
50,Liquid Bulk,Petroleum,Refined Products,Clean Products,10,NONE,\bGASOLINE\b|\bRBOB\b|\bCBOB\b|\bUNLEADED\b|\bJET\b|\bKEROSENE\b|\bDIESEL\b|\bULSD\b|ULTRA\s*LOW\s*SULF?UR\s*DIESEL|LOW\s*SULF?UR\s*DIESEL|\bNAPHTHA\b|VIRGIN\s*NAPHTHA|HEAVY\s*NAPHTHA|\bREFORMATE\b|\bHVN\b|\bALKYLATE\b,,Light refined products - gasoline/diesel/jet/kerosene/naphtha/reformate/alkylate,"naptha, mogas"
12,Dry Bulk,Construction Materials,Cement,Cement,10,NONE,\bCEMENT\b|\bCLINKER\b|\bPORTLAND\b|LOW\s*ALKALI,,Cement and clinker,
73,Liquid Bulk,Chemicals,Chemicals,Caustic Soda,10,NONE,CAUSTIC\s*SODA|\bCAUSTIC\b,,Caustic soda/caustic,
60,Break Bulk,General Cargo,Project,Boats,2,NONE,\bYACHTS?\b|SAIL\s*BOATS?|SAILBOATS?|CRADLES?,,Boats - yachts/sailboats/cradles,
15,Break Bulk,Forestry,Pulp & Paper,Board,2,NONE,\bBOARD\b|\bLINER\b|\bMETSA\b|KRAFTLINER,,Board and liner products,
77,Liquid Bulk,Chemicals,Chemicals,Biodiesel,10,NONE,\bBIODIESEL\b|\bFAME\b|FATTY\s*ACID\s*METHYL,,Biodiesel/FAME,
12,Break Bulk,Steel,Slabs & Billets,Billets,2,NONE,STEEL\s*BILLETS?|\bBILLET\b.*\bSTEEL\b,,Steel billets,
64,Liquid Bulk,Chemicals,Chemicals,Benzene,10,NONE,\bBENZENE\b,,Benzene solvent,
16,Dry Bulk,Non-Ferrous Raw Materials,Bauxite,Bauxite,10,NONE,\bBAUXITE\b,,Bauxite ore for aluminum,
43,Dry Bulk,Agricultural,Grain,Barley,10,NONE,\bBARLEY\b,,Barley,
19,Dry Bulk,Minerals & Ores,Barite,Barite,10,NONE,\bBARYTE\b|\bBARITE\b,,Barite/Baryte ore,
,Dry Bulk,Construction Materials,SCM,Ash,10,NONE,,,,"fly ash, ash"
35,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,10,NONE,\bTALLOW\b|YELLOW\s*GREASE|USED\s*COOKING|COOKING\s*OIL|FISH\s*OIL,,Animal fats and used oils,
84,Liquid Bulk,Chemicals,Chemicals,Anhydrous Ammonia,10,NONE,ANHYDROUS\s*AMMONIA|\bAMMONIA\b,AMMONIUM,Anhydrous ammonia (exclude ammonium compounds),
57,Dry Bulk,Fertilizer,Sulphur,Ammonium Sulphate,10,NONE,AMMONIUM\s*SULF?ATE|AM\s*-?\s*SULF?ATE,,Ammonium sulphate/sulfate - US/UK spellings,
89,Dry Bulk,Fertilizer,Fertilizers,Ammonium Polyphosphate,10,NONE,AMMONIUM\s*POLYPHOSPHATE|\bAPP\b.*FERTILI,,Liquid/solid ammonium polyphosphate fertilizer,
52,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Ammonium Nitrate,10,NONE,AMMONIUM\s*NITRATE,,Ammonium nitrate,
87,Liquid Bulk,Chemicals,Chemicals,Amines,10,NONE,METHYLDIETHANOLAMINE|\bMDEA\b|DIETHANOLAMINE,,"Amines (MDEA, diethanolamine for gas treatment)",
4,Break Bulk,Metals,Aluminum,Aluminum,2,NONE,ALUMIN[IU]M\s*INGOTS?|ALUMIN[IU]M\s*BARS?|\bSOWS?\b|T[\s-]*BARS?|UNWROUGHT\s*ALUMIN[IU]M|ALUMIN[IU]M\s*SCRAP,,Aluminum products - ingots/bars/scrap,\bALUMINI?UM\b|\bALUMINI?UM\s*INGOTS?\b
17,Dry Bulk,Non-Ferrous Raw Materials,Alumina,Alumina,10,NONE,\bALUMINA\b,,Processed bauxite,
98,Liquid Bulk,Chemicals,Alkylbenzene,Alkylbenzene,10,NONE,\bALKYLBENZENE\b|ALKYL\s*BENZENE|\bCAROMAX\b,,Alkylbenzene - petroleum chemical,
15,Dry Bulk,Construction Materials,Aggregates,Aggregates,10,NONE,LIME\s*STONE|\bSTONES?\b|\bGRAVEL\b|CONSTRUCTION\s*SAND|\bAGGREGATES?\b|\bLADOTD\b|\bFDOT\b|\bTXDOT\b|\bCOBBLES?\b,,Construction aggregates - state DOT specs,sand
76,Liquid Bulk,Chemicals,Chemicals,Acrylonitrile,10,NONE,\bACRYLONITRILE\b,,Acrylonitrile,
79,Liquid Bulk,Chemicals,Chemicals,Acetic Acid,10,NONE,ACETIC\s*ACID|\bACETATE\b,,Acetic acid and acetates,
