Script Name,Type,Commodity,Group,Status,Notes
classify_flat_rolled_steel_v1.2.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_long_steel_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_long_steel_v1.1.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_long_steel_v1.2.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_tubular_steel_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_tubular_steel_v1.1.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_steel_slabs_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_pig_iron_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_ferro_alloys_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_scrap_steel_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_steel.py
classify_nonferrous_metals_v1.0.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_nonferrous_metals.py
classify_nonferrous_metals_v1.1.0.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_nonferrous_metals.py
classify_nonferrous_metals_v1.1.1.py,VERSIONED,Steel & Metals,Break Bulk,OBSOLETE,Now in classify_nonferrous_metals.py
classify_forestry_v1.0.0.py,VERSIONED,Forestry,Break Bulk,OBSOLETE,Now in classify_forestry.py
classify_paper_v1.0.0.py,VERSIONED,Forestry,Break Bulk,OBSOLETE,Now in classify_forestry.py
classify_iron_ore_v1.0.0.py,VERSIONED,Ferrous Raw Materials,Dry Bulk,OBSOLETE,Now in classify_iron_ore.py
classify_nonferrous_raw_materials_v1.0.0.py,VERSIONED,NonFerrous Raw Materials,Dry Bulk,OBSOLETE,Now in classify_nonferrous_raw_materials.py
classify_aggregate_v1.0.0.py,VERSIONED,Construction Materials,Dry Bulk,OBSOLETE,Now in classify_construction_materials.py
classify_aggregates_v1.0.0.py,VERSIONED,Construction Materials,Dry Bulk,OBSOLETE,Now in classify_construction_materials.py
classify_cement_v1.0.0.py,VERSIONED,Construction Materials,Dry Bulk,OBSOLETE,Now in classify_construction_materials.py
classify_gypsum_pozzolan_v1.0.0.py,VERSIONED,Construction Materials,Dry Bulk,OBSOLETE,Now in classify_construction_materials.py
classify_clay_v1.0.0.py,VERSIONED,Construction Materials?,Dry Bulk,EXISTS,NEEDS REVIEW
classify_phosphate_rock_v1.0.0.py,VERSIONED,Fertilizers?,Dry Bulk,EXISTS,NEEDS REVIEW
classify_manganese_feldspar_fluorspar_v1.0.0.py,VERSIONED,???,Dry Bulk?,EXISTS,NEEDS REVIEW
classify_rubber_v1.0.0.py,VERSIONED,???,???,EXISTS,NEEDS REVIEW
classify_project_cargo_v1.0.0.py,VERSIONED,Project Cargo,Break Bulk,EXISTS,NEEDS REVIEW
classify_phase1_FAST_v1.0.0.py,PIPELINE,Phase 1,Various,PIPELINE,Carrier-based classification
classify_phase1_from_carrier_mappings_v1.0.0.py,PIPELINE,Phase 1,Various,✅ RAN,Carrier-based classification
classify_phase1_only_v1.0.0.py,PIPELINE,Phase 1,Various,PIPELINE,Carrier-based classification
classify_roro_carriers_v1.1.0.py,PIPELINE,Phase 1,Break Bulk,PIPELINE,RoRo carrier mapping
classify_unified_v2.0.0.py,ORCHESTRATOR,ALL,ALL,EXISTS,Full dictionary-driven classification
classify_full_year_v2.0.0.py,ORCHESTRATOR,ALL,ALL,EXISTS,Full year classification
classify_15k_sample.py,TEST,ALL,ALL,EXISTS,15K sample test
classify_15k_test_v2.0.0.py,TEST,ALL,ALL,EXISTS,15K sample test
classify_5k_test_v2.0.0.py,TEST,ALL,ALL,EXISTS,5K sample test
classify_simple_v4.0.0.py,TEST,ALL,ALL,EXISTS,Simple test classification
