Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
30,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,\bLUMBER\b|\bSPRUCE\b|\bBIRCH\b|\bWHITEWOOD\b|WHITE\s*WOOD|\bPLYWOOD\b|PLY\s*WOOD|\bVENEER\b|MEDIUM\s*DENSITY\s*FI[BU]RE\s*BOARD|\bMDF\b|FI[BU]RE\s*BOARD,,Lumber and wood products
31,Break Bulk,Agricultural,Rubber,Rubber,2,NONE,\bRUBBER\b|RUBBER\s*PRODUCTS|NATURAL\s*RUBBER,,Rubber products
32,Break Bulk,Agricultural,Coffee,Coffee,2,NONE,\bCOFFEE\b,,Coffee
33,Break Bulk,Agricultural,Cocoa,Cocoa,2,NONE,\bCOCOA\b|COCOA\s*BEANS?,,Cocoa and cocoa beans
34,Liquid Bulk,Agricultural,Vegetable Oils,Vegetable Oils,10,NONE,VEGETABLE\s*OILS?|CORN\s*OIL|SOY\s*OIL|SOYBEAN\s*OIL|\bCOCONUT\b|\bOLIVE\b|\bLINSEED\b|FATTY\s*ACIDS?|STEARIC\s*ACID|\bSTEARATE\b|PALMITIC\s*ACID|\bPALMITATE\b|OLEIC\s*ACID|\bOLEATE\b|LAURIC\s*ACID|\bLAURATE\b|\bPALM\b|\bRBD\b|\bSTEARIN\b|\bOLEIN\b|\bCPO\b,,Vegetable oils + fatty acids from palm/vegetable oil processing
35,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,10,NONE,\bTALLOW\b|YELLOW\s*GREASE|USED\s*COOKING|COOKING\s*OIL|FISH\s*OIL,,Animal fats and used oils
36,Liquid Bulk,Agricultural,Sugars,Sugars,10,NONE,\bMOLASSES\b|ORANGE\s*JUICE,,Molasses and juice products
37,Dry Bulk,Agricultural,Grain,Soybeans,10,NONE,\bSOYBEANS?\b|SOY\s*BEANS?|\bSBM\b|SOYBEAN\s*MEAL|SOY\s*MEAL,,Soybeans and soybean meal
38,Dry Bulk,Agricultural,Grain,Corn,10,NONE,\bCORN\b,,Corn
39,Dry Bulk,Agricultural,Grain,Wheat,10,NONE,\bWHEAT\b,,Wheat
40,Dry Bulk,Agricultural,Grain,Rice,10,NONE,\bRICE\b,,Rice
41,Dry Bulk,Agricultural,Grain,Sorghum,10,NONE,\bSORGHUM\b,,Sorghum
42,Dry Bulk,Agricultural,Grain,Oats,10,NONE,\bOATS\b,,Oats
43,Dry Bulk,Agricultural,Grain,Barley,10,NONE,\bBARLEY\b,,Barley
44,Dry Bulk,Agricultural,Sugar,Sugar,10,NONE,\bSUGAR\b|\bAZUCAR\b,,Sugar - English and Spanish
45,Dry Bulk,Agricultural,Biomass,Wood Pellets,10,NONE,WOOD\s*PELLETS?|WOODPELLETS?,,Wood pellets for biomass fuel
46,Dry Bulk,Agricultural,Biomass,Wood Chips,10,NONE,WOOD\s*CHIPS?|WOODCHIPS?,,Wood chips for biomass fuel
47,Dry Bulk,Agricultural,Biomass,Logs,10,NONE,\bLOGS?\b|DOUGLAS\s*FIR,,Logs and timber - Douglas Fir
48,Liquid Bulk,Petroleum,Crude Oil,Crude Oil,10,NONE,CRUDE\s*OIL|\bSYNCRUDE\b|\bDCO\b|DILLUTED\s*CRUDE|DILUTED\s*CRUDE|\bMAYA\b|\bISTHMUS\b|ARAB\s*LIGHT|\bBASRAH\b|\bMEDANITO\b|\bORIENTE\b|\bCASTILLA\b|\bBOSCAN\b|\bHIBERNIA\b|\bVASCONIA\b|UNITY\s*GOLD|\bOKWUIBOME\b|CPC\s*BLEND|\bHAMACA\b|\bNAPO\b|\bTUPI\b|\bFORCADOS\b|\bHEBRON\b|\bDURI\b|\bSAHARAN\b|\bFORTIES\b|\bAMENAM\b|\bSIRTICA\b|\bMEREY\b|\bMURBAN\b|COLD\s*LAKE|\bIRACEMA\b|\bPEREGRINO\b|\bEKOFISK\b|\bLIZA\b|JOHAN\s*SVERDRUP|\bWTI\b,,Crude oil + 32 specific grades + syncrude/DCO variants
49,Liquid Bulk,Petroleum,Refined Products,Dirty Products,10,NONE,FUEL\s*OIL|\bVGO\b|VACC?UUM\s*GAS|\bLSFO\b|\bHSFO\b|\bVLSFO\b|VERY\s*LOW\s*SULF?UR\s*FUEL\s*OIL|\bULSHO\b|ULTRA\s*LOW\s*SULF?UR\s*HEATING\s*OIL|HEATING\s*OIL|\bASPHALT\b|\bBITUMEN\b|\bFLUX\b,,Heavy fuel oils - VLSFO/LSFO/HSFO/VGO/heating oils/asphalt/bitumen
50,Liquid Bulk,Petroleum,Refined Products,Clean Products,10,NONE,\bGASOLINE\b|\bRBOB\b|\bCBOB\b|\bUNLEADED\b|\bJET\b|\bKEROSENE\b|\bDIESEL\b|\bULSD\b|ULTRA\s*LOW\s*SULF?UR\s*DIESEL|LOW\s*SULF?UR\s*DIESEL|\bNAPHTHA\b|VIRGIN\s*NAPHTHA|HEAVY\s*NAPHTHA|\bREFORMATE\b|\bHVN\b|\bALKYLATE\b,,Light refined products - gasoline/diesel/jet/kerosene/naphtha/reformate/alkylate
51,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Urea,10,NONE,\bUREA\b,SOLUTION,Urea - exclude solutions (see liquid fertilizers)
52,Dry Bulk,Fertilizer,Nitrogen Fertilizers,Ammonium Nitrate,10,NONE,AMMONIUM\s*NITRATE,,Ammonium nitrate
53,Dry Bulk,Fertilizer,Potassium Fertilizers,Potash,10,NONE,\bPOTASH\b,,Potash
54,Dry Bulk,Fertilizer,Phosphorus Fertilizers,PhosRock,10,NONE,PHOS\s*ROCK|PHOSROCK|PHOSPHATE\s*ROCK,,Phosphate rock
55,Dry Bulk,Fertilizer,Phosphorus Fertilizers,Phosphates,10,NONE,\bGTSB\b|\bMAP\b|\bDAP\b|DIAMMONIUM\s*PHOSPHATE|DI\s*-?\s*AMMONIUM\s*PHOSPHATE|MONOAMMONIUM\s*PHOSPHATE|MONO\s*-?\s*AMMONIUM\s*PHOSPHATE,,Phosphate fertilizers - MAP/DAP/diammonium/monoammonium
56,Dry Bulk,Fertilizer,Sulphur,Sulphur,10,NONE,\bSULF?UR\b|PRILLED\s*SULF?UR,,Elemental sulphur/sulfur - prilled variants
57,Dry Bulk,Fertilizer,Sulphur,Ammonium Sulphate,10,NONE,AMMONIUM\s*SULF?ATE|AM\s*-?\s*SULF?ATE,,Ammonium sulphate/sulfate - US/UK spellings
58,Liquid Bulk,Fertilizer,Liquid Fertilizer,Liquid Fertilizer,10,NONE,\bUAN\b|\bCAN\b|\bCN9\b|CALCIUM\s*NITRATE\s*SOLUTION|UREA\s*AMMONIUM\s*NITRATE\s*SOLUTION,,Liquid fertilizers - UAN/CAN/CN9/calcium nitrate solutions
59,Break Bulk,General Cargo,Project,Wind,2,NONE,\bWIND\b|NACELLES?|TOWER\s*SECTIONS?|BLADES?,,Wind turbine components - nacelles/tower sections/blades
60,Break Bulk,General Cargo,Project,Boats,2,NONE,\bYACHTS?\b|SAIL\s*BOATS?|SAILBOATS?|CRADLES?,,Boats - yachts/sailboats/cradles
61,Break Bulk,General Cargo,Project,Solar,2,NONE,\bSOLAR\b|TRACKER\s*BEAMS?|TRACKER\s*POSTS?,,Solar equipment - tracker beams/posts
62,Break Bulk,General Cargo,Project,Machinery,2,NONE,\bMACHINES?\b|\bENGINES?\b|\bTURBINES?\b|TRANSFORMERS?|EXCAVATORS?|MACHINERY|ISO\s*-?\s*TANKS?|ISOTANKS?,,Machinery - engines/turbines/transformers/excavators/iso-tanks
63,Break Bulk,General Cargo,Project,Vehicles,2,NONE,\bTRUCKS?\b|AUTOMOBILES?|\bAUTOS?\b|\bCARS?\b,,Vehicles - trucks/automobiles/cars
64,Liquid Bulk,Chemicals,Chemicals,Benzene,10,NONE,\bBENZENE\b,,Benzene solvent
65,Liquid Bulk,Chemicals,Chemicals,Methanol,10,NONE,\bMETHANOL\b,,Methanol
66,Liquid Bulk,Chemicals,Chemicals,Ethanol,10,NONE,\bETHANOL\b|ETHYL\s*ALCOHOL,,Ethanol
67,Liquid Bulk,Chemicals,Chemicals,Heptane,10,NONE,\bHEPTANE\b,,Heptane solvent
68,Liquid Bulk,Chemicals,Chemicals,Xylene,10,NONE,\bXYLENE\b|\bOXYLENE\b,,Xylene/oxylene
69,Liquid Bulk,Chemicals,Chemicals,MEK,10,NONE,\bMEK\b|METHYL\s*ETHYL\s*KETONE,,Methyl ethyl ketone
70,Liquid Bulk,Chemicals,Chemicals,MIBK,10,NONE,\bMIBK\b|METHYL\s*ISOBUTYL\s*KETONE,,Methyl isobutyl ketone
71,Liquid Bulk,Chemicals,Chemicals,Ethylene Glycol,10,NONE,ETHYLENE\s*GLYCOL|\bEG\s+BULK\b|\bEG\s+IN\s+BULK\b,,Ethylene glycol
72,Liquid Bulk,Chemicals,Chemicals,Propylene Glycol,10,NONE,PROPYLENE\s*GLYCOL,,Propylene glycol
73,Liquid Bulk,Chemicals,Chemicals,Caustic Soda,10,NONE,CAUSTIC\s*SODA|\bCAUSTIC\b,,Caustic soda/caustic
74,Liquid Bulk,Chemicals,Chemicals,Polyethylene,10,NONE,\bPOLYETHYLENE\b,,Polyethylene resins
75,Liquid Bulk,Chemicals,Chemicals,Polypropylene,10,NONE,\bPOLYPROPYLENE\b,,Polypropylene resins
76,Liquid Bulk,Chemicals,Chemicals,Acrylonitrile,10,NONE,\bACRYLONITRILE\b,,Acrylonitrile
77,Liquid Bulk,Chemicals,Chemicals,Biodiesel,10,NONE,\bBIODIESEL\b|\bFAME\b|FATTY\s*ACID\s*METHYL,,Biodiesel/FAME
10,Metals,Ferrous Metals,Steel Products,Steel Coils,2,NONE,STEEL\s*COILS?|\bCOIL\b.*\bSTEEL\b|\bSTEEL\b.*\bCOIL\b|GALVANI[ZS]ED\s*COILS?|GALVANNEALED,,Steel coils including galvanized
11,Metals,Ferrous Metals,Steel Products,Steel Plates,2,NONE,STEEL\s*PLATES?|\bPLATE\b.*\bSTEEL\b|\bSTEEL\b.*\bPLATE\b|ALLOY\s*STEEL\s*PLATES?,,Steel plates including alloy
12,Metals,Ferrous Metals,Steel Products,Steel Billets,2,NONE,STEEL\s*BILLETS?|\bBILLET\b.*\bSTEEL\b,,Steel billets
13,Metals,Ferrous Metals,Steel Products,Steel Sheets,2,NONE,STEEL\s*SHEETS?|\bSHEET\b.*\bSTEEL\b,,Steel sheets
14,Break Bulk,Forestry Products,Pulp & Paper,Timber,2,NONE,\bTIMBER\b|PLANED\s*TIMBER,,Timber products
15,Break Bulk,Forestry Products,Pulp & Paper,Board,2,NONE,\bBOARD\b|\bLINER\b|\bMETSA\b|KRAFTLINER,,Board and liner products
16,Metals,Non-Ferrous Metals,Aluminum,Aluminum Products,2,NONE,\bALUMINI?UM\b|\bALUMINI?UM\s*INGOTS?\b,,Aluminum and ingots
17,Metals,Non-Ferrous Metals,Manganese,Manganese Products,2,NONE,\bMANGANESE\b|SILICOMANGANESE,,Manganese products
78,Liquid Bulk,Chemicals,Chemicals,Diethylene Glycol,10,NONE,\bDEG\b|DIETHYLENE\s*GLYCOL,,Diethylene glycol (DEG)
79,Liquid Bulk,Chemicals,Chemicals,Acetic Acid,10,NONE,ACETIC\s*ACID|\bACETATE\b,,Acetic acid and acetates
80,Liquid Bulk,Petroleum,Refined Products,Lubricating Oils,10,NONE,BASE\s*OIL|\bYUBASE\b|\bDEASAN\b|LUBRICAT(E|ING)\s*OIL|\bLUBE\b|BRIGHT\s*STOCK|SLACK\s*WAX|\bSN\s*\d+\b|SLACKWAX,,"Lubricating oils including base oils, YUBASE, DEASAN"
81,Liquid Bulk,Petroleum,LPG,Propane,10,NONE,\bPROPANE\b|\bLPG\b,,Liquified petroleum gas - Propane
82,Liquid Bulk,Petroleum,LPG,Butane,10,NONE,\bBUTANE\b|\bBUTYLENE\b,,Liquified petroleum gas - Butane/Butylene
83,Liquid Bulk,Petroleum,Natural Gas,LNG,10,NONE,\bLNG\b|LIQU[EI]FIED\s*NATURAL\s*GAS|NATURAL\s*GAS,,Liquified natural gas
84,Liquid Bulk,Chemicals,Chemicals,Anhydrous Ammonia,10,NONE,ANHYDROUS\s*AMMONIA|\bAMMONIA\b,AMMONIUM,Anhydrous ammonia (exclude ammonium compounds)
85,Liquid Bulk,Chemicals,Chemicals,Toluene,10,NONE,\bTOLUENE\b,,Toluene aromatic hydrocarbon
86,Liquid Bulk,Chemicals,Chemicals,Organic Acids,10,NONE,ISONONANOIC\s*ACID|2-ETHYLHEXANOIC\s*ACID|ETHYLHEXANOIC,,"Specific organic acids (isononanoic, 2-ethylhexanoic)"
87,Liquid Bulk,Chemicals,Chemicals,Amines,10,NONE,METHYLDIETHANOLAMINE|\bMDEA\b|DIETHANOLAMINE,,"Amines (MDEA, diethanolamine for gas treatment)"
88,Liquid Bulk,Chemicals,Chemicals,MIBC,10,NONE,METHYL\s*ISOBUTYL\s*CARBINOL|\bMIBC\b,,Methyl isobutyl carbinol (froth flotation reagent)
89,Dry Bulk,Fertilizers,Fertilizers,Ammonium Polyphosphate,10,NONE,AMMONIUM\s*POLYPHOSPHATE|\bAPP\b.*FERTILI,,Liquid/solid ammonium polyphosphate fertilizer
90,Dry Bulk,Minerals & Ores,Industrial Minerals,Perlite,10,NONE,\bPERLITE\b|EXPANDED\s*PERLITE,,Perlite mineral aggregate
91,Metals,Ferrous Metals,Steel Products,Stainless Steel,2,NONE,STAINLESS\s*STEEL|\bSTAINLESS\b.*\bSTEEL\b,,Stainless steel products
92,Break Bulk,Forestry Products,Pulp & Paper,Fiberboard,2,NONE,\bHARDBOARD\b|\bFI[BU]REBOARD\b|FI[BU]RE\s*BOARD,,"Hardboard, fiberboard products"
93,Break Bulk,General Cargo,Machinery,Conveyor Belts,2,NONE,CONVEYOR\s*BELT,,Rubber/steel conveyor belts
