Code,Description
0111,| WHEAT
2041,| FLOUR AND OTHER GRAIN MILL PRODUCTS
2043,| CEREAL BREAKFAST FOODS
2044,| MILLED RICE AND BYPRODUCTS
2045,| PREPARED FLOUR MIXES AND DOUGHS
2046,| WET CORN MILLING PRODUCTS
2047,| DOG AND CAT FOOD
2048,"| PREPARED FEEDS, NSPF"
2051,"| BREAD AND OTHER BAKERY PRODUCTS, OTHER THAN FROZEN"
2062,"| BEET AND CANE SUGAR, MOLASSES, AND BYPRODUCTS"
2064,| CANDY AND OTHER CONFECTIONERY PRODUCTS
2066,| CHOCOLATE AND COCOA PRODUCTS
2067,| CHEWING GUM
2068,| SALTED AND ROASTED NUTS
2074,| COTTONSEED OIL AND BYPRODUCTS
2075,| SOYBEAN OIL AND BYPRODUCTS
2076,"| VEGETABLE OILS AND BYPRODUCTS, EXCEPT CORN, COTTONSEED, AND SOYBEAN"
2077,| ANIMAL AND MARINE FATS AND OILS
2079,"| SHORTENING, TABLE OILS, MARGARINE AND OTHER EDIBLE FATS AND OILS, NSPF"
2082,| MALT BEVERAGES
2083,| MALT
2084,"| WINES, BRANDY, AND BRANDY SPIRITS"
2085,"| DISTILLED, RECTIFIED, AND BLENDED LIQUORS"
2086,| BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS
2087,"| FLAVORING EXTRACTS AND FLAVORING SIRUPS, NSPF"
2091,| CANNED AND CURED FISH AND SEAFOODS
2095,| ROASTED COFFEE
2096,| POTATO CHIPS AND SIMILAR PRODUCTS
2097,| MANUFACTURED ICE
2098,"| MACARONI, NOODLES, AND SIMILAR PRODUCTS"
2099,"| FOOD PRODUCTS, NSPF"
2111,| CIGARETTES
2121,| CIGARS
2131,| CHEWING AND SMOKING TOBACCO AND SNUFF
2141,"| MANUFACTURED TOBACCO, NSPF, INCLUDING PROCESSED SHEET TOBACCO"
2211,"| BROAD WOVEN FABRICS, COTTON"
2221,"| BROAD WOVEN FABRICS, MANMADE FIBERS AND SILK"
2231,"| BROAD WOVEN FABRICS, WOOL"
2241,| NARROW WOVEN FABRICS
2252,"| HOSIERY, NSPF"
2257,| CIRCULAR KNIT FABRICS
2258,| WARP KNIT FABRICS
2273,| CARPETS AND RUGS
2281,"| YARN, SPUN, OF COTTON, MAN-MADE FIBERS, AND SILK"
2284,| THREAD AND HANDWORK YARNS
2295,"| COATED FABRICS, NOT RUBBERIZED"
2296,| TIRE CORD AND FABRIC
2297,| NONWOVEN FABRICS NSPF
2298,| CORDAGE AND TWINE
2299,"| TEXTILE GOODS, NSPF"
2311,"| MEN'S AND BOYS' SUITS AND COATS, EXCEPT RAINCOATS"
2321,| MEN'S AND BOYS' SHIRTS
2322,| MEN'S AND BOYS' UNDERWEAR AND NIGHTWEAR
2323,| MEN'S AND BOYS' NECKWEAR
2325,| MEN'S AND BOYS' SEPARATE TROUSERS AND CASUAL SLACKS
2329,"| MEN'S AND BOYS' CLOTHING, NSPF"
2331,| WOMEN'S AND MISSES' BLOUSES AND SHIRTS
2335,| WOMEN'S AND MISSES' DRESSES
2337,"| WOMEN'S AND MISSES' SUITS, SKIRTS, AND COATS"
2339,"| WOMEN'S AND MISSES' OUTERWEAR, NSPF"
2341,"| WOMEN'S GIRLS', AND INFANTS' UNDERWEAR AND NIGHTWEAR"
2342,| BRASSIERES AND ALLIED GARMENTS
2353,"| HATS, CAPS, AND MILLINERY"
2369,"| CHILDREN'S OUTERWEAR, NSPF"
2371,| FUR GOODS
2381,| FABRIC DRESS AND WORK GLOVES
2384,| ROBES AND DRESSING GOWNS
2385,| WATERPROOF OUTERGARMENTS
2386,"| LEATHER WEARING APPAREL, NSPF"
2387,"| APPAREL BELTS, LEATHER"
2389,"| APPAREL AND ACCESSORIES, NSPF"
2391,| CURTAINS AND DRAPERIES
2392,"| HOUSEFURNISHINGS, NSPF"
2393,| TEXTILE BAGS
2394,"| TARPAULINS, TENTS, AWNINGS, SAILS, AND OTHER MADE-UP CANVAS GOODS"
2395,"| EMBROIDERIES, WHOLLY OR IN CHIEF WEIGHT TEXTILE FIBERS"
2396,"| AUTOMOTIVE AND APPAREL TRIMMINGS, NSPF"
2399,"| FABRICATED TEXTILE PRODUCTS, NSPF"
2411,"| LOGS, PULPWOOD, TIMBER, POLES, ETC"
2421,"| LUMBER AND OTHER SAWMILL AND PLANING MILL PRODUCTS, EXCEPT HARDWOOD DIMENSION STOCK AND FLOORING"
2426,| HARDWOOD DIMENSION STOCK AND FLOORING
2429,| STAVES AND HOOPS; TIGHT BARRELHEADS OF SOFTWOOD; SHINGLES AND SHAKES
2431,| MILLWORK
2434,| WOOD KITCHEN CABINETS
2435,| HARDWOOD VENEER AND PLYWOOD
2436,| SOFTWOOD VENEER AND PLYWOOD
2439,"| STRUCTURAL WOOD MEMBERS, NSPF"
2448,| WOOD PALLETS AND SKIDS
2449,"| WOOD CONTAINERS, NSPF"
2451,"| TRAILERS AND SEMI-TRAILERS FOR HOUSING OR CAMPING, NSPF"
2452,| PREFABRICATED WOOD BUILDINGS AND COMPONENTS
2491,"| WOOD PRODUCTS, PRESERVED OR TREATED"
2493,| RECONSTITUTED WOOD PRODUCTS
2499,"| WOOD PRODUCTS, NSPF"
2512,"| WOOD HOUSEHOLD FURNITURE, UPHOLSTERED"
2514,"| HOUSEHOLD METAL FURNITURE, NSPF"
2515,| MATTRESSES AND BEDSPRINGS
2517,| WOOD TELEVISION AND RADIO CABINETS
2522,"| OFFICE FURNITURE, EXCEPT WOOD"
2542,"| COUNTERS, LOCKERS, RACKS, DISPLAY CASES, SHELVES, PARTITIONS, AND SIMILAR FIXTURES, OF METAL"
2591,"| VENETIAN BLINDS AND PARTS, IRON, STEEL OR ALUMINUM; WINDOW SHADE FIXTURE, ETC, AND HARDWARE, NSPF, BASE METAL"
2599,"| FURNITURE AND FIXTURES, NSPF"
2611,| PULP MILL PRODUCTS
2621,| PAPER MILL PRODUCTS
2631,"| WET MACHINE BOARD, NSPF"
2652,| SETUP PAPERBOARD BOXES
2653,"| CORRUGATED PAPER AND PAPERBOARD AND ARTICLES THEREOF, INCLUDIND BOXES, PALLETS, ETC."
2655,"| FIBER CANS, TUBES, BOBBINS, DRUMS, AND SIMILAR PRODUCTS"
2656,| SANITARY FOOD AND BEVERAGE CONTAINERS EXCEPT FOLDING
2657,| FOLDING PAPERBOARD BOXES
2672,"| PAPER, COATED AND LAMINATED, NSPF"
2673,"| PLASTICS, FOIL, AND COATED PAPER BAGS"
2674,| BAGS; UNCOATED PAPER AND MULTIWALL
2675,| DIE-CUT PAPER AND PAPERBOARD; CARDS AND CARDBOARD
2676,| SANITARY PAPER PRODUCTS
2677,| ENVELOPES
2678,| STATIONERY PRODUCTS
2679,"| CONVERTED PAPER PRODUCTS, NSPF"
2711,| NEWSPAPERS
2721,| PERIODICALS
2731,| BOOKS AND PAMPHLETS
2741,| MISCELLANEOUS PUBLICATIONS
2752,"| PRINTED MATTER, LITHOGRAPHIC"
2761,| MANIFOLD BUSINESS FORMS AND INTERLEAVED CARBON SETS
2771,| GREETING CARDS
2782,"| BLANKBOOKS, LOOSE LEAF BINDERS AND DEVICES"
2796,"| PRINTING TYPE, BLOCKS, PLATES AND OTHER PRINTING COMPONENTS; CYLINDERS AND LITHOGRAPHIC STONES, PREPARED FOR PRINTING PURPOSES"
2812,| ALKALIES AND CHLORINE
2813,| INDUSTRIAL GASES
2816,| INORGANIC PIGMENTS
2819,"| INDUSTRIAL INORGANIC CHEMICALS, NSPF"
2821,| PLASTICS MATERIALS AND RESINS
2822,| SYNTHETIC RUBBER
2823,"| MANMADE FIBERS, CELLULOSIC"
2824,"| MANMADE FIBERS, NONCELLULOSIC"
2833,| MEDICINALS AND BOTANICALS
2834,| PHARMACEUTICAL PREPARATIONS
2835,| PREPARED DIAGNOSTIC SUBSTANCES
2836,| BIOLOGICAL PRODUCTS
2841,"| SOAP AND OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS"
2842,"| SPECIALTY CLEANING, POLISHING, AND SANITARY PREPARATIONS"
2843,| SURFACE ACTIVE AGENTS
2844,| TOILET PREPARATIONS
2851,| PAINTS AND ALLIED PRODUCTS
2861,| GUM AND WOOD CHEMICALS
2865,| CYCLIC CRUDES AND INTERMEDIATES
2869,"| INDUSTRIAL ORGANIC CHEMICALS, NSPF"
2873,| NITROGENOUS FERTILIZERS
2874,| PHOSPHATIC FERTILIZERS
2879,"| AGRICULTURAL PESTICIDES AND OTHER AGRICULTURAL CHEMICALS, NSPF"
2891,| ADHESIVES AND SEALANTS
2892,| EXPLOSIVES
2893,| PRINTING INKS
2895,| CARBON BLACK
2899,"| CHEMICAL PREPARATIONS, NSPF"
2911,| PETROLEUM REFINERY PRODUCTS
2951,| PAVING MIXTURES AND BLOCKS
2952,| ASPHALT FELTS AND COATINGS
2999,"| PETROLEUM AND COAL PRODUCTS, NSPF"
3011,| TIRES AND INNER TUBES
3021,| RUBBER AND PLASTICS FOOTWEAR
3052,| RUBBER AND PLASTICS HOSE AND BELTING
3053,"| GASKETS, PACKING, AND SEALING DEVICES"
3069,"| FABRICATED RUBBER PRODUCTS, NSPF"
3081,"| PLASTICS FILM, STRIPS, AND SHEETS, UNSUPPORTED"
3082,| UNSUPPORTED PLASTICS PROFILE SHAPES
3084,| PLASTIC PIPE
3085,"| PLASTICS BOTTLES, FLASKS, AND SIMILAR ARTICLES"
3088,| PLASTICS PLUMBING FIXTURES AND SANITARY WARE
3089,"| PLASTICS PRODUCTS, NSPF"
3111,"| LEATHER, TANNED OR FINISHED"
3131,| BOOT AND SHOE CUT STOCK AND FINDINGS
3142,| HOUSE SLIPPERS
3143,"| MEN;S FOOTWEAR, NSPF; WORK FOOTWEAR, NSPF"
3144,"| WOMEN'S FOOTWEAR, NSPF; FOOTWEAR MADE ON A BASIS OR PLATFORM OF WOOD, NOT HAVING AN INNER SOLE OR A PROTECTIVE METAL TOE CAP"
3149,"| FOOTWEAR, NSPF"
3151,| LEATHER GLOVES AND MITTENS
3161,| LUGGAGE
3171,| WOMEN'S HANDBAGS AND PURSES
3172,"| PERSONAL GOODS, OF LEATHER, EXCEPT HANDBAGS AND PURSES"
3199,"| LEATHER GOODS, NSPF"
3211,| FLAT GLASS
3221,| GLASS CONTAINERS
3229,"| PRESSED AND BLOWN GLASS, NSPF"
3231,"| PRODUCTS OF PURCHASED GLASS, NSPF"
3241,"| CEMENT, HYDRAULIC"
3251,| BRICK AND STRUCTURAL CLAY TILE
3253,| CERAMIC WALL AND FLOOR TILE
3255,| CLAY REFRACTORIES
3259,"| NONREFRACTORY CERAMIC CONSTRUCTION MATERIALS, NSPF"
3261,| VITREOUS PLUMBING FIXTURES
3262,| CHINA TABLEWARE
3264,| PORCELAIN ELECTRICAL AND ELECTRONIC SUPPLIES
3269,"| CERAMIC ARTICLES, NSPF"
3271,| CONCRETE BLOCKS AND BRICKS
3272,"| CONCRETE PRODUCTS, NSPF"
3273,"| NONREFRACTORY MORTARS AND CONCRETES, WET"
3274,| LIME
3275,| GYPSUM PRODUCTS
3281,| CUT STONE AND STONE PRODUCTS
3291,| ABRASIVE PRODUCTS
3292,"| ASBESTOS PRODUCTS, NSPF"
3295,"| MINERALS AND EARTHS, GROUND OR OTHERWISE TREATED"
3296,| MINERAL WOOL INSULATING MATERIALS
3297,| NONCLAY REFRACTORIES
3299,"| NONMETALLIC MINERAL PRODUCTS, NSPF"
3312,"| BLAST FURNACE, STEEL WORKS, AND ROLLING MILL PRODUCTS"
3313,| ELECTROMETALLURGICAL PRODUCTS
3315,"| IRON OR STEEL NAILS, SPIKES, BRADS, STAPLES, AND TACKS"
3321,"| CAST IRON PRODUCTS, NOT MALLEABLE"
3331,| SMELTER AND REFINED COPPER
3334,"| ALUMINUM AND ALUMINUM ALLOYS, UNWROUGHT"
3339,"| PRIMARY NONFERROUS METALS, NSPF"
3341,| SECONDARY SMELTING AND REFINING OF NONFERROUS METALS
3351,"| COPPER, ROLLED OR DRAWN"
3353,"| ALUMINUM SHEET, PLATE, AND FOIL, ROLLED OR DRAWN"
3354,"| ALUMINUM EXTRUDED PRODUCTS, ROLLED OR DRAWN"
3356,"| EXTRUDED NONFERROUS METAL MILL PRODUCTS, NSPF, ROLLED OR DRAWN"
3357,"| NONFERROUS METAL WIRE AND CABLE, DRAWN AND INSULATED"
3365,| ALUMINUM FOUNDRIES
3399,"| PRIMARY METAL PRODUCTS, NSPF"
3411,| METAL CANS
3412,"| METAL SHIPPING BARRELS, DRUMS, KEGS, AND PAILS"
3421,| CUTLERY
3423,"| HAND AND EDGE TOOLS, EXCEPT MACHINE TOOLS AND HAND SAWS"
3425,| HAND SAWS AND SAW BLADES
3429,"| HARDWARE, NSPF"
3431,| ENAMELED IRON AND METAL SANITARY WARE
3432,| PLUMBING FIXTURE FITTINGS AND TRIM
3433,"| HEATING EQUIPMENT, NONELECTRIC, NSPF"
3441,"| FABRICATED STRUCTURAL METAL PRODUCTS, NSPF"
3442,"| METAL DOORS, SASH AND TRIM, OF IRON, STEEL, OR ALUMINUM"
3443,| FABRICATED PLATE WORK
3444,"| SHEET-METAL STRUCTURE PARTS, NSPF"
3446,"| ARCHITECTURAL AND ORNAMENTAL METAL WORK, NSPF; EQUIPMENT FOR SCAFFOLDING, SHUTTERING, PROPPING OR PIT-PROPPING"
3448,| PREFABRICATED METAL BUILDINGS AND COMPONENTS
3449,"| STRUCTURAL METAL PARTS, NSPF"
3452,"| BOLTS, NUTS, SCREWS, RIVETS, AND WASHERS"
3465,| AUTOMOTIVE STAMPINGS
3466,| CROWNS AND CLOSURES
3469,"| COOKING AND KITCHENWARE OF ALUMINUM (EXCEPT CAST), NSPF"
3482,| SMALL ARMS AMMUNITION
3484,| SMALL ARMS
3489,"| MILITARY WEAPONS NSPF; AND PARTS, NSPF"
3491,| INDUSTRIAL VALVES
3492,"| FLUID TRANSFER POWER VALVES, AND PARTS THEREOF"
3493,"| SPRINGS, OF STEEL, NSPF"
3494,"| VALVES AND PIPE FITTINGS, NSPF"
3496,"| FABRICATED WIRE PRODUCTS, NSPF"
3497,| METAL FOIL AND LEAF
3499,"| FABRICATED METAL PRODUCTS, NSPF"
3511,| TURBINES AND TURBINE GENERATOR SETS
3519,"| INTERNAL COMBUSTION ENGINES, NSPF"
3523,"| FARM MACHINERY AND EQUIPMENT, AND PARTS, NSPF"
3524,"| LAWN AND GARDEN EQUIPMENT, AND PARTS, NSPF"
3531,"| CONSTRUCTION MACHINERY, AND PARTS, NSPF"
3532,"| MINING MACHINERY AND EQUIPMENT, NSPF"
3533,"| OIL AND GAS FIELD EQUIPMENT, AND PARTS, NSPF"
3534,"| ELEVATORS AND MOVING STAIRWAYS, AND PARTS, NSPF"
3535,"| CONVEYORS AND CONVEYING EQUIPMENT, AND PARTS, NSPF"
3536,"| HOISTS, OVERHEAD TRAVELING CRANES, AND MONORAILS, AND PARTS AND ATTACHMENTS, NSPF"
3537,"| INDUSTRIAL TRUCKS AND TRACTORS, AND PARTS, NSPF"
3541,"| MACHINE TOOLS, METAL-CUTTING, AND PARTS, NSPF"
3542,"| MACHINE TOOLS METAL-FORMING, AND PARTS, NSPF"
3543,| MOLDERS' PATTERNS FOR THE MANUFACTURE OF CASTINGS
3544,"| SPECIAL DIES, TOOLS, JIGS, AND FIXTURES"
3545,"| MACHINE TOOL ACCESSORIES, AND PARTS, NSPF"
3546,"| POWER DRIVEN HAND TOOLS, AND PARTS, NSPF"
3547,"| ROLLING MILL MACHINERY, AND PARTS, NSPF"
3548,"| WELDING APPARATUS, AND PARTS, NSPF"
3552,"| TEXTILE MACHINES, NSPF, AND PARTS AND ATTACHMENTS, NSPF"
3553,"| WOODWORKING MACHINES, AND PARTS AND ATTACHMENTS, NSPF"
3554,"| PAPER INDUSTRIES MACHINES AND EQUIPMENT, AND PARTS AND ATTACHMENTS, NSPF"
3555,"| PRINTING TRADES MACHINES AND EQUIPMENT, AND PARTS AND ACCESSORIES, NSPF"
3556,"| FOOD PRODUCTS MACHINERY, AND PARTS, NSPF"
3559,"| SPECIAL INDUSTRY MACHINERY, NSPF, AND PARTS, NSPF"
3561,"| PUMPS AND PUMPING EQUIPMENT, EXCEPT FLUID POWER PUMPS"
3562,"| BALL AND ROLLER BEARINGS, AND BALLS, ROLLERS AND PARTS, NSPF"
3563,"| AIR AND GAS COMPRESSORS, AND PARTS AND ATTACHMENTS, NSPF"
3564,"| FANS AND BLOWERS, EXCEPT HOUSEHOLD TYPE; DUST COLLECTION AND AIR PURIFICATION EQUIPMENT; AND PARTS, NSPF"
3565,"| PACKAGING MACHINERY, AND PARTS, NSPF"
3566,"| SPEED CHANGERS, DRIVERS, AND GEARS, AND PARTS, NSPF"
3567,"| INDUSTRIAL FURNACES AND OVENS, AND PARTS, NSPF"
3568,"| MECHANICAL POWER TRANSMISSION EQUIPMENT, NSPF, AND PARTS, NSPF"
3569,"| GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, AND PARTS, NSPF"
3571,| ELECTRONIC COMPUTERS
3572,| COMPUTER STORAGE DEVICES
3577,"| COMPUTER PERIPHERAL EQUIPMENT, NSPF, AND PARTS, NSPF"
3578,"| CALCULATING AND ACCOUNTING MACHINES, AND PARTS, NSPF"
3579,"| OFFICE MACHINES, NSPF, AND PARTS, NSPF"
3581,"| AUTOMATIC MERCHANDISING MACHINES, AND PARTS, NSPF"
3585,| REFRIGERATION AND HEATING EQUIPMENT
3586,"| MEASURING AND DISPENSING PUMPS FOR LIQUIDS; AND FORCE-FEED, PNEUMATIC, HAND-HELD LUBRICATING EQUIPMENT, AND PARTS, NSPF"
3589,"| SERVICE INDUSTRY MACHINES AND EQUIPMENT, AND PARTS, NSPF"
3593,| FLUID POWER CYLINDERS AND ACTUATORS
3594,"| FLUID POWER PUMPS AND MOTORS, AND PARTS, NSPF"
3596,"| SCALES AND BALANCES, EXCEPT LABORATORY, AND PARTS, NSPF"
3599,"| MACHINERY, EXCEPT ELECTRICAL, NSPF, AND PARTS, NSPF"
3612,"| TRANSFORMERS, AND PARTS, NSPF"
3613,"| SWITCHGEAR AND SWITCHBOARD APPARATUS, AND PARTS, NSPF"
3621,"| ELECTRIC MOTORS, GENERATORS, GENERATOR SETS, ROTATING CONVERTERS, AND PARTS AND ACCESSORIES, NSPF"
3624,| CARBON OR GRAPHITE PRODUCTS
3625,| RELAYS AND INDUSTRIAL CONTROLS
3629,"| ELECTRICAL INDUSTRIAL APPARATUS, NSPF"
3631,"| COOKING STOVES, OVENS, AND RANGES, HOUSEHOLD TYPE, AND PARTS, NSPF"
3632,"| REFRIGERATORS AND FREEZERS, HOUSEHOLD TYPE, AND PARTS, NSPF"
3633,| HOUSEHOLD LAUNDRY EQUIPMENT
3634,"| ELECTRO-MECHANICAL HOUSEHOLD TYPE APPLIANCES, NSPF, AND ELECTRO-THERMIC APPLIANCES, NSPF, AND PARTS & ACCESSORIES, NSPF"
3635,"| VACUUM CLEANERS, HOUSEHOLD TYPE, ELECTRIC, AND PARTS, NSPF"
3639,"| HOUSEHOLD APPLIANCES, NSPF, AND PARTS, NSPF"
3641,| ELECTRIC LAMPS
3643,| CURRENT-CARRYING WIRING DEVICES
3644,| NON-CURRENT CARRYING WIRING DEVICES
3645,| RESIDENTIAL ELECTRIC LIGHTING FIXTURES
3647,"| MOTOR VEHICLE LIGHTING EQUIPMENT, ELECTRIC, NSPF, AND VEHICULAR LIGHTING FIXTURES, OF BASE METAL, NSPF"
3648,"| LIGHTING EQUIPMENT, NSPF (INCLUDING COMMERCIAL)"
3651,"| RADIO & TV RECEIVING SETS; PHONOGRAPHS; RECORDERS, NSPF; MICROPHONES; LOUDSPEAKERS; AUDIO AMPLIFIERS; & OTH AUDIO EQUIP"
3652,"| PHONOGRAPH RECORDS, RECORD BLANKS, AND PRERECORDED TAPES"
3661,"| TELEPHONE AND TELEGRAPH APPARATUS, AND PARTS, NSPF"
3663,"| RADIO, TV COMMUN, BROADCAST, AND STUDIO EQUIP, NSPF, AND PARTS, NSPF"
3669,"| OTHER COMMUNICATIONS EQUIPMENT, NSPF, AND PARTS, NSPF"
3671,| ELECTRON TUBES
3672,| PRINTED CIRCUIT BOARDS
3674,"| SEMICODUCTORS AND RELATED DEVICES, AND PARTS, NSPF"
3675,| ELECTRONIC CAPACITORS
3676,"| RESISTORS, FOR ELECTRONIC APPLICATIONS"
3677,| ELECTRONIC COILS AND TRANSFORMERS
3678,"| CONNECTORS, FOR ELECTRONIC APPLICATIONS"
3679,"| ELECTRONIC COMPONENTS, NSPF"
3691,"| STORAGE BATTERIES, AND PARTS, NSPF"
3692,"| PRIMARY BATTERIES, AND PARTS, NSPF"
3694,| ELECTRICAL EQUIPMENT FOR INTERNAL COMBUSTION ENGINES
3695,| MAGNETIC RECORDING MEDIA
3699,"| ELECTRICAL EQUIPMENT AND SUPPLIES, NSPF, AND PARTS, NSPF"
3711,| MOTOR VEHICLES AND PASSENGER CAR BODIES
3713,| TRUCK AND BUS BODIES
3714,"| MOTOR VEHICLE PARTS AND ACCESSORIES, NSPF"
3715,"| TRUCK TRAILERS, AND PARTS, NSPF, EXCLUDING OFF-HIGHWAY TRAILERS AND WAGONS"
3716,| MOTOR HOMES
3721,| AIRCRAFT
3724,"| AIRCRAFT ENGINES AND ENGINE PARTS, NSPF"
3728,"| AIRCRAFT EQUIPMENT, NSPF"
3731,| SHIP BUILDING AND REPAIRING
3732,| BOAT BUILDING AND REPAIRING
3743,"| RAILROAD EQUIPMENT, AND PARTS, NSPF"
3751,"| MOTORCYCLES, BICYCLES, AND PARTS, NSPF"
3761,"| GUIDED MISSILES AND SPACE VEHICLES, AND PARTS, NSPF"
3764,| MISSILE AND ROCKET ENGINES
3769,"| GUIDED MISSILES AND SPACE VEHICLES, PARTS AND AUXILIARY EQUIPMENT, NOT ELSEWHERE CLASSIFIED"
3792,"| TRAVEL TRAILERS AND CAMPERS, AND PARTS, NSPF"
3795,"| TANKS AND TANK COMPONENTS, AND PARTS, NSPF"
3799,"| TRANSPORTATION EQUIPMENT, NSPF, AND PARTS, NSPF"
3812,"| SEARCH, DETECTION, NAVIGATION, AND GUIDANCE SYSTEMS AND INSTRUMENTS"
3822,"| ENVIRONMENTAL CONTROLS, AND PARTS, NSPF"
3823,"| INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL OF PROCESS VARIABLES; AND RELATED PRODUCTS"
3824,"| FLUID METERS AND COUNTING DEVICES, AND PARTS, NSPF"
3825,| INSTRUMENTS FOR MEASURING AND TESTING ELECTRICITY AND ELECT SIGNALS
3826,"| LABORATORY ANALYTICAL INSTRUMENTS, AND PARTS AND ACCESSORIES, NSPF"
3827,"| OPTICAL INSTRUMENTS, AND PARTS, NSPF"
3829,"| MEASURING AND CONTROLLING DEVICES, NSPF, AND PARTS, NSPF"
3841,"| SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS, NSPF"
3842,"| ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES, NSPF"
3843,"| DENTAL EQUIPMENT, SUPPLIES, AND PARTS, NSPF"
3844,"| X-RAY APPARATUS AND TUBES, AND PARTS, NSPF"
3845,"| ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS, AND PARTS, NSPF"
3851,"| OPHTHALMIC GOODS, AND PARTS, NSPF"
3861,| PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
3873,"| WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS, NSPF"
3911,"| JEWELRY, OF PRECIOUS METAL"
3914,"| SILVERWARE, PLATED WARE, AND STAINLESS STEEL WARE"
3915,"| JEWELER'S FINDINGS AND MATERIALS, AND LAPIDARY WORK"
3931,"| MUSICAL INSTRUMENTS, AND PARTS, NSPF"
3942,| DOLLS AND STUFFED TOY ANIMALS
3944,"| GAMES, TOYS, AND CHILDREN'S VEHICLES, EXCEPT DOLLS AND BICYCLES"
3949,"| SPORTING AND ATHLETIC GOODS, AND PARTS, NSPF"
3951,"| PENS, MECHANICAL PENCILS, AND PARTS"
3952,"| PENCILS, OFFICE, AND ART SUPPLIES"
3953,| MARKING DEVICES
3955,| CARBON PAPER AND INKED RIBBONS
3961,"| JEWELRY OF MATERIALS OTHER THAN SOLID GOLD, PLATINUM & SILVER"
3965,"| NEEDLES, PINS, BUTTONS, AND CLOTHING FASTENERS"
3991,| BROOMS AND BRUSHES
3993,| SIGNS AND ADVERTISING DISPLAYS
