********************************************************************************
*                                                                              *
* Export SIC codes - 1,2,3 and 4 digit                                         *
*                                                                              *
*------------------------------------------------------------------------------*
* Code    | Description                                                        *
  122     | BITUMINOUS COAL AND LIGNITE
  1221    | BITUMINOUS COAL AND LIGNITE
  123     | ANTHRACITE COAL
  1231    | ANTHRACITE COAL
  13      | CRUDE PETROLEUM AND NATURAL GAS
  131     | CRUDE PETROLEUM AND NATURAL GAS
  1311    | CRUDE PETROLEUM AND NATURAL GAS
  132     | NATURAL GAS LIQUIDS
  1321    | NATURAL GAS LIQUIDS
  14      | NONMETALLIC MINERALS, EXCEPT FUELS
  141     | GRANITE, LIMESTONE, ETC SUITABLE FOR MONUMENTAL, PAVING, ETC AND MARBLE ROUGH AND SQUARED
  1411    | DIMENSION STONE
  142     | CRUSHED OR BROKEN STONE, INCLUDING RIPRAP
  1429    | CRUSHED AND BROKEN STONE, NSPF
  144     | SAND AND GRAVEL
  1446    | SAND, INDUSTRIAL
  145     | CLAY, CERAMIC, AND REFACTORY MINERALS
  1455    | KAOLIN CLAY INCLUDING CALCINED, AND BALL CLAY
  1459    | CLAY, CERAMIC, AND REFRACTORY MINERALS, NSPF
  147     | CHEMICAL AND FERTILIZER MINERALS
  1474    | SODIUM NITRATE, POTASSIUM CHLORIDE OR MURIATE OF POTASH; AND POTASSIUM SULPHATE
  1475    | PHOSPHATES, CRUDE, AND APATITE
  1479    | CHEMICALS AND FERTILIZER MINERALS
  149     | NONMETALLIC MINERALS, NSPF, EXCEPT FUELS
  1499    | NONMETALLIC MINERALS, NSPF
  2       | MANUFACTURED COMMODITIES
  20      | FOOD AND KINDRED PRODUCTS
  201     | MEAT PRODUCTS AND MEAT PACKING PRODUCTS
  2011    | MEAT PRODUCTS AND MEAT PACKING PRODUCTS, EXCEPT POULTRY AND SMALL GAME ANIMALS
  2015    | POULTRY, NSPF, AND EGGS, PREPARED OR PRESERVED
  202     | DAIRY PRODUCTS
  2021    | CREAMERY BUTTER
  2022    | CHEESE, NATURAL AND PROCESSED
  2023    | MILK AND CREAM, CONDENSED, EVAPORATED, AND DRY
  2024    | ICE CREAM
  2026    | FLUID MILK AND CREAM, AND RELATED PRODUCTS
  203     | CANNED AND PRESERVED SEAFOOD, FRUITS, VEGETABLES, JAMS, ETC
  2032    | CANNED SPECIALTIES
  2033    | CANNED FRUITS, VEGETABLES, PRESERVES, JAMS, AND JELLIES
  2034    | FOOD PRODUCTS, DRIED AND DEHYDRATED
  2035    | PICKLED FRUITS AND VEGETABLES, VEGETABLE SAUCES AND SEASONINGS, AND SALAD DRESSINGS
  2037    | FROZEN FRUITS, FRUIT JUICES, AND VEGETABLES
  204     | GRAIN MILL PRODUCTS
  2041    | FLOUR AND OTHER GRAIN MILL PRODUCTS
  2043    | CEREAL BREAKFAST FOODS
  2044    | MILLED RICE AND BYPRODUCTS
  2045    | PREPARED FLOUR MIXES AND DOUGHS
  2046    | WET CORN MILLING PRODUCTS
  2047    | DOG AND CAT FOOD
  2048    | PREPARED FEEDS, NSPF
  205     | BAKERY PRODUCTS, EXCEPT FROZEN, EXCLUDING SEALING WAFERS, COMMUNION WAFERS, AND SIMILAR PRODUCTS
  2051    | BREAD AND OTHER BAKERY PRODUCTS, OTHER THAN FROZEN
  206     | SUGAR AND CONFECTIONERY PRODUCTS
  2062    | BEET AND CANE SUGAR, MOLASSES, AND BYPRODUCTS
  2064    | CANDY AND OTHER CONFECTIONERY PRODUCTS
  2066    | CHOCOLATE AND COCOA PRODUCTS
  2067    | CHEWING GUM
  2068    | SALTED AND ROASTED NUTS
  207     | FATS AND OILS
  2074    | COTTONSEED OIL AND BYPRODUCTS
  2075    | SOYBEAN OIL AND BYPRODUCTS
  2076    | VEGETABLE OILS AND BYPRODUCTS, EXCEPT CORN, COTTONSEED, AND SOYBEAN
  2077    | ANIMAL AND MARINE FATS AND OILS
  2079    | SHORTENING, TABLE OILS, MARGARINE AND OTHER EDIBLE FATS AND OILS, NSPF
  208     | BEVERAGES AND FLAVORING EXTRACTS
  2082    | MALT BEVERAGES
  2083    | MALT
  2084    | WINES, BRANDY, AND BRANDY SPIRITS
  2085    | DISTILLED, RECTIFIED, AND BLENDED LIQUORS
  2086    | BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS
  2087    | FLAVORING EXTRACTS AND FLAVORING SIRUPS, NSPF
  209     | FOOD PREPARATIONS AND RELATED PRODUCTS, NSPF
  2091    | CANNED AND CURED FISH AND SEAFOODS
  2095    | ROASTED COFFEE
  2096    | POTATO CHIPS AND SIMILAR PRODUCTS
  2097    | MANUFACTURED ICE
  2098    | MACARONI, NOODLES, AND SIMILAR PRODUCTS
  2099    | FOOD PRODUCTS, NSPF
  21      | TOBACCO MANUFACTURES
  211     | CIGARETTES
  2111    | CIGARETTES
  212     | CIGARS, CHEROOTS, AND CIGARILLOS
  2121    | CIGARS
  213     | TOBACCO AND SNUFF
  2131    | CHEWING AND SMOKING TOBACCO AND SNUFF
  214     | MANUFACTURED TOBACCO, NSPF, INCLUDING PROCESSED SHEET TOBACCO
  2141    | MANUFACTURED TOBACCO, NSPF, INCLUDING PROCESSED SHEET TOBACCO
  22      | TEXTILE MILL PRODUCTS
  221     | BROAD WOVEN FABRICS, COTTON
  2211    | BROAD WOVEN FABRICS, COTTON
  222     | BROAD WOVEN FABRICS, MANMADE FIBERS AND SILK
  2221    | BROAD WOVEN FABRICS, MANMADE FIBERS AND SILK
  223     | BROAD WOVEN FABRICS, WOOL
  2231    | BROAD WOVEN FABRICS, WOOL
  224     | NARROW WOVEN FABRICS
  2241    | NARROW WOVEN FABRICS
  225     | HOSIERY AND KNIT FABRICS
  2252    | HOSIERY, NSPF
  2257    | CIRCULAR KNIT FABRICS
  2258    | WARP KNIT FABRICS
  227     | FLOOR COVERINGS
  2273    | CARPETS AND RUGS
  228     | YARN AND THREAD, TEXTILE FIBERS
  2281    | YARN, SPUN, OF COTTON, MAN-MADE FIBERS, AND SILK
  2284    | THREAD AND HANDWORK YARNS
  229     | TEXTILE GOODS, NSPF
  2295    | COATED FABRICS, NOT RUBBERIZED
  2296    | TIRE CORD AND FABRIC
  2297    | NONWOVEN FABRICS NSPF
  2298    | CORDAGE AND TWINE
  2299    | TEXTILE GOODS, NSPF
  23      | APPAREL AND RELATED PRODUCTS
  231     | SUITS AND COATS, MEN'S AND BOYS', EXCEPT RAINCOATS
  2311    | MEN'S AND BOYS' SUITS AND COATS, EXCEPT RAINCOATS
  232     | SHIRTS, NIGHTWEAR, UNDERWEAR, TROUSERS, AND WORK CLOTHING, MEN'S AND BOYS
  2321    | MEN'S AND BOYS' SHIRTS
  2322    | MEN'S AND BOYS' UNDERWEAR AND NIGHTWEAR
  2323    | MEN'S AND BOYS' NECKWEAR
  2325    | MEN'S AND BOYS' SEPARATE TROUSERS AND CASUAL SLACKS
  2329    | MEN'S AND BOYS' CLOTHING, NSPF
  233     | BLOUSES, WAISTS, DRESSES, SUITS, COATS, AND SKIRTS, WOMEN'S AND MISSES' NEW, NOT KNIT OR CROCHETED
  2331    | WOMEN'S AND MISSES' BLOUSES AND SHIRTS
  2335    | WOMEN'S AND MISSES' DRESSES
  2337    | WOMEN'S AND MISSES' SUITS, SKIRTS, AND COATS
  2339    | WOMEN'S AND MISSES' OUTERWEAR, NSPF
  234     | NIGHTWEAR AND UNDERWEAR, WOMEN'S, GIRLS', CHILDRENS' AND INFANTS'; CORSETS AND ALLIED GARMENTS
  2341    | WOMEN'S GIRLS', AND INFANTS' UNDERWEAR AND NIGHTWEAR
  2342    | BRASSIERES AND ALLIED GARMENTS
  235     | HEADWEAR, EXCEPT RUBBER OR PLASTIC
  2353    | HATS, CAPS, AND MILLINERY
  236     | OUTERWEAR, NSPF, TEXTILE FIBERS
  2369    | CHILDREN'S OUTERWEAR, NSPF
  237     | FUR CLOTHING AND OTHER ARTICLES MADE OF FURSKINS, NSPF
  2371    | FUR GOODS
  238     | WEARING APPAREL AND ACCESSORIES, NSPF
  2381    | FABRIC DRESS AND WORK GLOVES
  2384    | ROBES AND DRESSING GOWNS
  2385    | WATERPROOF OUTERGARMENTS
  2386    | LEATHER WEARING APPAREL, NSPF
  2387    | APPAREL BELTS, LEATHER
  2389    | APPAREL AND ACCESSORIES, NSPF
  239     | FABRICATED TEXTILE ARTICLES, NSPF
  2391    | CURTAINS AND DRAPERIES
  2392    | HOUSEFURNISHINGS, NSPF
  2393    | TEXTILE BAGS
  2394    | TARPAULINS, TENTS, AWNINGS, SAILS, AND OTHER MADE-UP CANVAS GOODS
  2395    | EMBROIDERIES, WHOLLY OR IN CHIEF WEIGHT TEXTILE FIBERS
  2396    | AUTOMOTIVE AND APPAREL TRIMMINGS, NSPF
  2399    | FABRICATED TEXTILE PRODUCTS, NSPF
  23X     | MILITARY APPAREL OF ALL TYPES AND MATERIALS, INCLUDING HEADWEAR AND FOOTWEAR
  23XX    | MILITARY APPAREL OF ALL TYPES AND MATERIALS, INCLUDING HEADWEAR AND FOOTWEAR
  24      | LUMBER AND WOOD PRODUCTS, EXCEPT FURNITURE
  241     | LOGS, PULPWOOD, UTILITY LINE POLES, PILING ETC
  2411    | LOGS, PULPWOOD, TIMBER, POLES, ETC
  242     | SAWMILL AND PLANING MILL PRODUCTS
  2421    | LUMBER AND OTHER SAWMILL AND PLANING MILL PRODUCTS, EXCEPT HARDWOOD DIMENSION STOCK AND FLOORING
  2426    | HARDWOOD DIMENSION STOCK AND FLOORING
  2429    | STAVES AND HOOPS; TIGHT BARRELHEADS OF SOFTWOOD; SHINGLES AND SHAKES
  243     | MILLWORK, VENEER, PLYWOOD, AND STRUCTURAL WOOD PRODUCTS
  2431    | MILLWORK
  2434    | WOOD KITCHEN CABINETS
  2435    | HARDWOOD VENEER AND PLYWOOD
  2436    | SOFTWOOD VENEER AND PLYWOOD
  2439    | STRUCTURAL WOOD MEMBERS, NSPF
  244     | WOODEN CONTAINERS
  2448    | WOOD PALLETS AND SKIDS
  2449    | WOOD CONTAINERS, NSPF
  245     | WOOD BUILDINGS AND MOBILE HOMES
  2451    | TRAILERS AND SEMI-TRAILERS FOR HOUSING OR CAMPING, NSPF
  2452    | PREFABRICATED WOOD BUILDINGS AND COMPONENTS
  249     | MISCELLANEOUS WOOD PRODUCTS
  2491    | WOOD PRODUCTS, PRESERVED OR TREATED
  2493    | RECONSTITUTED WOOD PRODUCTS
  2499    | WOOD PRODUCTS, NSPF
  25      | FURNITURE AND FIXTURES
  251     | HOUSEHOLD FURNITURE
  2512    | WOOD HOUSEHOLD FURNITURE, UPHOLSTERED
  2514    | HOUSEHOLD METAL FURNITURE, NSPF
  2515    | MATTRESSES AND BEDSPRINGS
  2517    | WOOD TELEVISION AND RADIO CABINETS
  252     | OFFICE FURNITURE
  2522    | OFFICE FURNITURE, EXCEPT WOOD
  254     | PARTITIONS, SHELVING, LOCKERS, AND OFFICE AND STORE FIXTURES
  2542    | COUNTERS, LOCKERS, RACKS, DISPLAY CASES, SHELVES, PARTITIONS, AND SIMILAR FIXTURES, OF METAL
  259     | VENETIAN BLINDS AND PARTS, IRON, STEEL OR ALUMINUM; FURNITURE, NSPF
  2591    | VENETIAN BLINDS AND PARTS, IRON, STEEL OR ALUMINUM; WINDOW SHADE FIXTURE, ETC, AND HARDWARE, NSPF, BASE METAL
  2599    | FURNITURE AND FIXTURES, NSPF
  26      | PAPER AND ALLIED PRODUCTS
  261     | PULP MILL PRODUCTS
  2611    | PULP MILL PRODUCTS
  262     | PAPER MILL PRODUCTS
  2621    | PAPER MILL PRODUCTS
  263     | PAPERBOARD MILL PRODUCTS
  2631    | WET MACHINE BOARD, NSPF
  265     | PAPERBOARD CONTAINERS AND BOXES
  2652    | SETUP PAPERBOARD BOXES
  2653    | CORRUGATED PAPER AND PAPERBOARD AND ARTICLES THEREOF, INCLUDIND BOXES, PALLETS, ETC.
  2655    | FIBER CANS, TUBES, BOBBINS, DRUMS, AND SIMILAR PRODUCTS
  2656    | SANITARY FOOD AND BEVERAGE CONTAINERS EXCEPT FOLDING
  2657    | FOLDING PAPERBOARD BOXES
  267     | CONVERTED PAPER AND PAPERBOARD PRODUCTS, EXCEPT CONTAINERS AND BOXES
  2672    | PAPER, COATED AND LAMINATED, NSPF
  2673    | PLASTICS, FOIL, AND COATED PAPER BAGS
  2674    | BAGS; UNCOATED PAPER AND MULTIWALL
  2675    | DIE-CUT PAPER AND PAPERBOARD; CARDS AND CARDBOARD
  2676    | SANITARY PAPER PRODUCTS
  2677    | ENVELOPES
  2678    | STATIONERY PRODUCTS
  2679    | CONVERTED PAPER PRODUCTS, NSPF
  27      | PRINTING, PUBLISHING, AND ALLIED PRODUCTS
  271     | NEWSPAPERS, UNBOUND, EXCEPT AS WASTE
  2711    | NEWSPAPERS
  272     | PERIODICALS, UNBOUND, EXCEPT AS WASTE
  2721    | PERIODICALS
  273     | BOOKS AND PAMPHLETS
  2731    | BOOKS AND PAMPHLETS
  274     | MISCELLANEOUS PUBLICATIONS
  2741    | MISCELLANEOUS PUBLICATIONS
  275     | COMMERCIAL PRINTED MATTER
  2752    | PRINTED MATTER, LITHOGRAPHIC
  276     | MANIFOLD BUSINESS FORMS AND INTERLEAVED CARBON SETS
  2761    | MANIFOLD BUSINESS FORMS AND INTERLEAVED CARBON SETS
  277     | GREETING CARDS
  2771    | GREETING CARDS
  278     | BLANKBOOKS, LOOSE LEAF BINDERS AND DEVICES
  2782    | BLANKBOOKS, LOOSE LEAF BINDERS AND DEVICES
  279     | PRINTING BLOCKS, CYLINDERS, PLATES, SHEETS AND STEREOTYPES, ENGRAVED, ETCHED, ETC, OTHER THAN FOR TEXTILES, LEATHER, ETC
  2796    | PRINTING TYPE, BLOCKS, PLATES AND OTHER PRINTING COMPONENTS; CYLINDERS AND LITHOGRAPHIC STONES, PREPARED FOR PRINTING PURPOSES
  28      | CHEMICALS AND ALLIED PRODUCTS
  281     | INDUSTRIAL INORGANIC CHEMICALS
  2812    | ALKALIES AND CHLORINE
  2813    | INDUSTRIAL GASES
  2816    | INORGANIC PIGMENTS
  2819    | INDUSTRIAL INORGANIC CHEMICALS, NSPF
  282     | PLASTICS MATERIALS AND SYNTHETIC RESINS; SYNTHETIC RUBBER; SYNTHETIC AND OTHER MANMADE FIBERS, EXCEPT GLASS
  2821    | PLASTICS MATERIALS AND RESINS
  2822    | SYNTHETIC RUBBER
  2823    | MANMADE FIBERS, CELLULOSIC
  2824    | MANMADE FIBERS, NONCELLULOSIC
  283     | DRUGS
  2833    | MEDICINALS AND BOTANICALS
  2834    | PHARMACEUTICAL PREPARATIONS
  2835    | PREPARED DIAGNOSTIC SUBSTANCES
  2836    | BIOLOGICAL PRODUCTS
  284     | SOAPS, DETERGENTS, AND CLEANING PREPARATIONS; PERFUMES, COSMETICS, AND OTHER TOILET PREPARATIONS
  2841    | SOAP AND OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS
  2842    | SPECIALTY CLEANING, POLISHING, AND SANITARY PREPARATIONS
  2843    | SURFACE ACTIVE AGENTS
  2844    | TOILET PREPARATIONS
  285     | PAINTS, VARNISHES, LACQUERS, AND ENAMELS
  2851    | PAINTS AND ALLIED PRODUCTS
  286     | INDUSTRIAL ORGANIC CHEMICALS
  2861    | GUM AND WOOD CHEMICALS
  2865    | CYCLIC CRUDES AND INTERMEDIATES
  2869    | INDUSTRIAL ORGANIC CHEMICALS, NSPF
  287     | AGRICULTURAL CHEMICALS
  2873    | NITROGENOUS FERTILIZERS
  2874    | PHOSPHATIC FERTILIZERS
  2879    | AGRICULTURAL PESTICIDES AND OTHER AGRICULTURAL CHEMICALS, NSPF
  289     | MISCELLANEOUS CHEMICALS
  2891    | ADHESIVES AND SEALANTS
  2892    | EXPLOSIVES
  2893    | PRINTING INKS
  2895    | CARBON BLACK
  2899    | CHEMICAL PREPARATIONS, NSPF
  29      | PETROLEUM REFINING AND RELATED PRODUCTS
  291     | PETROLEUM REFINERY PRODUCTS
  2911    | PETROLEUM REFINERY PRODUCTS
  295     | PAVING AND ROOFING MATERIALS
  2951    | PAVING MIXTURES AND BLOCKS
  2952    | ASPHALT FELTS AND COATINGS
  299     | PETROLEUM AND COAL PRODUCTS, NSPF
  2999    | PETROLEUM AND COAL PRODUCTS, NSPF
  30      | RUBBER AND MISCELLANEOUS PLASTICS PRODUCTS
  301     | TIRES AND INNER TUBES
  3011    | TIRES AND INNER TUBES
  302     | RUBBER AND PLASTIC FOOTWEAR
  3021    | RUBBER AND PLASTICS FOOTWEAR
  305     | RUBBER AND PLASTICS HOSE AND BELTING
  3052    | RUBBER AND PLASTICS HOSE AND BELTING
  3053    | GASKETS, PACKING, AND SEALING DEVICES
  306     | FABRICATED RUBBER PRODUCTS, NSPF
  3069    | FABRICATED RUBBER PRODUCTS, NSPF
  308     | MISCELLANEOUS PLASTICS PRODUCTS
  3081    | PLASTICS FILM, STRIPS, AND SHEETS, UNSUPPORTED
  3082    | UNSUPPORTED PLASTICS PROFILE SHAPES
  3084    | PLASTIC PIPE
  3085    | PLASTICS BOTTLES, FLASKS, AND SIMILAR ARTICLES
  3088    | PLASTICS PLUMBING FIXTURES AND SANITARY WARE
  3089    | PLASTICS PRODUCTS, NSPF
  31      | LEATHER AND LEATHER PRODUCTS
  311     | LEATHER, TANNED OR FINISHED
  3111    | LEATHER, TANNED OR FINISHED
  313     | PREPARED PARTS OF FOOTWEAR, ALL MATERIALS OTHER THAN RUBBER, ELASTOMER RESIN, METAL, AND ASBESTOS
  3131    | BOOT AND SHOE CUT STOCK AND FINDINGS
  314     | FOOTWEAR, EXCEPT RUBBER AND PLASTIC
  3142    | HOUSE SLIPPERS
  3143    | MEN;S FOOTWEAR, NSPF; WORK FOOTWEAR, NSPF
  3144    | WOMEN'S FOOTWEAR, NSPF; FOOTWEAR MADE ON A BASIS OR PLATFORM OF WOOD, NOT HAVING AN INNER SOLE OR A PROTECTIVE METAL TOE CAP
  3149    | FOOTWEAR, NSPF
  315     | LEATHER GLOVES, EXCEPT SPORT GLOVES
  3151    | LEATHER GLOVES AND MITTENS
  316     | LUGGAGE AND RELATED ITEMS
  3161    | LUGGAGE
  317     | HANDBAGS AND OTHER PERSONAL LEATHER GOODS
  3171    | WOMEN'S HANDBAGS AND PURSES
  3172    | PERSONAL GOODS, OF LEATHER, EXCEPT HANDBAGS AND PURSES
  319     | LEATHER GOODS, NSPF
  3199    | LEATHER GOODS, NSPF
  32      | STONE, CLAY, GLASS, AND CONCRETE PRODUCTS
  321     | FLAT GLASS
  3211    | FLAT GLASS
  322     | GLASS CONTAINERS; PRESSED AND BLOWN GLASS AND GLASSWARE
  3221    | GLASS CONTAINERS
  3229    | PRESSED AND BLOWN GLASS, NSPF
  323     | PRODUCTS OF PURCHASED GLASS, NSPF
  3231    | PRODUCTS OF PURCHASED GLASS, NSPF
  324     | CEMENT, HYDRAULIC
  3241    | CEMENT, HYDRAULIC
  325     | STRUCTURAL CLAY PRODUCTS
  3251    | BRICK AND STRUCTURAL CLAY TILE
  3253    | CERAMIC WALL AND FLOOR TILE
  3255    | CLAY REFRACTORIES
  3259    | NONREFRACTORY CERAMIC CONSTRUCTION MATERIALS, NSPF
  326     | POTTERY AND RELATED PRODUCTS
  3261    | VITREOUS PLUMBING FIXTURES
  3262    | CHINA TABLEWARE
  3264    | PORCELAIN ELECTRICAL AND ELECTRONIC SUPPLIES
  3269    | CERAMIC ARTICLES, NSPF
  327     | CONCRETE, GYPSUM AND PLASTER PRODUCTS, AND LIME
  3271    | CONCRETE BLOCKS AND BRICKS
  3272    | CONCRETE PRODUCTS, NSPF
  3273    | NONREFRACTORY MORTARS AND CONCRETES, WET
  3274    | LIME
  3275    | GYPSUM PRODUCTS
  328     | CUT STONE AND STONE PRODUCTS
  3281    | CUT STONE AND STONE PRODUCTS
  329     | ABRASIVE, ASBESTOS, AND MISCELLANEOUS NONMETALLIC MINERAL PRODUCTS
  3291    | ABRASIVE PRODUCTS
  3292    | ASBESTOS PRODUCTS, NSPF
  3295    | MINERALS AND EARTHS, GROUND OR OTHERWISE TREATED
  3296    | MINERAL WOOL INSULATING MATERIALS
  3297    | NONCLAY REFRACTORIES
  3299    | NONMETALLIC MINERAL PRODUCTS, NSPF
  33      | PRIMARY METAL PRODUCTS
  331     | BLAST FURNACE, STEEL WORKS, ROLLING MILL, AND FINISHING MILL PRODUCTS
  3312    | BLAST FURNACE, STEEL WORKS, AND ROLLING MILL PRODUCTS
  3313    | ELECTROMETALLURGICAL PRODUCTS
  3315    | IRON OR STEEL NAILS, SPIKES, BRADS, STAPLES, AND TACKS
  332     | IRON AND STEEL PRODUCTS
  3321    | CAST IRON PRODUCTS, NOT MALLEABLE
  333     | SMELTER AND REFINED NONFERROUS METAL
  3331    | SMELTER AND REFINED COPPER
  3334    | ALUMINUM AND ALUMINUM ALLOYS, UNWROUGHT
  3339    | PRIMARY NONFERROUS METALS, NSPF
  334     | SECONDARY SMELTING AND REFINING OF NONFERROUS METALS
  3341    | SECONDARY SMELTING AND REFINING OF NONFERROUS METALS
  335     | ROLLED, DRAWN, AND EXTRUDED NONFERROUS METAL
  3351    | COPPER, ROLLED OR DRAWN
  3353    | ALUMINUM SHEET, PLATE, AND FOIL, ROLLED OR DRAWN
  3354    | ALUMINUM EXTRUDED PRODUCTS, ROLLED OR DRAWN
  3356    | EXTRUDED NONFERROUS METAL MILL PRODUCTS, NSPF, ROLLED OR DRAWN
  3357    | NONFERROUS METAL WIRE AND CABLE, DRAWN AND INSULATED
  336     | NONFERROUS METAL CASTINGS AND FORGINGS
  3365    | ALUMINUM FOUNDRIES
  339     | PRIMARY METAL PRODUCTS, NSPF
  3399    | PRIMARY METAL PRODUCTS, NSPF
  34      | FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND TRANSPORTATION EQUIPMENT
  341     | CANS, USED FOR TRANSPORT OF GOODS, OF IRON, STEEL, OR ALUMINUM
  3411    | METAL CANS
  3412    | METAL SHIPPING BARRELS, DRUMS, KEGS, AND PAILS
  342     | CUTLERY, HAND TOOLS, AND HARDWARE, NSPF
  3421    | CUTLERY
  3423    | HAND AND EDGE TOOLS, EXCEPT MACHINE TOOLS AND HAND SAWS
  3425    | HAND SAWS AND SAW BLADES
  3429    | HARDWARE, NSPF
  343     | HEATING EQUIPMENT, EXCEPT ELECTRIC AND WARM AIR; AND PLUMBING FIXTURES
  3431    | ENAMELED IRON AND METAL SANITARY WARE
  3432    | PLUMBING FIXTURE FITTINGS AND TRIM
  3433    | HEATING EQUIPMENT, NONELECTRIC, NSPF
  344     | FABRICATED STRUCTURAL METAL PRODUCTS
  3441    | FABRICATED STRUCTURAL METAL PRODUCTS, NSPF
  3442    | METAL DOORS, SASH AND TRIM, OF IRON, STEEL, OR ALUMINUM
  3443    | FABRICATED PLATE WORK
  3444    | SHEET-METAL STRUCTURE PARTS, NSPF
  3446    | ARCHITECTURAL AND ORNAMENTAL METAL WORK, NSPF; EQUIPMENT FOR SCAFFOLDING, SHUTTERING, PROPPING OR PIT-PROPPING
  3448    | PREFABRICATED METAL BUILDINGS AND COMPONENTS
  3449    | STRUCTURAL METAL PARTS, NSPF
  345     | BOLTS, NUTS, SCREWS, RIVETS, WASHERS AND SIMILAR ARTICLES OF BASE METALS
  3452    | BOLTS, NUTS, SCREWS, RIVETS, AND WASHERS
  346     | METAL FORGINGS AND STAMPINGS
  3465    | AUTOMOTIVE STAMPINGS
  3466    | CROWNS AND CLOSURES
  3469    | COOKING AND KITCHENWARE OF ALUMINUM (EXCEPT CAST), NSPF
  348     | ORDNANCE AND ACCESSORIES, EXCEPT VEHICLES AND GUIDED MISSILES
  3482    | SMALL ARMS AMMUNITION
  3484    | SMALL ARMS
  3489    | MILITARY WEAPONS NSPF; AND PARTS, NSPF
  349     | FABRICATED METAL PRODUCTS, NSPF
  3491    | INDUSTRIAL VALVES
  3492    | FLUID TRANSFER POWER VALVES, AND PARTS THEREOF
  3493    | SPRINGS, OF STEEL, NSPF
  3494    | VALVES AND PIPE FITTINGS, NSPF
  3496    | FABRICATED WIRE PRODUCTS, NSPF
  3497    | METAL FOIL AND LEAF
  3499    | FABRICATED METAL PRODUCTS, NSPF
  35      | MACHINERY, EXCEPT ELECTRICAL
  351     | ENGINES AND TURBINES, AND PARTS AND ACCESSORIES, NSPF
  3511    | TURBINES AND TURBINE GENERATOR SETS
  3519    | INTERNAL COMBUSTION ENGINES, NSPF
  352     | FARM AND GARDEN MACHINERY AND EQUIPMENT, AND PARTS AND ATTACHMENTS, NSPF
