Shipper,Consignee,Port of Lading,Port of Unlading
Citygusa Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Citygusa Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Citygusa Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Companhia Siderrugica Do Cuchi S.A,Capes Shipping Agencies 113 Arendel,"Namibe, Angola","Port Of Entry-Morehead City - Beaufort, Beaufort‑Morehead City, North Carolina"
Companhia Siderrugica Do Cuchi S.A,Host Agency,"Namibe, Angola","The Port of Charleston, Charleston, South Carolina"
Cosimat Siderurgica De Matozinhos L,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Cosimat Siderurgica De Matozinhos L,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Css Siderurgica Setelagoana Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Cssh Companhia Siderurgica,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Duferco ,To Order,"Itaqui, Brazil","Alabama State Port Authority, Mobile, Alabama"
Duferco ,To Order,"Praia Mole, Brazil","Alabama State Port Authority, Mobile, Alabama"
Duferco ,To Order,"Itaqui, Brazil","Corpus Christi, Corpus Christi, Texas"
Duferco ,To Order,"Praia Mole, Brazil","Corpus Christi, Corpus Christi, Texas"
Duferco ,Tms International Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Duferco ,Dbs Bank Ltd. London,"Praia Mole, Brazil","The Port of Brownsville, Brownsville, Texas"
Fergubel Ferro Gusa Bela Vista,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Fergubel Ferro Gusa Bela Vista,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Fergubel Ferro Gusa Bela Vista,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Fergubel Ferro Gusa Bela Vista,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Fergubel Ferro Gusa Bela Vista,Gulf Inland Marine Services Inc.,"Itaqui, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ferguminas Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Ferguminas Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Ferguminas Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Ferguminas Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ferguminas Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ferguminas Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ferguminas Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ferguminas Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Gelf Siderurgia S.A.,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Gelf Siderurgia S.A.,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Gelf Siderurgia S.A.,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Gelf Siderurgia S.A.,,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Cooperatieve Rabobank U.A.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Primetrade,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Tms International Llc,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Gelf Siderurgia S.A.,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Ifg Industries De Ferro Gusa Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Ifg Industries De Ferro Gusa Ltda,Brown Brothers Harriman And Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Ifg Industries De Ferro Gusa Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Industria Siderurgica,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Malco Energy Ltd.,Gulf Inland Marine Services Inc.,"Goa, India","Port of New Orleans, New Orleans, Louisiana"
Mata Grande Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalfer Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Metalfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Metalfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Metalfer Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalfer Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalfer Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalfer Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Metalsider Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Metalsider Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Metalsider Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Metalsider Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Minas Trading Co. Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Minasfer Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Minasfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Minasfer Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Minasfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Minasfer Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Minasfer Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Minasfer Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Multifer Siderurgia Ltd.,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Multifer Siderurgia Ltd.,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Multifer Siderurgia Ltd.,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Multifer Siderurgia Ltd.,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Multifer Siderurgia Ltd.,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Multifer Siderurgia Ltd.,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Multifer Siderurgia Ltd.,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Multifer Siderurgia Ltd.,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Multifer Siderurgia Ltd.,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Onesteel Mfg. (Pty) ) Ltd.,Onesteel Mfg. (Pty) ) Ltd.,"All Other Australia Ports, Australia","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Pjsc Arcelormittal Kryvyi Rih,Am/Ns Calvert Llc,"Juzhny, Ukraine","Alabama State Port Authority, Mobile, Alabama"
Pjsc Arcelormittal Kryvyi Rih,Steel Dynamics ,"Juzhny, Ukraine","Alabama State Port Authority, Mobile, Alabama"
Pjsc Arcelormittal Kryvyi Rih,Host Agency,"Juzhny, Ukraine","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Pjsc Arcelormittal Kryvyi Rih,Steel Dynamics ,"Odense, Denmark","Corpus Christi, Corpus Christi, Texas"
Pjsc Arcelormittal Kryvyi Rih,Host Agency,"Juzhny, Ukraine","Port of New Orleans, New Orleans, Louisiana"
Pjsc Arcelormittal Kryvyi Rih,JSW,"Juzhny, Ukraine","Port of New Orleans, New Orleans, Louisiana"
Pjsc Arcelormittal Kryvyi Rih,The David J. Joseph Co.,"Juzhny, Ukraine","Port of New Orleans, New Orleans, Louisiana"
Pjsc Arcelormittal Kryvyi Rih,215 East Bay St. Ste 201 M,"All Other Ukraine Ports, Ukraine","The Port of Charleston, Charleston, South Carolina"
Pjsc Arcelormittal Kryvyi Rih,Host Agency,"Juzhny, Ukraine","The Port of Charleston, Charleston, South Carolina"
Pjsc Arcelormittal Kryvyi Rih,215 East Bay St. Ste 201 M,"Juzhny, Ukraine","The Port of Charleston, Charleston, South Carolina"
Pjsc Kamet Ste,,"Juzhny, Ukraine","Port of New Orleans, New Orleans, Louisiana"
Pjsc Zaporizhstal Ukraine For And,,"Juzhny, Ukraine","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Sama Santa Marta Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Sama Santa Marta Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sama Santa Marta Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sama Santa Marta Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sama Santa Marta Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sama Santa Marta Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sama Santa Marta Siderurgia Ltda,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sama Santa Marta Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Sds Siderurgica Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Sds Siderurgica Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sds Siderurgica Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sds Siderurgica Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sds Siderurgica Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sds Siderurgica Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sds Siderurgica Ltda,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sds Siderurgica Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Sg Comercio Exterior Sa,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Sg Comercio Exterior Sa,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sg Comercio Exterior Sa,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sg Comercio Exterior Sa,Host Agency,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sg Comercio Exterior Sa,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Sidermin Siderurgica Mineira Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Sidermin Siderurgica Mineira Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sidermin Siderurgica Mineira Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Sidermin Siderurgica Mineira Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sidermin Siderurgica Mineira Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sidermin Siderurgica Mineira Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sidermin Siderurgica Mineira Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Sidermin Siderurgica Mineira Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Siderurgica Alterosa Sa,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Siderurgica Alterosa Sa,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Siderurgica Alterosa Sa,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Siderurgica Alterosa Sa,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Alterosa Sa,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Alterosa Sa,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Alterosa Sa,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Alterosa Sa,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Siderurgica Itabirito Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Siderurgica Itabirito Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Siderurgica Itabirito Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Siderurgica Itabirito Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Itabirito Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Itabirito Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Itabirito Ltda,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Itabirito Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Siderurgica Setegusa Eireli,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Siderurgica Valinho S A,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Siderurgica Valinho S A,National Material Trading Llc,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Stemcor,Host Agency,"Victoria, Brazil","Alabama State Port Authority, Mobile, Alabama"
Stemcor,To Order,"Victoria, Brazil","Alabama State Port Authority, Mobile, Alabama"
Stemcor,,"Rio De Janeiro, Brazil","Corpus Christi, Corpus Christi, Texas"
Stemcor,Steel Dynamics ,"Rio De Janeiro, Brazil","Corpus Christi, Corpus Christi, Texas"
Stemcor,Host Agency,"Victoria, Brazil","Corpus Christi, Corpus Christi, Texas"
Stemcor,,"Praia Mole, Brazil","Port of New Orleans, New Orleans, Louisiana"
Stemcor,Host Agency,"Victoria, Brazil","The Port of Brownsville, Brownsville, Texas"
Stemcor,Stemcor,"Victoria, Brazil","The Port of Brownsville, Brownsville, Texas"
Stemcor,Stemcor,"Itaqui, Brazil","Alabama State Port Authority, Mobile, Alabama"
Stemcor,Stemcor,"Victoria, Brazil","Alabama State Port Authority, Mobile, Alabama"
Stemcor,Stemcor,"Victoria, Brazil","Corpus Christi, Corpus Christi, Texas"
Stemcor,Stemcor,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Tecnosider Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana"
Tecnosider Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Tecnosider Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Tecnosider Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Tecnosider Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Tecnosider Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Tecnosider Siderurgia Ltda,Linvingston International Inc.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Tecnosider Siderurgia Ltda,The David J. Jospeh Co.,"Rio De Janeiro, Brazil","Port of New Orleans, New Orleans, Louisiana"
Tecnosider Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Tronox Mineral Sands ( (Pty) ) Ltd.,Primetrade,"All Other Republic Of South Africa Ports, South Africa","Alabama State Port Authority, Mobile, Alabama"
Tronox Mineral Sands ( (Pty) ) Ltd.,Primetrade,"Richard's Bay, South Africa","Alabama State Port Authority, Mobile, Alabama"
Usina Siderurgica Atlas S A,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
Usina Siderurgica Atlas S A,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Usina Siderurgica Atlas S A,Host Agency,"Victoria, Brazil","Port of New Orleans, New Orleans, Louisiana"
Vetorial Siderurgia Ltda,Gulf Inland Marine Services Inc.,"Rio De Janeiro, Brazil","Port of Gramercy, Gramercy, Louisiana"
Vetorial Siderurgia Ltda,Host Agency,"All Other Brazil Ports North Of Recife, Brazil","Port of New Orleans, New Orleans, Louisiana"
Vetorial Siderurgia Ltda,Host Agency,"Rio De Janeiro, Brazil","The Port of Charleston, Charleston, South Carolina"
