Waterway_code,Waterway_Name
111,"STOCKTON HARBOR, ME (INCLUDED IN PENOBSCOT RIVER, ME)"
112,"SEARSPORT HARBOR, ME"
113,"MATINICUS HARBOR, ME"
114,"CRIEHAVEN HARBOR, ME"
115,"BELFAST HARBOR, ME"
116,"CAMDEN HARBOR, ME"
117,"ROCKPORT HARBOR, ME"
118,"ROCKLAND HARBOR, ME"
119,"OWLS HEAD HARBOR, ME"
120,"TENANTS HARBOR, ME"
121,"THOMASTON HARBOR (GEORGES RIVER), ME"
122,"NEW HARBOR, ME"
123,"SOUTH BRISTOL HARBOR, ME"
124,"EAST BOOTHBAY HARBOR, ME"
125,"BOOTHBAY HARBOR, ME"
126,"HENDRICKS HARBOR, ME"
127,"RICHMOND HARBOR, ME"
128,"PORTLAND HARBOR, ME"
129,"RICHMOND'S ISLAND HARBOR, ME"
130,"WOOD ISLAND HARBOR, ME AND THE POOL AT BIDDEFORD"
131,"CAPE PORPOISE HARBOR, ME"
132,"WELLS HARBOR, ME"
133,"YORK RIVER, ME"
134,"PEPPERELL COVE, KITTERY, ME"
135,"PORTSMOUTH HARBOR, NH"
136,"LITTLE HARBOR, NH"
137,"ISLE OF SHOALS HARBOR, ME AND NH"
138,"RYE HARBOR, NH"
139,"NEWBURYPORT HARBOR, MA"
140,"BASS RIVER (INCLUDED IN BEVERLY HARBOR, MA)"
141,"PIGEON COVE, MA"
142,"ROCKPORT HARBOR, MA"
143,"GLOUCESTER HARBOR, MA"
144,"MANCHESTER HARBOR, MA"
145,"BEVERLY HARBOR, MA"
146,"SALEM HARBOR, MA"
147,"MARBLEHEAD HARBOR, MA"
148,"LYNN HARBOR, MA"
149,"PORT OF BOSTON, MA"
150,MAIN WATERFRONT (INCLUDED IN PORT OF BOSTON)
151,"WINTHROP HARBOR, MA (INCLUDED IN PORT OF BOSTON)"
152,"CHELSEA RIVER, MA (INCLUDED IN PORT OF BOSTON)"
153,"MYSTIC RIVER, MA (INCLUDED IN PORT OF BOSTON)"
154,"ISLAND END RIVER, MA (INCLUDED IN PORT OF BOSTON)"
155,"MALDEN RIVER, MA (INCLUDED IN PORT OF BOSTON)"
156,"LITTLE MYSTIC RIVER, MA (INCLUDED IN PORT OF BOSTON)"
157,"CHARLES RIVER, MA (INCLUDED IN PORT OF BOSTON)"
158,"FORT POINT CHANNEL, MA (INCLUDED IN PORT OF BOSTON)"
159,"HINGHAM BAY, MA (INCLUDED IN PORT OF BOSTON)"
160,"DORCHESTER BAY, MA (INCLUDED IN PORT OF BOSTON)"
161,"NEPONSET RIVER, MA (INCLUDED IN PORT OF BOSTON)"
162,"WEYMOUTH FORE RIVER, MA (INCLUDED IN PORT OF BOSTON)"
163,"TOWN RIVER, MA (INCLUDED IN PORT OF BOSTON)"
164,"WEYMOUTH BACK RIVER, MA (INCLUDED IN PORT OF BOSTON)"
165,"HINGHAM HARBOR, MA (INCLUDED IN PORT OF BOSTON)"
166,"COHASSET HARBOR, MA"
167,"SCITUATE HARBOR, MA"
168,"DUXBURY HARBOR, MA"
169,"KINGSTON HARBOR (NORTH PLYMOUTH), MA"
170,"PLYMOUTH HARBOR, MA (INCLUDING NORTH PLYMOUTH)"
171,"CAPE COD CANAL, MA"
172,"PROVINCETOWN HARBOR, MA"
173,"WELLFLEET HARBOR, MA"
174,"WAREHAM HARBOR, MA"
175,"CHATHAM (STAGE) HARBOR, MA"
176,"HYANNIS HARBOR, MA"
177,"FALMOUTH HARBOR, MA"
178,"COTUIT HARBOR, MA"
179,"LITTLE HARBOR, WOODS HOLE, MA"
180,"WOODS HOLE CHANNEL, MA"
181,"POLLACK RIP SHOALS, NANTUCKET SOUND, MA"
182,"VINEYARD HAVEN HARBOR, MA"
183,"HARBOR OF REFUGE, NANTUCKET, MA"
184,"EDGARTOWN HARBOR, MA"
185,"CUTTYHUNK HARBOR, MA"
186,"MATTAPOISETT HARBOR, MA"
187,"NEW BEDFORD AND FAIRHAVEN HARBOR, MA"
188,"SAKONNET RIVER AND HARBOR, RI"
189,"FALL RIVER HARBOR, MA"
190,"BRISTOL HARBOR, RI"
191,"PROVIDENCE RIVER AND HARBOR, RI"
192,"NEWPORT HARBOR, RI"
193,"HARBOR AT COASTERS HARBOR ISLAND, RI"
194,"APPONAUG COVE, RI"
195,"GREENWICH BAY, RI (OPEN WATERS AND NON PROJ AREA)"
196,"NARRAGANSETT BAY, RI"
197,"WICKFORD HARBOR, RI"
198,"HARBOR OF REFUGE, POINT JUDITH AND POINT JUDITH POND, RI"
199,"HARBOR OF REFUGE, BLOCK ISLAND, RI"
200,"BYRAM RIVER, NY"
201,"EAST ROCKAWAY INLET, NY (DEBS INLET) (INCLUDED IN PORT OF NEW YORK)"
202,RESERVED CHANNEL (INCLUDED IN PORT OF BOSTON)
204,"WAPPINGER CREEK, NY"
205,"FEDERAL LOCK, TROY, NY"
206,"NEW YORK STATE BARGE CANAL SYSTEM, NY"
207,"NARROWS OF LAKE CHAMPLAIN, NY AND VT"
208,"TICONDEROGA RIVER, NY"
209,"OTTER CREEK, VT"
210,"GORDONS LANDING, LAKE CHAMPLAIN, VT"
211,"CHANNEL BETWEEN NORTH AND SOUTH HERO ISLAND, LAKE CHAMPLAIN, VT"
212,"ST. ALBANS HARBOR (LAKE CHAMPLAIN), VT"
213,"GREAT CHAZY RIVER, NY"
214,"ROUSES POINT, NY"
215,"GLEN COVE CREEK, NY"
216,"SHINNECOCK INLET, NY"
217,"SHINNECOCK CANAL, NY"
218,"LONG ISLAND INTRACOASTAL WATERWAY, NY"
219,"MORICHES INLET, NY"
220,"FIRE ISLAND INLET, NY"
221,"GREAT SOUTH BAY, NY (INCLUDING STATISTICS FOR PATCHOQUE RIVER, NY)"
222,"SUMPAWANUS (BABYLON CREEK) INLET, NY"
223,"PATCHOGUE RIVER, NY (INCLUDED IN STATISTICS FOR GREAT SOUTH BAY, NY)"
224,"BROWNS CREEK, NY"
225,"OROWOC CREEK, NY"
226,"JONES INLET, NY"
227,"REYNOLDS CHANNEL, NY"
228,"SHARK RIVER, NJ"
229,LONG ISLAND SOUND ENTRANCE TO PORT OF NEW YORK
230,"DELAWARE RIVER, NY, NJ , AND PA MOUTH OF NEVERSINK RIVER"
233,"INLAND WATERWAY, CHINCOTEAGUE BAY, VA TO DELAWARE BAY, DE"
234,"ASSAWOMAN CANAL, DE"
235,"INDIAN RIVER INLET AND BAY, DE"
236,"WATERWAY FROM INDIAN RIVER INLET TO REHOBOTH BAY, DE"
237,"INLAND WATERWAY BETWEEN REHOBOTH BAY AND DELAWARE BAY, DE"
238,"HARBOR OF REFUGE, DELAWARE BAY, DE"
239,"BROADKILL RIVER, DE"
240,"MISPILLION RIVER, DE"
241,"MURDERKILL RIVER, DE"
242,"ST. JONES RIVER, DE"
243,"LITTLE RIVER, DE"
244,"MAHON RIVER, DE"
245,"LEIPSIC RIVER, DE"
246,"SMYRNA RIVER, DE"
247,"APPOQUINIMINK RIVER, DE"
248,"INLAND WATERWAY FROM DELAWARE RIVER TO CHESAPEAKE BAY, DE AND MD - CHESAPEAKE AND DELAWARE CANAL"
249,"CHRISTINA RIVER, DE"
250,"CHESTER RIVER, PA"
251,DARBY CREEK PA
252,"SCHUYLKILL RIVER, PA; MOUTH TO UNIVERSITY AVE."
253,"SCHUYLKILL RIVER, PA; ABOVE FAIRMONT DAM"
254,"SCHUYKILL CANAL, PA"
255,"LEHIGH CANAL, PA"
256,"DELAWARE AND RARITAN CANAL, NJ"
257,"RANCOCAS RIVER, NJ"
258,"COOPER RIVER, NJ"
259,"BIG TIMBER CREEK, NJ"
260,"WOODBURY CREEK, NJ"
261,"MANTUA CREEK, NJ"
262,"RACOON CREEK, NJ"
263,"OLDMANS CREEK, NJ"
264,"SALEM CANAL, NJ"
265,"SALEM RIVER, NJ"
266,"ALLOWAY CREEK, NJ"
267,"COHANSEY RIVER, NJ"
268,"MAURICE RIVER, NJ"
269,"DENNIS CREEK, NJ"
270,"GOSHEN CREEK, NJ"
271,"FORTESCUE CREEK, NJ"
274,"COLD SPRING INLET, NJ"
275,"HEREFORD INLET, NJ"
276,"TOWNSEND INLET, NJ"
277,"CORSONS INLET, NJ"
278,"GREAT EGG INLET, NJ"
279,"ABSECON INLET, NJ"
280,"BRIGANTINE INLET, NJ"
281,"LITTLE EGG INLET, NJ"
282,"BARNEGAT BAY, NJ"
283,"BEACH HAVEN INLET, NJ"
284,"BARNEGAT INLET, NJ"
285,"POINT PLEASANT CANAL, NJ (BAYHEAD MANASQUAN CANAL)"
286,"FORKED RIVER, NJ"
287,"MANASQUAN RIVER, NJ"
288,"TOMS RIVER, NJ"
289,"DOUBLE CREEK, NJ"
290,"TUCKERTON CREEK, NJ"
291,"BASS RIVER, NJ"
292,"MULLICA RIVER, NJ"
293,"ABSECON CREEK, NJ"
294,"ST. MICHAELS HARBOR, MD"
295,"CHESCONESSEX CREEK, VA"
296,"QUEENS CREEK, VA"
297,"CHESTER AREA, PA"
298,"PENN MANOR AREA, PA"
299,"NEW CASTLE AREA, DE"
300,"GREAT SALT POND, BLOCK ISLAND, RI"
301,"LITTLE NARRAGANSETT BAY AND WATCH HILL COVE, RI AND CT"
302,"STONINGTON HARBOR, CT"
303,"HAY (WEST) HARBOR, NY"
304,"NEW LONDON HARBOR, CT"
305,"DUCK ISLAND HARBOR, CT"
306,"CLINTON HARBOR, CT"
307,"GUILFORD HARBOR, CT"
308,"BRANFORD HARBOR, CT"
309,"NEW HAVEN, CT MAIN HARBOR"
310,"MILFORD HARBOR, CT"
311,"BRIDGEPORT HARBOR, CT"
312,"SOUTHPORT HARBOR, CT"
313,"WESTPORT HARBOR AND SAUGATUCK RIVER, CT"
314,"NORWALK HARBOR, CT"
315,"HARBOR AT WILSON POINT, CT"
316,"WESTCOTT COVE, CT"
317,"STAMFORD HARBOR, CT"
318,"MIANUS RIVER AND COS COB HARBOR, CT"
319,"GREENWICH HARBOR, CT"
320,"FIVEMILE RIVER HARBOR, CT"
321,"PENIKESE ISLAND, MA"
322,"PRUDENCE ISLAND, RI"
323,"JAMESTOWN, RI"
324,"DAVISVILLE, RI"
325,"PLUM ISLAND, NY"
326,"PINE ORCHARD, CT"
327,"LITTLE CAPTAINS ISLAND, CT"
328,"ISLAND BEACH, CT"
329,"NARRAGANSETT BAY (OTHER PORTS), RI"
330,"MADISON, CT"
331,GREAT CAPTAINS ISLAND
332,"PORT NEWARK BRANCH CHANNEL (INCLUDED IN PORT NEWARK BAY, NJ CONSOLIDATED REPORT)"
333,"PORT ELIZABETH BRANCH CHANNEL, N.J. (INCLUDED IN PORT NEWARK BAY, NJ CONSOLIDATED REPORT)"
334,"PORT NEWARD PIERHEAD OFFSHORE CONNECTING CHANNEL. N.J. (INCLUDED IN NEWARK BAY, NJ CONSOLIDATED REPORT)"
335,"PLEASANT BAY, MA"
336,"PORT NEWARK BAY, N.J. CONSOLIDATED REPORT (INCLUDED IN THE CONSOLIDATED STATEMENT OF WATERBORNE COMMERCE OF THE PORT OF NEW YORK)"
337,"MARINERS HARBOR, NY (INCLUDED IN NEW YORK AND NEW JERSEY CHANNELS)"
338,"PORT ELIZABETH SOUTH CHANNEL, NJ (INCLUDED IN PORT NEWARK BAY NJ CONSOLIDATED REPORT)"
339,RARITAN RIVER NJ MAIN CHANNEL/RARITAN BAY (WARD POINT SECONDARY CHANNEL)
340,"PORT CHESTER HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
341,"LONG ISLAND SOUND AT RYE BEACH, NY (INCLUDED IN PORT OF NEW YORK)"
342,"MILTON HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
343,"MAMARONECK HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
344,"LARCHMONT HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
345,"ECHO BAY HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
346,"NEW ROCHELLE HARBOR, NY (INCLUDED IN PORT OF NEW YORK)"
347,"LONG ISLAND SOUND AT CITY ISLAND, NY (INCLUDED IN PORT OF NEW YORK)"
348,"EAST CHESTER CREEK, NY (INCLUDED IN PORT OF NEW YORK)"
349,"MANHASSET BAY, NY (INCLUDED IN PORT OF NEW YORK)"
350,"LITTLE NECK BAY, NY (INCLUDED IN PORT OF NEW YORK)"
351,"EAST RIVER, NY (INCLUDED IN PORT OF NEW YORK)"
352,"WESTCHESTER CREEK, NY (INCLUDED IN PORT OF NEW YORK)"
353,"BRONX RIVER, NY (INCLUDED IN PORT OF NEW YORK)"
354,"FLUSHING BAY AND CREEK, NY (INCLUDED IN PORT OF NEW YORK)"
355,"NEWTOWN CREEK, NY (INCLUDED IN PORT OF NEW YORK)"
356,"DUTCH KILLS, NY (INCLUDED IN STATISTICS FOR NEWTOWN CREEK)"
357,"WALLABOUT CHANNEL, NY (INCLUDED IN PORT OF NEW YORK)"
358,"HARLEM RIVER, NY (INCLUDED IN PORT OF NEW YORK)"
359,"BUTTERMILK CHANNEL, NY (INCLUDED IN PORT OF NEW YORK)"
360,"GOWANUS CREEK CHANNEL, NY (INCLUDED IN PORT OF NEW YORK)"
361,"GOWANUS CANAL, NY (INCLUDED IN PORT OF NEW YORK)"
362,"BAY RIDGE AND RED HOOK CHANNELS, NY (INCLUDED IN PORT OF NEW YORK)"
363,"GRAVESEND BAY, NY (INCLUDED IN PORT OF NEW YORK)"
364,"CONEY ISLAND CREEK, NY (INCLUDED IN PORT OF NEW YORK)"
365,"CONEY ISLAND CHANNEL, NY (INCLUDED IN PORT OF NEW YORK)"
366,"SHEEPSHEAD BAY, NY"
367,"JAMAICA BAY, NY (INCLUDED IN PORT OF NEW YORK)"
368,"MOTT CREEK, NY (INCLUDED IN STATISTICS FOR JAMAICA BAY)"
369,"MOTT BASIN, NY (INCLUDED IN STATISTICS FOR JAMAICA BAY)"
370,"EAST MILL BASIN, NY (INCLUDED IN STATISTICS FOR JAMAICA BAY)"
371,"MILL BASIN, NY (INCLUDED IN STATISTICS FOR JAMAICA BAY)"
372,"BERGEN BASIN, NY (INCLUDED IN STATISTICS FOR JAMAICA BAY)"
373,"SANDY HOOK BAY, NJ (INCLUDED IN PORT OF NEW YORK)"
374,"SANDY HOOK BAY AT LEONARDO, NJ (INCLUDED IN PORT OF NEW YORK)"
375,"SHOAL HARBOR AND COMPTON CREEK, NJ (INCLUDED IN PORT OF NEW YORK)"
376,"WAYCAKE CREEK, NJ (INCLUDED IN PORT OF NEW YORK)"
377,"KEYPORT HARBOR, NJ (INCLUDED IN PORT OF NEW YORK)"
378,"MATAWAN CREEK, NJ (INCLUDED IN PORT OF NEW YORK)"
379,"CHEESEQUAKE CREEK, NJ (INCLUDED IN PORT OF NEW YORK)"
380,"RARITAN RIVER TO ARTHUR KILL CUT OFF CHANNEL, NJ (INCLUDED IN PORT OF NEW YORK)"
381,"LEMON CREEK, STATEN ISLAND, NY (INCLUDED IN PORT OF NEW YORK)"
382,"GREAT KILLS HARBOR, STATEN ISLAND, NY (INCLUDED IN PORT OF NEW YORK)"
383,"LOWER BAY AT MIDLAND BEACH, NY (INCLUDED IN PORT OF NEW YORK)"
384,"CHANNEL BETWEEN STATEN ISLAND AND HOFFMAN AND SWINBURNE ISLANDS, NY (INCLUDED IN PORT OF NEW YORK)"
385,"UPPER BAY, NEW YORK HARBOR, NY AND NJ (INCLUDED IN PORT OF NEW YORK)"
386,"WASHINGTON CANAL AND SOUTH RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
387,"RARITAN RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
388,"NEW YORK AND NEW JERSEY CHANNELS, NY AND NJ (INCLUDED IN PORT OF NEW YORK)"
389,"WOODBRIDGE CREEK, NJ (INCLUDED IN PORT OF NEW YORK)"
390,"RAHWAY RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
391,"ELIZABETH RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
392,"NEWARK BAY, NJ (INCLUDED IN NEWARK BAY CONSOLIDATED REPORT AND PORT OF NEW YORK)"
393,"HACKENSACK RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
394,"PASSAIC RIVER, NJ (INCLUDED IN PORT OF NEW YORK)"
395,"PECONIC BAY L.I., NY"
396,"SANDY HOOK CHANNEL, NY"
397,"NEW YORK HARBOR, NY LOWER ENTRANCE CHANNELS"
398,CONSOLIDATED STATEMENT OF WATERBORNE COMMERCE OF THE PORT OF NEW YORK
399,"NORTHVILLE, L.I., NY"
400,"CHESAPEAKE BAY, MD AND VA"
401,"BODKIN CREEK, ANNE ARUNDEL COUNTY, MD (INCLUDED IN STATISTICS FOR BALTIMORE HARBOR AND CHANNELS, MD)"
402,"MIDDLE RIVER AND DARK HEAD CREEK, MD"
403,"SUSQUEHANNA RIVER ABOVE AND BELOW HAVRE DE GRACE, MD"
404,"NORTHEAST RIVER, MD"
405,"ELK AND LITTLE ELK RIVERS, MD"
406,"BOHEMIA RIVER, MD"
407,"SASSAFRAS RIVER, MD"
408,"SWAN CREEK, KENT CO., MD"
409,"CHESTER RIVER, MD"
410,"CORSICA RIVER, MD"
411,"COX CREEK, QUEEN ANNES COUNTY, MD"
412,"LITTLE CREEK, QUEEN ANNES COUNTY, MD"
413,"CRAB ALLEY CREEK, MD"
414,"WYE RIVER, MD"
415,"MILES RIVER, MD"
416,"HARRIS CREEK, MD"
417,"BROAD CREEK, TALBOT COUNTY, MD"
418,"KNAPPS NARROWS, MD"
419,"TRED AVON RIVER, MD"
420,"TOWN CREEK, MD"
421,"ISLAND CREEK, MD"
422,"LA TRAPPE RIVER, MD"
423,"CHOPTANK RIVER, MD"
424,"TUCKAHOE RIVER, MD"
425,"WARWICK RIVER, MD"
426,"LITTLE CHOPTANK RIVER, MD"
427,"SLAUGHTER CREEK, MD"
428,"HONGA RIVER AND TAR BAY, MD"
429,"DUCK POINT COVE, MD"
430,"FOX CREEK, DORCHESTER COUNTY, MD"
431,"FISHING BAY TRIBUTARIES, DORCHESTER COUNTY, MD"
432,"NANTICOKE RIVER (INCLUDING NORTHWEST FORK), DE AND MD"
433,"NANTICOKE RIVER AT NANTICOKE, MD"
434,"NANTICOKE RIVER AT BIVALVE, MD"
435,"BROAD CREEK RIVER, DE"
436,"TYASKIN CREEK, MD"
437,"WICOMICO RIVER, MD (EASTERN SHORE)"
438,"DAMES QUARTER CREEK, MD"
439,"UPPER THOROUGHFARE, DEAL ISLAND, MD"
440,"LOWER THOROUGHFARE AT OR NEAR WENONA, DEAL ISLAND, MD"
441,"MANOKIN RIVER, MD"
442,"BIG ANNEMESSEX RIVER, SOMERSET COUNTY, MD"
443,"JONES CREEK, MD"
444,"LITTLE ANNEMESSEX RIVER, MD"
445,"BROAD CREEK, SOMERSET COUNTY, MD"
446,"RHODES POINT TO TYLERTON, SOMERSET COUNTY, MD"
447,"POCOMOKE RIVER, MD"
448,"TWITCH COVE AND BIG THOROUGHFARE RIVER, MD"
449,"JENKINS CREEK, SOMERSET COUNTY, MD"
450,"OCEAN CITY HARBOR AND INLET AND SINEPUXENT BAY, MD"
451,"LITTLE WICOMICO RIVER, VA"
452,"POTOMAC RIVER BELOW WASHINGTON, DC"
453,"ACCOTINK CREEK, VA"
454,"OCCOQUAN CREEK, VA"
455,"NEABSCO CREEK, VA"
456,"AQUIA CREEK, VA"
457,"ROSIER CREEK, VA"
458,"UPPER MACHODOC CREEK, VA"
459,"NEALE SOUND, MD"
460,"WICOMICO RIVER, WESTERN SHORE, MD"
461,"ST. CATHERINES SOUND, MD"
462,"ST. PATRICKS CREEK, MD"
463,"BRETON BAY, MD"
464,"NOMINI BAY AND CREEK, VA"
465,"PISCATAWAY CREEK, MD"
466,"LOWER MACHODOC CREEK, VA"
467,"CHICAMUXEN CREEK, MD"
468,"NANJEMOY CREEK, MD"
469,"MATTOX CREEK, MD"
470,"ST. GEORGE RIVER, MD"
471,"BRANSONS COVE, VA"
472,"CHANNEL TO ISLAND CREEK, ST. GEORGE ISLAND, MD"
473,"HERRING CREEK, MD"
474,"YEOCOMICO RIVER, VA"
475,"SMITH CREEK, MD"
476,"ST. MARYS RIVER, MD"
477,"COAN RIVER, VA"
478,"HULL CREEK, VA"
479,"PATUXENT RIVER, MD"
480,"HELLEN CREEK, MD"
481,"ST. JEROME CREEK, MD"
482,"GOVERNORS RUN, MD"
483,"FISHING CREEK, CALVERT COUNTY, MD"
484,"HERRING BAY AND ROCKHOLD CREEK, MD"
485,"BROADWATER CREEK, MD"
486,"WEST RIVER, MD"
487,"PARISH CREEK, MD"
488,"RHODE RIVER, MD"
489,"CADLE CREEK, MD"
490,"SOUTH RIVER, MD"
491,"BACK CREEK, ANNE ARUNDEL COUNTY, MD"
492,"SEVERN RIVER, ANNE ARUNDEL COUNTY, MD"
493,"MILL CREEK, MD"
494,"SANDY POINT, MD"
495,"MAGOTHY RIVER, MD"
496,"ST. CLEMENT BAY, MD"
497,"ST. PETERS CREEK, MD"
500,"IRVINGTON HARBOR, NY"
501,"TARRYTOWN HARBOR, NY (INCLUDED IN STATISTICS FOR HUDSON RIVER)"
502,"PEEKSKILL HARBOR, NY (INCLUDED IN STATISTICS FOR HUDSON RIVER)"
503,"RONDOUT HARBOR, NY (INCLUDED IN STATISTICS FOR HUDSON RIVER)"
504,"SAUGERTIES HARBOR, NY (INCLUDED IN STATISTICS FOR HUDSON RIVER)"
505,"PORT OF ALBANY, NY (INCLUDED IN STATISTICS FOR HUDSON RIVER)"
506,"MONTCALM LANDING, NY"
507,"PORT HENRY HARBOR, NY"
508,"WESTPORT HARBOR, NY"
509,"BURLINGTON HARBOR, VT"
510,"PORT KENT HARBOR, NY"
511,"PLATTSBURGH HARBOR, NY"
512,"PLATTSBURGH, NY"
513,"SWANTON HARBOR, VT"
514,"HEMPSTEAD HARBOR, NY"
515,"GLEN COVE HARBOR, NY"
516,"OYSTER BAY, NY"
517,"COLD SPRING HARBOR, NY"
518,"HUNTINGTON BAY, NY"
519,"HUNTINGTON HARBOR, NY"
520,"NORTHPORT BAY, NY"
521,"NORTHPORT HARBOR, NY"
522,"PORT JEFFERSON HARBOR, NY"
523,"MATTITUCK HARBOR, NY"
524,"GARDINERS BAY, NY"
525,"ORIENT HARBOR, NY"
526,"SHELTER ISLAND AND SHELTER ISLAND SOUND, NY"
527,"GREENPORT HARBOR, NY"
528,"SOUTHOLD BAY, NY"
529,"CUTCHOGUE HARBOR, NY"
530,"PECONIC RIVER, NY"
531,"SAG HARBOR, NY"
532,"AMAGANSETT, LI (PROMISED LAND, NY)"
533,"NAPAGUE BAY, NY"
534,"FORT POND BAY, NY"
535,"LAKE MONTAUK HARBOR, NY"
536,"TIANA BAY, NY"
537,"FREEPORT HARBOR, NY"
538,"SHREWSBURY RIVER, NJ"
540,"CHAMPLAIN CANAL, NY"
551,"DELAWARE RIVER AT CAMDEN, NJ (INCLUDED IN DELAWARE RIVER, PHILADELPHIA, PA TO THE SEA)"
552,"PHILADELPHIA HARBOR, PA (INCLUDED IN DELAWARE RIVER BETWEEN PHILADELPHIA, PA AND TRENTON, NJ; DELAWARE RIVER, PHILADELPHIA, PA TO THE SEA AND SCHUYLKILL RIVER, PA)"
553,"TRENTON HARBOR, NJ (INCLUDED IN DELAWARE RIVER BETWEEN PHILADELPHIA,PA AND TRENTON,NJ)"
554,"WILMINGTON HARBOR, DE"
557,"SCHUYLKILL RIVER, PA (INCLUDED IN PHILADELPHIA HARBOR,PA)"
558,"LITTLE EGG HARBOR, NJ"
562,"ISLAND END RIVER DEEPWATER CHANNEL (INCLUDED IN PORT OF BOSTON, MA)"
600,"DELAWARE BAY - CHESAPEAKE BAY WATERWAY - VIRGINIA PORTION
601,"WACHAPREAGUE, VA AND CHANNELS"
602,"THIMBLE SHOAL CHANNEL, VA"
603,"DEEP CREEK, ACCOMACK COUNTY, VA"
604,"STARLINGS CREEK, VA"
605,"TANGIER CHANNEL, VA"
