Shipper,Consignee,Shipments,Tons,BOL_Count
W50 T5 E,W45 Qre,12,320.67,12
W6 Jk Mnc1 Tm 9 International,0642 Cs Bn Co B0 Rear Det,17,320.53000000000003,17
Newhao Industries Limitted,Graphite And Carbon Products Inc.,1,320.32,1
Cia.Frutera Santa Maria S.A.,Dayka & Hackett Llc,9,320.32,9
"Nippon Trading Co., Ltd.",Corso Machinery,8,320.3,8
Everseason (Pty) ) Ltd.,Sierra Produce,6,320.29,6
Royal Smit Transformers B.V.,Bonneville Power Administration,2,320.2,2
Q4000,Eni,2,320.15,2
Baggerbedrijf De Boer B.V,Baggerbedrijf De Boer B.V,2,320.0,2
Mitsui O.S.K. Lines (Japan) Ltd.,Norton Lilly As Agen For Mol,2,320.0,2
Wind Cable Services,Wind Cable Services Usa Inc.,2,320.0,2
"Avaco Co., Ltd.",Next Star Energy Inc.,2,319.8,2
Wickert Maschinenbau Gmb H,West Pharmaceutical Services,4,319.7,4
Bronto Skylift Oy Ab,Bronto Skylift Aust Nz,6,319.52,6
Sidenor Aceros Especiales S.L,North American Marine,10,319.42,10
Cooperative Agricole C,Century Farms,5,319.34,5
Farrell Line,0137 Sc Co Co Aa Rear Det,2,319.26,2
Royal Smit Transformers B.V.,Arkansas Electric,2,319.2,2
Jalles Machado S.A.,Jalles Machado Sa,1,319.11,1
Cooperation Mfg. Plant,Al Rajhi Bank,10,319.02,10
Caterpillar Sarl J7236 C,Caterpillar Inc. Cat Defense,10,318.98,10
Chung Hung Steel Corp.,Salzgitter Mannesmann,2,318.96,2
Ucm Holland Used Cranes,Marcello Cranes,2,318.94,2
"Umecc (Beijing) Equipment Co., Ltd.",Mecc Usa Llc,5,318.85,5
Cooperative Agricole Copag,The Fresh Wave Lc,3,318.57,3
Industrias Derivadas Del Etileno Sa,Idesa Usa Llc,2,318.53,2
Netherlands Ministry Of Defence,Mile High Range,2,318.12,2
Valmet Ab,Valmet Inc.,9,318.03,9
Hoa Sen Group,Laminas Acanaladas De,1,317.97,1
Valtech Fabrication,Flint Hills Resources Lp,4,317.52,4
Man Energy Solutions Se,Fairbanks Morse,5,317.45,5
Starlite Development International Ltd.,Autozama S.A,4,317.44,4
Grimme Landmaschinenfabrik Gmb H & Co. Kg,Pgs Equipment Ltd.,8,317.42,8
Tvp Steel Trading Jsc,Global Metal Resources Inc.,3,317.25,3
Andritz Ag,Aluminium Dynamics,9,317.21,9
Canfor Pulp Ltd.,Canfor Pulp Ltd.,1,317.09,1
Emirates Aluminium (EGA),Machinery Partner,10,316.92,10
Ton Yi Industries Corp.,Summit Global Trading,2,316.89,2
Castle Shipping Lines Inc.,Atlasb,3,316.65,3
Prestige Et Collections,L'oreal New Zealand Ltd.,34,316.48,34
Tongling Miracle Mechanical Equipme,Made Out To Ecuacorriente S.A.,1,316.41,1
Nissan Mexicana S.A. De C.V.,Gulf Bank Ksc,2,316.3,2
Wirtgen Gmb H,Ipesa S A C,5,316.24,5
Farrell Lines Dulles Va,W36 B1 T 0008 Od Co Modular Ammo,2,316.24,2
Canfor Pulp Ltd.,Tentok Corp.,1,316.18,1
Sandvik Ltd. T A Sandvik Constru,Sandvik Mining & Rock Technology,8,316.0,8
Man Energy Solutions Se,"Vancouver Shipyards Co., Ltd.",2,316.0,2
"Dongbu Steel Co., Ltd.",Globaltrade Distr,2,315.88,2
D Cunha Industriemaschinen Gmb H,Hadanich Machine Mfg.,3,315.29999999999995,3
Cafe Monteverde,Keurig Canada,9,315.29999999999995,9
Fca International Operations Llc,Benitez Group Inc.,6,315.24,6
Tubos Reunidos S.A.,Rdt Inc.,18,315.22,18
Millie,Technipfmc Plc,1,315.14,1
China Steel Corporation,San Diego Vista Steel Service Corp.,2,315.13,2
"Sti Co., Ltd.",L H Battery Co. Inc.,2,315.08,2
Hoegh Autoliners,Sofrana Nc,2,315.02,2
Seah Besteel Corp.,Arab Bank,2,314.8,2
Jaguar Land Rover Ltd.,Cochez S A,34,314.66,34
Edco Grains S.A.,La Meunerie Milanaise Inc.,1,314.44,1
Jaws Buckets & Attachments (Pty) ) Ltd.,Wajax Equipment,4,314.03999999999996,4
Pt Dhl Global Forwarding Indonesia,Dhl Global Forwarding (Mexico) S.A.,2,314.0,2
Exportadora Quintay S.A.,Jac Vandenberg Inc.,9,313.86,9
Thyssenkrupp Hohenlimburg Gmb H,Thyssenkrupp Materials De Mexico,4,313.68,4
Toyota Motor Corp.,Toyota Do Brasil Ltda,14,313.08,14
Ton Dong A Corp.,Brown Brothers Harriman And Co.,1,312.98,1
Hyundai Corp. (Usa) Houston,Esj Sa De Cv,1,312.96,1
"Toyokami Co., Ltd.",Jmb Equipment Usa Inc.,6,312.9,6
Farrell Lines,0365 Cs Hhc Hhc Aa Rear Det,2,312.9,2
Pinago Utama,Continental Tire The Americas Llc,4,312.72,4
Suzhou Hengsheng New Materials Co.,Sj Environmental Corp.,3,312.61,3
Shijiazhuang Iron And Steel,Iirsacero Sa De Cv Ave.Los Angeles,2,312.56,2
Luis A. Ducret & Cia S.A.,Sea Shipping Lines,3,312.53999999999996,3
Keltbray Aspire,Keltbray International Ltd.,2,312.28,2
Tvp Steel Trading Jsc,Sumitomo Mitsui Banking,1,312.22,1
Kubota Farm Machinery Europe Sas,Kubota Corporation,5,312.16,5
Voecklamarkter Holzindustrie Gmb H,Centurion Lumber Ltd. Port,1,312.0,1
Mteck Cranes Bv,Crane Specialists Inc.,4,312.0,4
Barford Equipment Ltd.,Barford Equipment Llc,13,312.0,13
Winners Logics.Co. Ltd.,Balena Projects Ltd.,2,311.99,2
ArcelorMittal,Excedindus Comerccial E Industrial,1,311.98,1
Andritz Oy,Andritz Inc.,2,311.66,2
"Daiichi Jitsugyo Co., Ltd.",Hitachi Astemo Americas Inc.,6,311.63,6
Air Liquide Middle East,Air Liquide Electronics Us,2,311.59,2
Enerquest Harrow,Integra Jobsite,4,311.5,4
Bmw De Mexico S.A. De C.V.,Col Customs House Broker,6,311.32,6
Colt Bentley Germany,Colt Bentley Usa,2,311.26,2
Mercer Peace River Pulp Ltd.,Shinhan Financial Group,1,311.15,1
Anshan Zizhu International Trading,Scr Spikes Llc,1,311.13,1
Liebherr Exp. Ag,Matec Inc.,2,311.06,2
Strikowestofen Gmb H,Honda Development & Mfg Of America,6,311.0,6
Mento Jsc,General Electric Co.,2,310.68,2
Gimas Girgin Dis Ticaret Ltd. Sti.,Bhp,3,310.65,3
Schryver De Colombia Ltda,Herfurth Logistics Nv,2,310.6,2
"Qingdao Y Ning Logistics Co., Ltd.",Caorporativo Aduanal Rali,1,310.5,1
"Iraeta Energy Equipment Co., Ltd.",Windarmex Sa De Cv,1,310.5,1
Shanghai Zhenhua Heavy,Zpmc North America Inc.,1,310.42,1
Hitron Systems Inc.,Hanon Systems Tennessee Plant,2,310.4,2
Hyundai Steelcompany,Hanwa American Corp.,1,310.36,1
"Posco Vietnam Co., Ltd.",Florida Tile Inc.,1,310.35,1
"Jj Steel. Co., Ltd.",Hug Steel Group,4,310.24,4
Allied Yacht Transport Llc Ft. La,Sw Marine,1,310.0,1
Scania Cv Ab,Scania New Zealand,16,309.94,16
John Deere Brasil Ltda,Maqro S A De C V Authorized John D,18,309.74,18
Pt Perkebunan Nusantara Xii,Goodyear Tire & Rubber Co.,4,309.47,4
Laminoirs Des Landes Sas,Achv Aceros Sa De Cv,1,309.36,1
Winners Logics.Co. Ltd.,Mid American Overseas Inc. Usa.,1,309.3,1
Manitou B.F. S.A.,Manitou Equipment America Llc,16,309.26,16
Tubos De Acero De Mexico S.A.,Tenarisglobal Services Nigeria Ltd.,1,308.9,1
Japan Car Direct,Japan Car Fl Llc,75,308.54,75
Ineos Automotive,Ineos Automotive New Zealand Ltd.,20,308.52,20
Kia,Viamar S.A. Ave.Maximo Gomez,10,308.38,10
Viking Life Saving Equipment,Fire Protection Service,600,308.35,600
Siderca S.A.I.C.,Tenaris Global Services (Canada) In,1,308.16,1
Nt Liftec Oy,Alliance Green Services Us Inc.,5,308.05,5
K S Minerals And Agriculture Gmb H,C.I. Acepalma S.A.,2,308.04,2
Vq Yachts The Netherlands,Vq Yachts The Netherlands,6,308.0,6
Exportadora Rio Blanco Ltda,Jac Vandenberg Inc.,18,307.9,18
Saarstahl Ag,Niagara Lasalle Corp. (Warren),4,307.76,4
Chung Hung Steel Corp.,Dbs Bank Ltd.,1,307.7,1
Carnival Cruise Lines,Whilhemsen Ship Services,786,307.68,786
Wartsila Finland Oy,Greenstone Gold Mines Gp Inc.,2,307.52,2
Absolute Sp A,Global Marine Finance Llc,10,307.34000000000003,10
"Jiangsu Zhuhong Forging Co., Ltd.",Pisec Group America Llc,1,307.34,1
Adige Sp A,Arcelor Mittal Tubular Products Monterrey S.A. De C.V.,8,307.28,8
Grimme Landmaschinenfabrik Gmb H & Co. Kg,Spudnik Equip Co.,26,307.12,26
Wrs Hull Uk Ltd.,Forklift Exchange Inc.,8,307.1,8
Canfor Pulp Ltd.,Nissho Iwai Paper & Pulp Corp.,4,307.03999999999996,4
Spbi (Dompierre Sur Yon),Beneteau America,60,306.68,60
Pinheirinho Madeiras Ltda,Dantzler Inc.,3,306.58000000000004,3
Kleemann Gmb H,Ipesa S A C,8,306.48,8
Scot Jcb Ltd.,Ritchie Bros Auctioneers,2,306.42,2
Infra Rentals B.V.,Meever Usa Inc.,4,306.38,4
Agave Azul San Jose S.A. De C.V.,Hoyer France,12,306.28999999999996,12
Brush Sem Sro,Evolution Well Services Llc,8,306.0,8
"Jiangsu Sea Future Co., Ltd.",Sambro Lighthouse International,1,306.0,1
Ocean Advantage Inc.,Ocean Advantage Inc.,4,306.0,4
"Chongqing Kuayue (Group) Co., Ltd.",Banco De Reservas,2,305.96,2
Ssab Emea Ab,Quality Mfg. Co.Rporation,13,305.73,13
Rucaray S.A.,Bengard Marketing Inc.,9,305.59,9
Jcb Sales Ltd.,Landpower New Zealand Ltd.,18,305.32,18
Hoa Sen Group,Romeu Mexico Sa De Cv,2,305.26,2
Automobili Lamborghini S.P.A.,Db Imp. Mexico Sa De Cv,53,305.25,53
Terex Genie S De Rl De Cv,Implementos Y Maquinarias C Por A,2,305.14,2
Mt Agioi Fanendes,Mt Agioi Fanendes,5,304.85,5
"Stw Resources Co., Ltd.",O F Industries Llc,2,304.61,2
Quintus Technologies Ab,Kyocera International Inc.,2,304.52,2
Ews Logistics Ltd.,Freightplus Usa,15,304.04,15
Odfjell Tankers As,Reworld,6,304.0,6
Siemens Energy Austria Gmb H,Con Edison Co. Of N.Y. Inc.,2,303.6,2
Mento Jsc,Ge Vernova Operations Llc,2,303.48,2
Pt Komering Jaya Perdana,Sumitomo Mitsui Banking Corp.,2,303.46,2
Frutera Aguas Blancas Ltda,David Oppenheimer Co.,8,303.12,8
"Jingye Iron And Steel Co., Ltd.",Industrias Correagua Sa,2,303.0,2
"Caterpillar (Suzhou) Co., Ltd.",Tracsa Sa De Cv,12,302.78000000000003,12
Shandong Shantui Construction Machi,Nan Inc.,7,302.78000000000003,7
"Baoshan Iron & Steel Co., Ltd.",Jfe Shoji Power Canada Inc.,1,302.74,1
Sumitomo Corporation,Senator International,1,302.66,1
"Vision Yachts Co., Ltd.",The Powercat Co.,6,302.63,6
"Dongkuk Steel Mill Co., Ltd.",Ofdongkuk International,4,302.36,4
Embraer S.A.,Embraer Executive Aircraft,49,302.2,49
Manuchar Nv,Quimica Superior Unichem S.A,2,301.92,2
Good Hope Marketing (Pty) ) ) Ltd.,Sierra Produce,8,301.88,8
"Uniasen (Tianjin) Co., Ltd.",Mutilin Overseas Solutions S.A De,4,301.78,4
Exportadora Magna Trading S.A.,Bengard Marketing Inc.,6,301.72,6
Stellantis Middle East Fze,United Cars Almana,16,301.64,16
All Commodities (Ac) Trading Ltd.,Nanjing Bonagro International Trading Co.,1,301.59,1
Forges Et Acieries De Dilling,Dessarrollos Tecnologicos S.A.,1,301.44,1
Edge Innovate (Ni) Ltd.,Crusher Works Llc,8,301.4,8
"Yieh Phui Enterprise Co., Ltd.",Hanmi Bank,3,301.38,3
"Dong Yang Steel Pipe Co., Ltd.",Bhd Tubular Ltd.,2,301.32,2
Ncl (Bahamas Ltd.),Clean Harbors Kent,16,301.11,16
Workstrings International Singapore,Workstrings International,1,301.0,1
Mccloskey International,Wagner Equipment Co.,9,300.92,9
Pacific Sowa Corp.,Nucor Yamato Steel Co.,9,300.76,9
Auto Trail Vr Ltd.,Nationwide Rv Ltd.,22,300.5,22
Mitsubishi Fuso Truck & Bus Corporation,Importadora Centro Americana De Veh,24,300.38,24
Perficon Steel Gmb H,Austin Ingenieros Chile Ltda,1,300.25,1
Farrell Line,0630 Od Co Co Aa Rear Det,4,300.18,4
Kia,National Bank Of Kuwait,8,300.12,8
Sunseeker London,Sunseeker London,3,300.0,3
Multi Pine Wood Trading Ltd.,Great Southern Wood Preserving,2,300.0,2
"Morooka Co., Ltd.",American Track Carriers Llc.,7,299.76,7
"Sk Oceanplant Co., Ltd.",Rushmore Enterprises Inc.,1,299.74,1
Pacific Coast Auto Imp.,Prestige Motors Tampa,46,299.64,46
Fairchem Organics Ltd.,Archer Daniels Midland Co.,15,299.5,15
Frutera San Fernando S.A.,William H. Kopke Jr. Inc.,9,299.25,9
Yejin Corp.,Yu Auto Imp.,4,298.94,4
Jiangsu Gree Energy Equipment Co. L,Lg Energy Solution Michigan Inc.,2,298.76,2
Consolidated Shipping Agencies Ltd.,Aqueos Corp.,1,298.71,1
Coastal Villages Longline Llc,Coastal Villages Longline Llc,2,298.66,2
Mantos Copper S.A.,Geo Wm Rueff Inc.,2,298.52,2
Exportadora Fruta Austral Ltda.,Pacific Trellis Fruit,11,298.49,11
Kia Motors Mexico S.A. De C.V.,Viamar S.A.,5,298.41,5
Dg Global Inc.,Minh Nhat Production And Trading Co.,1,298.02,1
"Onaga Shoji Co., Ltd.",Tracks Worldwide,9,297.96000000000004,9
Nam Kim Steel Jsc,C&D Material Inc.,1,297.84,1
Wallenius Wilhelmsen Logistics,Real Auto B.V.,36,297.76,36
Manitowoc Crane Group Germany Gmb H,Manitowoc Crane Care,6,297.7,6
Kuehne And Nagel Inc.,"Betagro Public Co., Ltd.",1,297.34,1
Nissan Mexicana S.A. De C.V.,National Bank Of Kuwait,6,297.32,6
Bergerat Monnoyeur S A S,Powertrac Machinery,8,297.28,8
Liebherr Mexico S. De R.L. De C.V.,J Fortuna Constructora,2,297.2,2
Gkm Comercio De Cristais Eireli,Nantong Daowo Building Materials,4,296.9,4
Tlc Modular Construction Llc,Abja Ohana Llc,2,296.8,2
Fb4804 Uscentcom Us Air Force 379,W0 L6 Usa Dep Letterkeny,6,296.62,6
Same Deutz Fahr Deutschland Gmb H,Mrg Canada Inc.,4,296.53999999999996,4
Kogi Corp.,Nucor Yamato Steel Co.,7,296.53999999999996,7
"H One Co., Ltd.",Stax Engineering Inc.,4,296.48,4
Artrom Steel Tubes S.A.,Tube Supply Inc.,6,296.0,6
Axopar Boats Oy,Jeff Brown Yachts Inc.,56,295.94,56
Faw,Faw,4,295.42,4
Legend Yacht Transport,Contigo Yachthing Ltd.,1,295.0,1
Allied Yacht Transport Llc Ft. La,Forcefield Ltd. Gibraltar,1,295.0,1
Ton Dong A Corp.,Rabobank Bv,1,294.95,1
Manitowoc Crane Group Bv,Grove Us. L.L.C.,2,294.18,2
Magyar Suzuki Corp. Ltd. Esztergom,Suzuki Motor De Mexico S.A. De C.V.,6,294.06,6
Noble Voyager,Noble Corp.,2,294.04,2
Zumaco Ltd.,Howard Reeder International,2,294.0,2
Atlas Agrumes,Global Fresh Llc,5,293.66,5
Manitowoc Crane Group Germany Gmb H,Start Banregio S.A. De C.V. Sofom,2,293.54,2
We Puko Pahnke Technology,Wepuko Pahnke Usa Lp,1,293.52,1
General Motors Overseas Distributio,Arab Bank,7,293.14,7
Hoa Sen Group,Kloeckner Metals De Mex,2,293.08,2
Hansa Meyer Global Transport,Hansa Meyer Roliprojects Llc,6,293.06,6
South Coast Marine Yacht,Pacific Asian Enterprises Inc.,3,293.0,3
Trigano Sp A,"Fuji Cars Japan Co., Ltd.",11,292.89,11
Ypf S.A.,Ineos Oligomers,2,292.52,2
Epiroc Rock Drills Ab,Construction Machinery Industrial,6,291.8,6
Monette Seeds Ltd.,Agri Imp. & Exp.,2,291.8,2
Gemey Maybelline,L'oreal Usa Products Inc.,30,291.17,30
Confab Industrial S.A.,Dsv Air & Sea Inc. (Usa),2,291.12,2
Maruichi Sun Steel Jsc,Metal Y Panel Industrial Depot Sa,4,290.85,4
Marubeni Itochu Steel Inc.,Envases Ventanilla,1,290.61,1
Manitowoc Crane Group Germany Gmb H,Arrendadora De Equipo Petrolero,2,290.54,2
Zeeco China For And,Gulf Coast Growth Ventures Ltd.,2,290.26,2
Krauss Maffei Technologies Gmb H,Chg Meridian Mexico. S.A.P.I. De,2,290.12,2
Intl Shipping Ltd.,Elite Tubular,1,290.0,1
Agco Australia Ltd.,Affco New Zealand Ltd.,2,290.0,2
Adm Agri Industries Co.,Hainan Xiongjia Village Imp.,2,289.78,2
Vestas Asia Pacific A S,Vestas American Wind,6,289.7,6
Valaris Dps 5,Apache,4,289.40999999999997,4
Pt Sumber Graha Sejahtera,Mjb Wood Group Inc.,5,289.08000000000004,5
Priority Roro Services,Empire Gas Co. Inc.,43,289.0,43
Manitowoc Crane Group Italy Srl,Anderson Equipment Co.,6,288.78,6
Ag Der Dillinger Hüttenwerke,Edmonton Steel Plate Ltd.,2,288.72,2
"Il Jin Steel Corp. Co., Ltd.",Vass Pipe Steel Inc.,1,288.66,1
"Shin Yang Steel Co., Ltd.",Geodis Usa Inc.,1,288.55,1
Eastern Pearl Corp.,Rd Williams Machinery,2,288.54,2
Mac Container Line,Pt . Enes Agribisnis Indonesia,1,288.48,1
Harvey Supplier,Technipfmc Plc,8,288.29,8
Irish Mfg. Services Ltd.,Whitney & Son Inc.,24,288.0,24
Nmuk,A La Orden De Davivienda,4,287.98,4
Hoa Sen Group,Isocindu Sa De Cv,2,287.9,2
"Stinko Co., Ltd.",Banque Internationale De,2,287.84,2
Vestas Mfg. A S,Vestas Argentina S.A.,2,287.76,2
W50 Zs6,W90 H5 Y,12,287.56,12
Terex Gb Ltd.,Spaleck Usa Llc,9,287.35,9
Greatwood Jsc,Macallan Worldwide Supply Lnc,1,287.04,1
Exportadora Norfrut (Chile) Ltda,Four Star Sales,8,287.03999999999996,8
Talleres Jaso Industries Sl,North American Stainless,1,287.0,1
Exportadora Rio Blanco Ltda,Giumarra International Marketing,14,286.91,14
Ferrovial Construction (Australia),Ontario Transit Group Constructor G,3,286.79999999999995,3
Xiamen Hansheng Yacht Building,Pearl Yachts Ltd.,4,286.7,4
Jumbo Transport Eckhoff Gmb H As,Jumbo Transport International Inc.,9,286.65,9
Geodis Sweden Ab,Geodis Limitada,4,286.64,4
Changan International Corporation,Motorworld,2,286.58,2
Versluis Machinery,Htr Services,14,286.5,14
Compania Banadosmil S.A Matina Cent,Dole Europe Gmb H,3,286.44,3
Ktr Cranes,Marcello Cranes,2,286.4,2
Jensen Gmb H,Jensen Usa Inc.,10,286.14,10
Bergen Engines As,Sampol Puerto Rico Llc,2,286.0,2
Ncl (Bahamas Ltd.),Crystal Clean Solutions,8,285.4,8
Sermak Mekanik Tic. Ltd. Sti,Hybar Llc,2,285.3,2
"Yieh Phui Enterprise Co., Ltd.",To T He,2,285.12,2
Littler Machinery Ltd.,Holt Texas Ltd.,3,285.0,3
Virgin Voyages,Cliff Berry Inc. Enviornmental Servi,6,284.85,6
Nidec Arisa Slu,Nidec Minster Corporation,4,284.8,4
Nsh Technology Gmb H,Nsh Usa Corp.,2,284.76,2
Ramgras S.A.C.I. A.,Marathon Petroleum,2,284.74,2
Durr Systems Gmb H,Durr Systems Inc. Subsidiary Of Durr,2,284.74,2
Greatwood Jsc,Apec International Llc,1,284.63,1
Baker Hughes,Ica Fluor Daniel S. De R.L. De C.V,4,284.58,4
Master Of Ensco Ds16,Ensco International,10,284.56,10
Dalmine S.P.A.,Trendsetter Engineering Inc.,2,284.38,2
Mm & Kenzai Corp.,Mitsui & Co Usa,6,284.37,6
Iturri Sa,Ministerio De Salud Publica De Ec,4,284.2,4
Brush Sem Sro,Hitachi Energy,1,284.09,1
Roc Shipping One Designated,Circon Environmental,2,284.0,2
Hyundai Mobis,Banco Security,14,283.8,14
Mercedes Benz Amg Gmb H,Jayco Inc.,10,283.76,10
Netherlands Ministry Of Defence,Traffic Bureau Of The Netherlands,8,283.26,8
0106 Av Bn 01 Co B Assault Co.,0106 Av Bn 01 Hhc T0 Rear Det,7,283.05,7
"Hirano Tecseed Co., Ltd.",Next Star Energy Inc.,5,283.0,5
"Lubrizol India Pvt., Ltd.",Expeditors International Of Wa Inc.,14,282.92,14
Kia Mexico S.A. De C.V,Bank Of Nova,4,282.92,4
Carnival Cruise Lines,Wartsila North America Inc.,198,282.71,198
Sanko Gosei Ltd.,Sanko Gosei Technologies Usa Inc.,3,282.42,3
"Ge Ebergy Hangzhou Co., Ltd.",Ge Vernova Operations Llc,2,282.4,2
Inter Drain Sales B V,Bower's Great Lakes Inter Drain,8,282.4,8
"Pomina Flat Steel Co., Ltd.",Nippon Steel Trading Americas Inc.,4,282.34,4
Tradewinds International Llc,Industrias Del Atlantico Sociedad,1,282.26,1
"Ngc Transmission Chennai Pvt., Ltd.",Ge Amarillo,2,282.2,2
Bell Equipment,Integrated Distribution,6,282.12,6
Jaguar Land Rover Ltd.,Distribuidora David Prestige Motors,26,281.84,26
Ssab Emea Ab,Exodus Machines,18,281.66999999999996,18
Walsin Lihwa Corp.,Qssc S.A. De C.V.,2,281.66,2
Thyssenkrupp Rasselstein Gmb H,Silgan Containers (Plover),1,281.32,1
Wittrock Trading Gmb H,Bigge Crane & Rigging Co.,2,281.3,2
Industria De Compensados Guararapes Ltda,Relco Products Inc.,2,281.3,2
Taihei Machinery Works Ltd.,Hood Ind Inc.,1,281.26,1
"Caterpillar (Suzhou) Co., Ltd.",Emirates Aluminium (EGA),14,281.26,14
Bsn Thermprozesstechnik Gmb H,Bharat Forge Aluminium Usa Inc.,3,280.94,3
Abl Industrial Group Ltd.,Larpen Metallurgical Service,1,280.56,1
Voestalpine Stahl Service Center Gmb H.,Horizon Steel Co Shelby Township,3,280.29,3
Core Fruit (Pty) ) Ltd.,Wonderful Citrus Venures Llc,1,280.19,1
"Dongbu Steel Co., Ltd.",Hojalata Mexicana S.A. De C.V.,4,280.14,4
Imt International S.P.A,Kelly Global Logistics Inc.,6,280.04,6
Gianfranco Righi Divisione Italtran,Kelly Tractor Company,6,280.04,6
Ncl (Bahamas Ltd.),Friendscholdco Llc Ddr Live Inc.,1,280.0,1
New Shipping Kaisha Ltd.,Monjasa,1,280.0,1
Mol Chemical Tankers,Stolthaven,2,280.0,2
Ci Seven Seas Colombia Sas,Saint Paul Commodities Inc. Id,2,280.0,2
Mercedes Benz,Tahiti Automobiles Sa,14,279.94,14
W5003 Z,W27 Awr,8,279.83000000000004,8
Liebherr Iberica Sa,Liebherr Mexico Srl De Cv.,2,279.48,2
Cia.Frutera Santa Maria S.A.,Sun Fresh Exp. Llc,7,279.44,7
"Ge Energy Hangzhou Co., Ltd.",Ge Gas Turbines Llc,18,279.1,18
Ssab Oxelosund Ab,Genesis Attachments,8,278.97999999999996,8
Carcafe Ltda,The Folger Coffee Co.,2,278.42,2
Hyosung Corporation,Acero De Leeco S De Rl De Cv,1,278.25,1
Hoa Sen Group,The Honkong & Shanghai,1,278.13,1
Mt Eagle Tampa,Mt Eagle Halfax,2,278.0,2
Noble Stanley Lafosse,Murphy Shorebase,2,277.63,2
Shell Namibia Upstream Bv,Shell Offshore Inc.,1,277.63,1
Mallaghan Engineering,Southwest Airlines Co.,13,277.5,13
Fenix Mfg. Solutions Gmb H,Industrial Connections Solutions,156,277.38,156
Seadrill Management Ltd.,Seadrill Americas Inc.,8,277.05,8
Legend Yacht Transport,Drako Co. Marshall Islands,1,277.0,1
Isuzu Motors Ltd. Teisuzu Motors America Llc Latin Ame,Bravo Investments Ltd. 4.5 Miles,6,276.91999999999996,6
Nissan Mexicana S.A. De C.V.,Ntc Dis Ticaret Nakliye Turizm Ve I,8,276.9,8
Nlmk Plate Sales Sa,Olbert Metal Sales Ltd.,2,276.9,2
W58 Cmp,W517 Kb,9,276.62,9
"Yuwa Shipping Co., Ltd.",Marine Trading Ltd.,8,276.6,8
Terex Gb Ltd.,Distribuidor De Maquinaria Del Sur,8,276.44,8
Prolec Ge Ibrasil,Boswell Wind Llc,2,276.22,2
Exportadora Unifrutti Traders Ltda.,Bengard Marketing Inc.,9,276.19,9
Exportadora Geofrut Ltda,Ig Fruit Direct Source Marketing,7,276.14,7
"Karamtara Engineering Pvt., Ltd.",Karamtara Usa Inc.,1,276.12,1
Edge Innovate Ltd.,Ces Texas,8,276.0,8
Comercializadora Baika Sp A,Vintage Produce Sales,7,275.78999999999996,7
Cargotec Poland Sp. Z O.O.,Mcfa Mitsubishi Caterpillar Forklift,13,275.56,13
Interpipe,Klw North America Inc.,1,275.55,1
West Neptune,Llog Exploration Co. Llc,2,275.49,2
Hyundai Steel Co.,Global Steel Inc.,4,275.4,4
"Ningbo Rixing Foundry Co., Ltd.",Ge Renewables North America,9,275.38,9
Posco,Posco International Mexico,1,274.77,1
Nissan Mexicana S.A. De C.V.,"Japan Motors Trading Co., Ltd.",6,274.56,6
Caterpillar Brasil Ltda,Finning Chile S.A.,8,274.54,8
"Mitsui & Co., Ltd.",Sgm Automotriz De Mexico S.A. De,4,274.41999999999996,4
Zhenjiang Huapu Eco Friendly Materi,"Moore Sales Co., Ltd.",1,274.33,1
Tadano Demag Gmb H,Sarens Usa Inc.,2,274.3,2
Sinbro International Ltd. (Hk),Amalgamated Trading Ltd.,4,274.26,4
Fracht Italia Srl,Transnational Freight Logistics Lt,2,274.1,2
Royal Caribbean Cruise,Park West Gallery Concession,475,273.98,475
"Geecy Engineering Pvt., Ltd.",Air Products Canada Ltd.,4,273.71,4
Seah Besteel Corp.,Encore Metals,16,273.49,16
Edge Innovate Ltd.,Emirates Aluminium (EGA),8,273.4,8
Royal Smit Transformers B.V.,Tucson Electric Powerco.,2,273.4,2
Nissan Mexicana S.A. De C.V.,Ntc Dis Ticaret Akcaburgaz,10,273.24,10
Berkane S Board,Lgs Specialty Sales Ltd.,4,273.01,4
Shaoxing Shanhua Automotive,Sanhua Automotive Mexico,2,273.0,2
Horkos Corp,Horkos Technical Center Of America,6,272.94,6
Ponsse Plc,Pacwest Machinery,14,272.84,14
"Thaihua Rayong Rubber Co., Ltd.",Sumitomo Mitsui Banking Corp.,1,272.44,1
Mt Chemtrans Taurus,Intergulf Corp.,2,272.4,2
General Motors Overseas Distributio,Ifs Europe Bv,24,272.15999999999997,24
Hangzhou Guoneng Steam Turbine Engi,Jgc Kiewit Joint Venture,1,272.15,1
China Steel Corporation,Metal One Steel Service De Mexico,6,271.98,6
Multifreight Ltd.,Tiba Chile Ltda,3,271.84000000000003,3
"Lien Chieh Machinery Co., Ltd.",Enprotech Industiral Technologies,2,271.76,2
Ets Sp A .,Jgc Kiewit Joint Venture,2,271.72,2
Alimak Group Sweden Ab,Alimak Group Us Inc.,46,271.71999999999997,46
Eggersmann North America Gmb H,Timber Ridge Equipment,12,271.0,12
C Divina,Everglades Waste Removal,2,271.0,2
Yamazaki Mazak Corporation,Mazak Corp.,2,270.94,2
Walzengiesserei Coswig Gmb H,Nucor Yamato Steel Co.,2,270.54,2
W90 Wv9,M21820,2,270.46,2
Providence Exp. S.A.,Forever Fresh Llc,9,270.38,9
Fokker Aerostructures Bv,Gulfstream Aerospace,38,270.02,38
Novatech Aps,Levy Big River Mill Services,4,270.0,4
