Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Shipment_Count,Goods_Keywords,Confidence_Score
Saudi Refining Inc,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27.0,2709.0,14980445.959999999,216,"540, 782. 1 BBLS GSV@60F ARAB LIGHT API 32. 90 397, 203. 4 BBLS GSV@60F ARAB LIGHT API 32. 60 501, 250 BBLS GSV@60F ARAB LIGHT CRUDE API 33. 501, 710. 30 BBLS GSV@60F ARAB LIGHT API 33. 00 507, 848. 09 BBLS GSV@60F ARAB LIGHT API 33. 00 536, 764 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 524, 266. 13 BBLS GSV@60F ARAB LIGHT CRUDE OIL 452, 815 BBLS GSV @ 60F ARAB LIGHT CRUDE OIL A 550, 762 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 503, 908. 8 BBLS GSV@60F ARAB LIGHT API 33. 80",2309.8
Motiva Enterprises,"High Seas,Gulf Of Mexico","Port Arthur, Texas",27.0,2709.0,14052675.58,203,"540, 782. 1 BBLS GSV@60F ARAB LIGHT API 32. 90 397, 203. 4 BBLS GSV@60F ARAB LIGHT API 32. 60 501, 250 BBLS GSV@60F ARAB LIGHT CRUDE API 33. 501, 710. 30 BBLS GSV@60F ARAB LIGHT API 33. 00 507, 848. 09 BBLS GSV@60F ARAB LIGHT API 33. 00 536, 764 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 524, 266. 13 BBLS GSV@60F ARAB LIGHT CRUDE OIL 452, 815 BBLS GSV @ 60F ARAB LIGHT CRUDE OIL A 550, 762 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 503, 908. 8 BBLS GSV@60F ARAB LIGHT API 33. 80",2170.5
Valero,"Orangestad, Aruba","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,4066812.14,192,"120, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 120, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 100, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 150, 000 BBLS GSV @ 60F BOSCAN CRUDE OIL API. 70, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 7 90, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 6 180, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 150, 000 BBLS GSV @ 60F BOSCAN CRUDE OIL / UN 130, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 180, 000 BBLS GSV@60F BOSCAN CRUDE OIL API 10.",1960.7
Chevron,"High Seas,Gulf Of Mexico","Port of Morgan City, Morgan City, Louisiana",86.0,8609.0,10604.1,196,"SPOOLS & WINCH BASKET W/ TOOL TOOLS & EQUIPMENT CUTTINGS BOX W/ SCRAPS FRAME OPEN TOP W/ SLINGS PALLET BOX W/ SUPPLIES RACK W/ EMPTY TANKS EMPTY SKIP TANK W/ SOAP BASKET W/ EQUIPMENT EMPTY CONTAINER RACK W/ 2"" LOOPS EMPTY TOTE DRUM RACK EMPTY SLUDGE TANK EMPTY OFFSHORE BOX BASKET W/ WASTE BASKET W/ EMPTY TANK EMPTY TANKS CONTAINER W/ SPOOL, BORE, CENTRALIZER TECH JOINTS EMPTY CONTAINER BASKET W/ WASTE BASKET W/ POWER SCOPE CONTAINER W/ BARALOCK PALLET BOX W/ SUPPLIES EMPTY TOTE TANK EMPTY BASKET CONTAINER W/ WASTE FRAME RACK W/ EMPTY CYLINDERS IBC EMPTY SKIP EMPTY TOTE TANK EMPTY TOTE TANK DRUM CARRIER RACK CONTAINER W/ WASTE DRUM CARRIER EMPTY TOTE TANK BASKET W/ MISC MATERIAL CONTAINER W/ BOXES FRAME W/ WELDING MACHINE EMPTY TOTE TANK RACK W/ HUC MATERIALS SKIP",1960.1
Valero,"Orangestad, Aruba","Port Arthur, Texas",27.0,2709.0,6538723.02,188,"225, 822 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 246, 060. 13 BBLS GSV@60F BOSCAN CRUDE OIL IN L 250, 168 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 235, 419 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 248, 585. 660 BBLS GSV @ 60F BOSCAN CRUDE OIL U 163, 665. 750 BBLS GSV@60F BOSCAN CRUDE OIL API 202, 633. 910 BBLS GSV@60F BOSCAN CRUDE OIL API 202, 661. 970 BBLS GSV@60F BOSCAN CRUDE OIL API 190, 209. 050 BBLS GSV @ 60F BOSCAN CRUDE OIL / 163, 665. 750 BBLS GSV@60F BOSCAN CRUDE OIL API",1945.4
State Oil Marketing Company (SOMO),"High Seas,North Pacific","Port of Richmond, Richmond, California",27.0,2709.0,7584064.98,163,"BASRAH HEAVY CRUDE OIL APPROX 173, 000 BBLS BASRAH HEAVY CRUDE OIL 251, 751. 5 BBLS BASRAH HEAVY CRUDE OIL APPROX 250, 000 BBLS BASRAH MEDIUM CRUDE OIL APROX. 346, 000 BBLS BASRAH MEDIUM CRUDE OIL APROX. 348, 719. 20 BBLS BASRAH MEDIUM CRUDE OIL APROX. 348, 000 BBLS BASRAH HEAVY CRUDE OIL APROX. 397, 000 BBLS BASRAH MEDIUM CRUDE OIL APROX. 453, 000 BBLS BASRAH MEDIUM CRUDE OIL APROX 500, 000 BBLS BASRAH HEAVY CRUDE OIL APROX 10, 000 BBLS",1705.8
Valero,"Dos Bocas, Mexico","Port Arthur, Texas",27.0,2709.0,11576958.1,158,"521, 326 BBLS MAYA CRUDE OIL 527, 915. 000 BBLS MAYA CRUDE OIL 502, 471 BBLS MAYA CRUDE OIL 472, 468 BBLS MAYA CRUDE OIL ONE LOT OF MAYA CRUDE OIL 525188 BBLS 577, 647 BBLS GSV@60F MAYA CRUDE OIL API 22. 10 520, 751 BBLS MAYA CRUDE OIL 525, 037 MAYA CRUDE OIL 519, 813 BBLS MAYA CRUDE OIL 522, 267 BBLS MAYA CRUDE OIL",1695.8
Valero,"High Seas,South Pacific","Port of Long Beach, Long Beach, California",27.0,2709.0,8558943.24,153,"445, 036. 74 BBLS GSV@60F SAPINHOA CRUDE OIL AP 499, 307. 90 BBLS GSV@60F IRACEMA CRUDE OIL API 587, 181. 7 BBLS GSV@60F ORIENTE CRUDE OIL API 489, 390. 42 BBLS GSV@60F SAPINHOA CRUDE OIL AP 200, 000 BBLS GSV@60F FRADE CRUDE OIL API 19. 9 300, 000 BBLS GSV@60F TARTARUGA VERDE CRUDE OI 444, 783. 97 BBLS GSV@60F IRACEMA CRUDE OIL API 154, 855 BBLS GSV @ 60F SAPINHOA CRUDE API. 30 501, 981 BBLS GSV@60F FRADE CRUDE OIL API 19. 6 539, 573. 14 BBLS GSV@60F CPC BLEND CRUDE OIL A",1615.6
PBF Energy,"High Seas,Gulf Of Mexico","Philadelphia Regional Port Authority, Philadelphia, Pennsylvania",27.0,2709.0,10637307.93,150,"540, 338. 86 BBLS GSV@60F ARAB LIGHT CRUDE OIL 510, 000 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 550, 648. 15 BBLS GSV @ 60F ARAB LIGHT CRUDE OI 551, 377. 580 BBLS GSV@60F ARABIAN LIGHT CRUDE 440, 000 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 531, 233. 47 BBLS ARAB LIGHT CRUDE OIL 535, 871. 10 BBLS GSV@60F ARAB LIGHT CRUDE OIL 510, 000 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 550, 549 BBLS GSV@60F ARAB LIGHT CRUDE OIL API 456, 000 BBLS GSV@60F ARAB LIGHT CRUDE OIL API",1606.4
Emirates Aluminium (EGA),"All Other United Arab Emirates Ports, United Arab Emirates","Houston, Houston, Texas",76.0,7601.0,3450195.04,137,PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY PRIMARY ALUMINIUM SHEET INGOT IN EGA ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65050 PRIMARY ALUMINIUM FOUNDRY ALLOY A356. 2SR PRIMARY ALUMINIUM FOUNDRY ALLOY A356. 2SR PRIMARY ALUMINIUM FOUNDRY ALLOY A356. 2SR,1404.5
Valero,"High Seas,South Pacific","Carquinez Strait, California",27.0,2709.0,6725751.96,132,"272, 500 BBLS GSV@60F FRADE CRUDE OIL API 19. 9 199, 445. 36 BBLS GSV@60F ATAPU CRUDE OIL API 2 245, 937. 06 BBLS GSV@60F BAUNA CRUDE OIL API 3 258, 232. 57 BBLS GSV@60F BAUNA CRUDE OIL API 3 272, 500 BBLS GSV@60F FRADE CRUDE OIL API 19. 9 197, 879. 71 BBLS GSV@60F TARTARUGA VERDE CRUDE 488, 914 BBLS GSV@60F IRACEMA CRUDE OIL API 32 496, 069 BBLS GSV@60F IRACEMA CRUDE API 32. 58 423, 842. 67 BBLS GSV@60F SAPINHOA CRUDE OIL AP 492, 715 BBLS GSV@60F BAUNA CRUDE OIL API 34. 1",1387.3
Emirates Aluminium (EGA),"Veracruz, Mexico","San Juan, San Juan, Puerto Rico",87.0,8703.0,3597.17,138,"2024 BRONCO SPORT BRONCO SPT OB 1. 5L ECOBOOST 8-SPD AUTO TRAN 105"" WB 2024 MUSTANG MACH-E GT AWD, LHD PRFM/91KWH BAT SNGL SPD TRANS 117"" WB 2024 MAVERICK FWD 2. 0L ECOBOOST 8-SPD AUTO TR AN121"" WB 2024 MAVERICK XLT FW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK FWD 2. 0L ECOBOOST 8-SPD AUTO TR AN121"" WB 2024 BRONCO SPORT BRONCO SPT BIG 1. 5L ECOBOOS T8-SPD AUTO TRAN 105"" WB 2024 MAVERICK FWD 2. 0L ECOBOOST 8-SPD AUTO TR AN121"" WB 2024 MAVERICK XLT AW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK XLT FW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 BRONCO SPORT BRONCO SPT OB 1. 5L ECOBOOST 8-SPD AUTO TRAN 105"" WB 2024 BRONCO SPORT BRONCO SPT BIG 1. 5L ECOBOOS T8-SPD AUTO TRAN 105"" WB 2024 MAVERICK XLT AW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK FWD 2. 0L ECOBOOST 8-SPD AUTO TR AN121"" WB 2024 MAVERICK XLT FW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK FWD 2. 5L HYBRID AUTO TRANS 121"" WB 2024 BRONCO SPORT BRONCO SPT BIG 1. 5L ECOBOOS T8-SPD AUTO TRAN 105"" WB 2024 BRONCO SPORT BRONCO SPT OB 1. 5L ECOBOOST 8-SPD AUTO TRAN 105"" WB 2024 MAVERICK XLT AW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK XLT FW 2. 0L ECOBOOST 8-SPD AUTO TRAN 121"" WB 2024 MAVERICK FWD 2. 0L ECOBOOST 8-SPD AUTO TR AN121"" WB 2024 MAVERICK FWD 2. 5L HYBRID AUTO TRANS 121"" WB",1380.0
Emirates Aluminium (EGA),"Abu Zabi, United Arab Emirates","Port of Long Beach, Long Beach, California",76.0,7601.0,55982.450000000004,128,"PRIMARY ALUMINIUM SHEET INGOT IN EGA ALLOY 55 315(EQUIVALENT TO AA5000) SHEET INGOT (SLAB) PRIMARY ALUMINIUM 99. 89% MINIMUM ALUMINIUM IN EGA CODE 18900. SOW INGOT 680 KG PRIMARY ALUMINIUM SHEET INGOT IN EGA ALLOY 55 315(EQUIVALENT TO AA5000) PRIMARY ALUMINIUM FOUNDRY ALLOY AISI3SR STRON TIUM MODIFIED IN EGA ALLOY 42001. T - INGOT 1, 406 KG PRIMARY ALUMINIUM FOUNDRY ALLOY A356. 2 IN EGA ALLOY CODE 44506 B-INGOT 10 KG PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) PRIMARY ALUMINIUM FOUNDRY ALLOY AISI3SR STRON TIUM MODIFIED IN EGA ALLOY 42001. T - INGOT 1, 406 KG PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65058 (EQUIVALENT TO AA6063) PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 69236 (EQUIVALENT TO SAPA 6061) TOTAL NO OF BUNDLES: 97 TOTAL NO OF PIECES: 388 TOTAL NET WEIGHT: 196. 855 MT TOTAL GROSS WEIGHT: 197. 700 MT DELIVERY NO: 80589668 - 80589670 ITEM NO: 30 - 50 SO: 80220 SHIPMENT NUMBER: 179329 PRIMARY ALUMINIUM 99. 89% MINIMUM ALUMINIUM IN EGA CODE 18900. SOW INGOT 680 KG TOTAL NO OF BUNDLES: 866 TOTAL NO OF PIECES: 866 TOTAL NET WEIGHT: 593. 257 MT TOTAL GROSS WEIGHT: 593. 257 MT DELIVERY NO: 80588452 - 80588457 ITEM NO: 10 - 60 SO: 81096 SHIPMENT NUMBER: 179032 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) TOTAL NO OF BUNDLES: 43 TOTAL NO OF PIECES: 1, 711 TOTAL NET WEIGHT: 43. 105 MT TOTAL GROSS WEIGHT: 43. 516 MT DELIVERY NO: 80588447 - 80588448 ITEM NO: 000010, 000050 SO: 81083 SHIPMENT NUMBER: 179031",1280.6
Ternium,"All Other Brazil Ports South Of Recife, Brazil","Houston, Houston, Texas",72.0,7210.0,28980.14,128,HOT DIP GALVANIZED - GI COIL CHEMICALLY TREAT ED/HOT DIP GALVANNEALED - GA COIL CHEMICALLY TREATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANIZED - GI COIL CHEMICALLY TREAT ED/HOT DIP GALVANNEALED - GA COIL CHEMICALLY TREATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED HOT DIP GALVANIZED - GI COIL CHEMICALLY TREAT ED/HOT DIP GALVANNEALED - GA COIL CHEMICALLY TREATED HOT DIP GALVANNEALED - GA COIL CHEMICALLY TRE ATED,1280.3
Ternium,"Sepetiba Bay, Brazil","The Port of Brownsville, Brownsville, Texas",72.0,7207.0,4989552.0,114,STEEL SLABS 72071200 72249000 STEEL SLABS NCM 72071200 NCM 72249000 STEEL SLABS NCM 72071200 NCM 72249000 STEEL SLABS 72071200 72249000 STEEL SLABS 72071200 72249000 STEEL SLABS 72071200 72249000 STEEL SLABS 72071200 72249000 STEEL SLABS NCM 72071200 NCM 72249000 STEEL SLABS 72071200 72249000 STEEL SLABS NCM 72071200 NCM 72249000,1189.9
Irving Oil,"Saint John, Nb, Canada","Wilmington, Wilmington, North Carolina",27.0,2710.0,747994.28,116,"42, 000 BBLS ASPHALT 42, 000 BBLS ROOFING FLUX 22, 000 BBLS ASPHALT 42, 000 BBLS ASPHALT 42, 000 BBLS ROOFING FLUX 40, 000 BBLS ASPHALT 26, 000 BBLS ASPHALT 42, 000 BBLS ROOFING FLUX 15, 000 BBLS ASPHALT 40, 000 BBLS ASPHALT",1167.5
Motiva Enterprises,"Onsan, South Korea","Port of New Orleans, New Orleans, Louisiana",27.0,2710.0,463350.2,112,BASE OIL ARAMCO ULTRA 4 BASE OIL ARAMCO ULTRA 3 BASE OIL ARAMCOULTRA 2 3 AND 8 39237 BBLS BASE OIL ARAMCOULTRA 8 BASE OIL ARAMCOULTRA 4 BASE OIL ARAMCOULTRA 3 BASE OIL ARAMCOULTRA 2 BASE OIL ARAMCOULTRA 2 3 4 8 BASE OIL ARAMCOULTRA 3 BASE OIL ARAMCOULTRA 8,1124.6
Valero,"Khor Al Zubair, Iraq","Port of New Orleans, New Orleans, Louisiana",27.0,2710.0,3149849.8,104,"358, 846 BBLS GSV@60F STRAIGHT RUN HSFO API 14 160, 185 BBLS GSV@60F STRAIGHT RUN HSFO API 14 135, 477. 681 BBLS PRIMARY MATERIAL FOR MOTOR O IL MANUFACTURE (VGO) 363, 841. 548 BBLS STRAIGHT RUN HSFO STRAIGHT RUN HSFO 549820 BBLS 117, 048 BBLS STRAIGHT RUN HSFO 38, 565 BBLS VACCUM RESIDUE 142, 382 BBLS STRAIGHT RUN HSFO 66, 811. 334 BBLS PRIMARY MATERIAL FOR MOTOR OI L MANUFACTURE (VGO) 187, 159 BBLS VACUUM RESIDUE",1071.5
Irving Oil,"Saint John, Nb, Canada","Port of New Haven, New Haven, Connecticut",27.0,2710.0,1066336.0,106,"130, 000 BBLS ULTRA LOW SULFUR HEATING OIL 42, 000 BBLS ASPHALT 95, 000 BBLS ULTRA LOW SULFUR DIESEL 84, 000 BBLS ASPHALT 50, 000 BBLS ULTRA LOW SULFUR DIESEL 93, 000 BBLS ULTRA LOW SULFUR HEATING OIL 88, 000 BBLS ULTRA LOW SULFUR HEATING OIL 42, 000 BBLS ASPHALT 45, 000 BBLS ULTRA LOW SULFUR DIESEL 42, 000 BBLS ASPHALT",1070.7
Ternium,"All Other Brazil Ports South Of Recife, Brazil","Houston, Houston, Texas",72.0,7219.0,45989.17,107,COLD ROLLED STEEL COIL COLD ROLLED STEEL COIL COLD ROLLED STEEL COIL COLD ROLLED STEEL COIL COLD ROLLED STEEL COIL COLD ROLLED STEEL COIL HOT ROLLED STEEL PLATE HOT ROLLED STEEL PLATE HOT ROLLED STEEL PLATE HOT ROLLED STEEL PLATE,1070.5
