Bill of Lading Number,Arrival Date,Consignee,Consignee (Original Format),Consignee SIC Codes,Shipper,Shipper (Original Format),Shipper SIC Codes,Notify Party,Carrier,Origin (F),Destination (D),Port of Discharge (D),Port of Loading (F),Country of Origin (F),Place of Receipt (F),Vessel,Voyage,IMO,Is Containerized,Measurement,Kilos,Tons,Weight (Original Format),Value,HS Code Desc.,Goods Shipped,REC_ID,Qty,Pckg,HS2,HS4,HS6,Vessel_Type_Simple,Carrier Name,Package_Type,Count,Group,Commodity,Cargo,Cargo Detail,Group_Locked,Commodity_Locked,Cargo_Locked,Cargo_Detail_Locked,Classified_Phase,Last_Rule_ID,Report_One,Report_Two,Report_Three,Report_Four,Filter,Note,Cargo_Detail,Classified_By_Rule,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Port_Code,Port_Consolidated,Port_Coast,Port_Region
CINT3661MORPRA18,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Cia Siderurgica Santa Barbara,"CIA SIDERURGICA SANTA BARBARA
AVENIDA RIO MARINHO S/N - BAIRRO BA
RRA DO JUCU CEP 29112690 VILA VELHA
ES BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,500000.0,500.0,500 ET,320000.0,Classified: 7201.10,500. 00 MT BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE019_R154525,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA17,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Cbf Industries De Gusa S A,"CBF INDUSTRIA DE GUSA SA
ROD BR 101 KM 195.5 ZONA RURAL
JOAO NEIVA ED BRAZIL
CEP 29680 000",3312,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,2001000.0,2001.0,2001 ET,1281000.0,Classified: 7201.10,"2, 000. 640 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154526,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA16,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usipar Industria E Companymercio Limiteda,"USIPAR INDUSTRIA E COMERCIO LTDA
FAZENDA VELHO DO TAIPA ZONA RURAL
PITANGUI MG - BRAZIL
35650-000",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,6212000.0,6212.0,6212 ET,3976000.0,Classified: 7201.10,"6, 211. 50 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154527,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA15,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usipar Industria E Companymercio Limiteda,"USIPAR INDUSTRIA E COMERCIO LTDA
FAZENDA VELHO DO TAIPA ZONA RURAL
PITANGUI MG - BRAZIL
35650-000",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,202000.0,202.0,202 ET,129000.0,Classified: 7201.10,202. 00 MT BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE019_R154528,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA14,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usipar Industries E Companymercio Limiteda,"USIPAR INDUSTRIA E COMERCIO LTDA
RODOVIA BR 040 SN KM 464
BAIRRO INDUSTRIAS NA BR 040
35701-970 - SETE LAGOAS MG - BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,1262000.0,1262.0,1262 ET,808000.0,Classified: 7201.10,"1, 262. 340 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154529,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA13,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usipar Industries E Companymercio Limiteda,"USIPAR INDUSTRIA E COMERCIO LTDA
RODOVIA BR 040 SN KM 464
BAIRRO INDUSTRIAS NA BR 040
35701-970 - SETE LAGOAS MG - BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,7830000.0,7830.0,7830 ET,5011000.0,Classified: 7201.10,"7, 830. 00 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154530,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA12,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Usina Siderurgica Atlas S A,"USINA SIDERURGICA ATLAS S/A
AVENIDA HEMATITA 1480 - DISTRITO
INDUSTRIAL 35903-051
ITABIRA - MG - BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,2890000.0,2890.0,2890 ET,1850000.0,Classified: 7201.10,"2, 889. 50 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154531,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA11,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Siderurgica Betser Limiteda,"SIDERURGICA BETSER LTDA
ROD BR-040 KM 472 CEP 35702372
SETE LAGOAS MG BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,2535000.0,2535.0,2535 ET,1622000.0,Classified: 7201.10,"2, 535. 480 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154532,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA10,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Multifer Siderurgia Eireli,"MULTIFER SIDERURGIA EIRELI
FAZENDA LAPA DO CHUMBO S.N ZONA RUR
CEP 35701-970 SETE LAGOAS MG BRASIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,1367000.0,1367.0,1367 ET,875000.0,Classified: 7201.10,"1, 367. 00 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154533,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA09,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Siderbras Siderurgica Brasileira,"SIDERBRAS SIDERURGICA BRASILEIRA
AV GOVERNADOR MAGALHAES PINTO 2500
BAIRRO NITEROI DIVINOPOLIS BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,3000000.0,3000.0,3000 ET,1920000.0,Classified: 7201.10,"3, 000. 00 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154534,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA08,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Modulax Siderurgia S A,"MODULAX SIDERURGIA S/A
ROD BR 135 KM 626 S/N ZONA RURAL
CURVELO BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,2740000.0,2740.0,2740 ET,1754000.0,Classified: 7201.10,"2, 740. 00 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154535,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA07,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Minasfer Siderurgia Limiteda,"MINASFER SIDERURGIA LTDA
ROD BR-040 KM 476 SITIO DO SOBRADO
SETE LAGOAS BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,2392000.0,2392.0,2392 ET,1531000.0,Classified: 7201.10,"2, 392. 00 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154536,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
CINT3661MORPRA06,2023-01-15,Steel Dynamics Companylumbus LLC,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467
COLUMBUS, MS 39703",,Metalfer Siderurgia Limiteda,"METALFER SIDERURGIA LTDA
ROD BR-040 KM 476
SETE LAGOAS BRAZIL",,"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD PO BOX 467, COLUMBUS, MS 39703",CINT - Cargill International S A,Brazil,"Alabama State Port Authority, Mobile, Alabama","Alabama State Port Authority, Mobile, Alabama","Victoria, Brazil",Brazil,BRAZIL,ARTEMISSIO,1,,, ,4136000.0,4136.0,4136 ET,2647000.0,Classified: 7201.10,"4, 135. 560 MT BASIC STEEL MAKING PIG IRON",PANV_IMP_FILE019_R154537,1,BLK,72,7201,720110,Bulk Carrier,CINT,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,Mobile,Gulf,Gulf East
