Party_Name,Total_Tons,Record_Count
"STEEL DYNAMICS COLUMBUS LLC
1945 AIRPORT ROAD  PO BOX 467, COLUMBUS MS 39703",314846.0,10
"A.N. DERINGER
16238 42ND AVE S, TUKWILA, WA, US, 98188, TE206-933-5618",312653.0,49
"PHILLIPS 66 SWEENY REFINERY
2331 CITYWEST BLVD, HOUSTON TX77042 US",310136.0,4
"SIEMENS GAMESA RENEWABLE ENERGY, IN
NEP PRE-ASS HARBOR  200 STATE PIER, RD 06320 NEW LONDON CT USA, JOHN S. CONNOR",309262.01,2
"MARATHON LOS ANGELES REFINERY
2101 E PACIFIC COAST HIGHWAY, WILMINGTON CA 90744",308883.0,3
"PHILLIPS 66 SWEENY REFINERY
2331 CITYWEST BLVD, HOUSTON, TX 77042",308338.24,4
"HUNT CRUDE OIL SUPPLY COMPANY LLC
2200 JACK WARNER PKWY, SUITE 400, TUSCALOOSA, AL 35401",300835.0,5
"MARATHON LOS ANGELES REFINERY
2101 E PACIFIC COAST HIGHWAY, WILMINGTON CALIFORNIA 90744 USA",300696.61,4
"REG MARKETING & LOGISTICS LLC
416 S. BELL AVENUE, AMESIA 50010, US",300112.68,20
"LEED GROUP INC. DBA LEED SALT
539 MAIN STREET SHREWSBURY MA 01545, - USA ATTN: SAM BAYOU, 001-617-416-2886",299200.0,6
"MARATHON ANACORTES REFINERY
MARCH POINT ROAD ANACORTES, WASHINGTON 98221 USA",299091.3,5
"AUTOPORT EMDEN GMBH
P.O. BOX 1107, D-26691 EMDEN, GERMANY, GERMANYGE 38436, TEPH:+49 49218950 AUTOPORT@EVAG.COM",294322.06,218
"Geodis
5101 S. Broad St., Philadelphia PA US 19112

;

Metsa Board Americas
301 Meritt 7, NORWALK CT US 06851",290181.23,63
"AXXESS INTERNATIONAL INC
100 WALNUT STREET, CHAMPLAINNY 12919, US, TE518-208-4007",289167.8,150
"CAPES SHIPPING AGENCIES
150W MAIN STREET, SUITE 1120, NORFOLK VA 23510 US",288246.37,79
"BELFRUCO
EORI: BE0418777011, DESK 220 ROSTOCKWEG 1, ANTWERP, BELGIUM",288107.04,648
"HOST AGENCY LLC
365 CANAL STREET, SUITE 2500 NEW ORLEANS LA 70130, 504-469-0731",285814.0,32
"ADM BIODIESEL DEPARTMENT
4666 FARIES PARKWAY, DECATURIL 62526, US, TE217-451-6018",285405.32,49
"ERGON OIL PURCHASING INC
2829 LAKELAND DRIVE SUITE 2000, 39232 7611 POST OFFICE BOX 1308, JACKSON MS 39215 1308 USA",283870.0,4
"Vida Wood US
219 Pedeen Road, Suite 102, SMITHFIELD NC US 27577-231",282729.36,39
"TRANS AMERICAN CHB, INC.
2775 BROADWAY BUFFALO, NY 14227, PHONE: (800) 333-0465 EXT. 5889, FAX: (716) 462-6077",282590.0,6
"C H  ROBINSON
26555 EVERGREEN ROAD, SUITE 610, SOUTHFIELD MI US",281470.77,546
"BDP INTL,CHEMOURS IMP OPS
510 WALNUT ST, PHILADELPHIA, PA 19106, PH: 215-629-8900",280636.83,12
"CALIFORNIA SUGAR REFINERS LLC
7112 ENRICO FERMI PL, SAN DIEGO, CA USA, 92154",280000.0,36
"CORY BROTHERS (USA) INC
2800 NORTH LOOP WEST, SUITE 900, HOUSTON, TX 77092, USA",274446.05000000005,2
"CEVA LOGISTICS
1333 S MOUNT PROSPECT RD, DES PLAINES IL US",273453.5,10445
"HALLIBURTON ENERGY SERVICES INC
3000 NORTH SAM HOUSTON PARKWAY EAST, HOUSTON TEXAS 77032. UNITED STATES, OF AMERICA. ATTN: SANTIAGO",270502.0,8
"NEVADA CEMENT COMPANY, LLC.
205 PORT ROAD 1, STOCKTON, CA. 95203",270266.44,10
"TERMINAL SHIPPING COMPANY, INC.
300 BULL STREET - SUITE 201, SAVANNAH GA31401 USGARY NALL TE1 912 964 5200",268310.0,6
"MIECO LLC
LANDMARK SQUARE, 111 W OCEAN BLVD, SUITE 1600, LONG BEACH, CA, US, 90802, TE562-435-0085",266710.98,154
"ROYAL PETROLEUM CORP
RD 865 KM 05 BO CAMPANILLA TOA BAJA, PR 00951",262192.32,2
"ICF CUSTOMS SERVICES LLC
8709 KILLAM INDUSTRIAL BLVD LAREDO,, TX. 78045 TAX ID 47-3769853, ATN YARITZA VALVERDE - JUAN JIMENEZ, PH 956-523-0253 - I  CFCS04@GRUC AS",261329.50999999998,9
"GENERAL STEAMSHIP CORP LTD
3330 W. ESPLANADE AVE; STE. 520, METAIRIE LA70002 US",257783.64,6
"ATLANTIC TRADING &AMP; MARKETING IN
C   1201 LOUISIANA ST SUITE 1400, HOUSTON, TX 77002",254412.59,15
"HOLCIM US INC
2001 WHARF RD, SPARROWS POINT, MD 21219 USA",253705.0,5
"NATURGY APROVISIONAMIENTOS S.A.
1225 AVENIDA PONCE DE LEON, STE 705, SAN JUAN 00907 PR",253529.0,6
"SEA CLIFF AGENCY
ATTN: BILL PADGETT, 162 SOUTH LAWRENCE STREET, MOBILE AL36602 US",251195.52000000002,6
"TRADE ZONE OPERATIONS INC.
5650 ARCTURUS AVE, OXNARD, CA - 93033, UNITED STATES                   US, OXNARD                   93033",249474.59,466
"MARATHON LOS ANGELES REFINERY
2101 E PACIFIC COAST HIGHWAY, WILMINGTON CALIFORNIA 90744",249232.38,4
"BP WEST COAST PRODUCTS LLC
4519 GRANDVIEW RD BLAINE WA 98230, 9640 USA",246437.9,2
"BP WEST COAST PRODUCTS LLC
4519 GRANDVIEW RD, BLAINE WA98230 US",243716.0,2
"PAGE & JONES INC
52 NORTH JACKSON ST, MOBILE, AL 36602",235959.68,94
"A.J.ARANGO, INC
1516 EAST 8TH AVE, TAMPA FL33605 US",235664.06,6
"GEODIS USA INC.
5101 S. BROAD STREET, PHILADELPHIA PA19112 US",234633.58,747
"RIL USA INC
2050 W SAM HOUSTON PARKWAY SOUTH, SUITE 1400 HOUSTON TEXAS 77042",232666.6,12
"JOHN S. JAMES CO.
550 E Carson Plaza Dr, Carson, California, 90746, United States",228732.69,26
"CSC SUGAR LLC
33 RIVERSIDE AVENUE, WESTPORT, CONNECTICUT 06880",227998.0,21
"NLMK PENNSYLVANIA LLC
ROEMER BLVD, 15, FARRELLPA 16121, US",227270.38,4
"FORTRESS CEMENT
4191 FAYETTEVILLE RD SUITE 100, RALEIGH, NC 27603",225556.0,14
"AXIOM WORLDWIDE LOGISTIX, INC. 545
PLAZA VERDE DR. SUITE 100, HOUSTON,, TEXAS 77038 800-821-2922 TOLLFREE/, 281-233-0800 OFFICE TENARISMP@AXIOM",225066.08000000002,68
"RIL USA INC
2050 W. SAM HOUSTON PKWY SOUTH, SUITE 1400, HOUSTON TX 77042",224792.04,9
"HOST AGENCY, LLC
4400 HIGHWAY 225 STE 280, DEER PARK, TX 77536",222400.0,5
"1) HOST AGENCY
CHARLESTON, SC 29403, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130",220528.0,36
"NATURGY APROVISIONAMIENTOS
1225 AVENIDA PONCE DE LEON STE 705, SAN JUAN PR 00907",218063.06,4
"AMERICAN SUGAR REFINING INC.,
1N. CLEMATIS STREET,, WEST PALM BEACH, FLORIDA 33401",217528.2,46
"MASTERPIECE INTERNATIONAL
147-31 176 TH STREET 2ND FLOOR, 300 CORPORATE DRIVE, PITTSBURG PA 15108 USA",216582.9,1000
"KP WOOD US
1108 BELLEFIELD PARK LN, BELLEVUE WA US 98004

;

ARGENTS EXPRESS GROUP
9015-N SIGHTLINE DRIVE, LADSON SC US 29456",216234.36000000002,62
"NATURGY APROVISIONAMIENTOS SA
1225 AVENIDA PONCE DE LEON STE 705, SAN JUAN PR 00907 USA",215533.56,12
"HLJ INTERNATIONAL TRADING COMPANY
LLC 200 NOTH LASALLE STREET, SUITE, 2020 CHICAGO, IL 60601-1025,, UNITED STATES",214358.5,5
"C. Steinweg Handelsveem BV
Parmentierplein 1, Rotterdam, 3088, Netherlands",213780.32,19
"GMNA FINANCE TAX STAFF
300 RENAISSANCE CENTER, DETROIT MI 482653000 US",212713.52,444
"HAWAIIAN CEMENT, CEMENT DIVISION,
KALAELOA BARBERS PT. HARBOR 91-607, MALAKOLE ST, KAPOLEI, HI 96707, ATTN: JIM GOMES OR DARREN ORR",210000.0,6
"1) HOST AGENCY
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",209106.0,56
"HOLCIM US INC
2001 WHARF RD, SPARROWS POINT MD21219 US",205770.0,4
"MARATHON LOS ANGELES REFINERY
2101 E. PACIFIC COAST HIGHWAY, WILMINGTON CA 90744 US",205596.0,6
"HIGH BRIDGE STONE CO. INC.
126 WEST MAIN STREET, HIGH BRIDGE, NJ 08829 USA",204600.0,22
"CHARTER BROKERAGE
125 PARK AVE, STE 1800, NEW YORK, NY, US, 10017, TE212-363-9300",204476.12,35
"DUNHAM PRICE GROUP
210 MIKE HOOKS RD, WESTLAKE LA, 70669",203251.0,5
"Volkswagen De Mexico S.A. De C.V.
Km 116, Autopista Mexico Puebla, San Lorenzo Almecatla, Puebla, 72700, Mexico",201813.15,1230
"TARTAN OIL LLC
20 E GREENWAY PLAZA, SUITE 300, HOUSTON TX77046 US",201424.0,12
"CONSTELLATION LNG LLC
1310 POINT STREET 8TH FLOOR, BALTIMOREMD 21231, US",200966.05,6
"SULPHURIC ACID TRADING COMPANY, INC
10210 HIGHLAND MANOR DRIVE, SUITE 140, TAMPAFL 33610, TEUS",200499.26,10
"PORTLAND PIPELINE CORP
30 HILL ST, SOUTH PORTLAND, ME 04106",198956.0,2
"ASSOCIATED ASPHALT DISTRIBUTION LLC
110 FRANKLIN ROAD SUITE 900, ROANOKE, VA 24011",198955.06,21
"MARATHON LOS ANGELES REFINERY
2101 E. PACIFIC COAST  HIGHWAY, WILMINGTON, CALIFORNIA 90744",198764.3,2
"UNIVAR SOLUTIONS INC.
C/O VOPAK TERMINAL-BERTH 187, WILMINGTONCA, US",198088.43,30
"GLOBAL COMPANIES LLC
800 SOUTH STREET, WALTHAM, MA 02454",197546.62,12
"HUNT CRUDE OIL SUPPLY COMPANY LLC
2200 JACK WARNER PARKWAY, SUITE 400, TUSCALOOSA AL 35401 US",196146.0,5
"CHALMETTE REFINING CO
500 W ST BERNARD HWY, CHALMETTE, LA 70044",195389.33000000002,4
"HONEYWELL INTERNATIONAL INC
C/O BDP INTERNATIONAL, YORK, PA 17408 USA, TAX ID NBR: 23-187877600",195104.0,13
"JOHN S JAMES CO
1 IMESON PARK BLVD BLDG 100, JACKSONVILLE FL 32218 USA",195082.4,28
"AM MINING SA
24-26 BOULEVARD D'AVRANCHES, L-1160 LUXEMBOURG, G.D. OF LUXRMBOURG",193994.0,2
"AM/NS CALVERT, LLC
1 THYSSENKRUPP DRIVE,, P.O. BOX 456, CALVERT, AL 36513, USA",192579.0,6
"RIVERSIDE CONSTRUCTION
MATERIALS INC, 355 NEWBOLD ROAD, FAIRLESS HILLS, PA 19030",192406.0,4
"TRADE ZONE OPERATIONS INC.
5650 ARCTURUS AVE, OXNARD, CA - 93033, UNITEDSTATES                   US, OXNARD                   93033",191739.61,101
"ANCHORAGE FUELING AND SERVICE
COMPANY 6000 DEHAVILLAND DRIVE, ANCHORAGE AK 99519",189343.80000000002,6
"SUNCOR REFFINERIE DE MONTREAL
11701 SHERBROOKE ST E, POINTE-AUX-TREMBLES, QUEBEC H1B1C3 CANADA",188363.04,30
"HARMER STEEL PRODUCTS
10707 NW FRONT AVE.,, PORTLAND, OR 97231, PHONE: 503/ 247-4161",187974.0,1
"HUNT CRUDE OIL SUPPLY CO LLC
2200 JACK WARNER PKWY SUITE 400, TUSCALOOSA, AL 35401",186920.5,3
"MID-SHIP LOGISTICS
156 MAIN STREET, PORT WASHINGTON, NY 11050, TEL: 516-301-2111 SDENN@MIDSHIP.COM",184364.76,334
"INTEGRITY CUSTOMS BROKERAGE 2900
NORTH LOOP WEST FWY, SUITE 800, HOUSTON, TX 77092 USA IMPORTS@INT, EGRITYCHB.COM TEL: 281.319.0270",184254.0,30
"1. PAGE AND JONES (CUSTOMS BROKER)
1. PAGE AND JONES (CUSTOMS BROKER), 52 NORTH JACKSON STREET MOBILE  ALA, USA",183632.0,44
"VOEST-ALPINE TUBULAR CORPORATION
VOEST-ALPINE TUBULAR CORPORATION 11, 490 WESTHEIMER ROAD  SUITE 115 USA-, 77077 HOUSTON  TEXAS MR. ROBERT SCO, TT TEL. 001-713-7849990",182221.65,510
"RIL USA, INC
2050 W. SAM HOUSTON PKWY S, SUITE 1400, HOUSTON, TX 77042",181111.0,10
"JAS - CHARLESTON BRANCH
4289 A CROSSPOINT DRIVE, LADSON, SC 29456, CYNTHIA HARRIS / MELANIE PARKKONEN",180886.88999999998,35
"UNIVAR SOLUTIONS INC
C/O NUSTAR ENERGY TERMINAL, VANCOUVERWA, US",179296.53,24
"1. JOHN S JAMES CO. (CUSTOMS BROKER
1. JOHN S JAMES CO. (CUSTOMS BROKER, 1 IMESON PARK BLVD  BLDG 100 JACKS, O USA",178473.6,46
"TRADE ZONE OPERATIONS INC
P O  BOX 41458, OFFICE 949 706 7992, LONG BEACH CA US",177453.13,272
"DEER PARK REFINING LP
5900 HIGHWAY 225 DDER PARK TX 77536, USA",177044.1,2
"MARUBENI TRANSPORT SERVICE CORP
375 LEXINGTON AVENUE 6TH FLOOR, NEW YORK NY US",176956.84,567
"CIMBAR RESOURCES, INC
49-0 JACKSON LAKE ROAD, CHATSWORTH, GA 30705, ATTN: KELLY MCMAHON",176527.23,36
"INTEGRITY CUSTOMS BROKERAGE 2900
NORTH LOOP WEST FWY, SUITE 800,, HOUSTON TX 77092 - USA PHONE: 281., 319.0270  IMPORTS@INTEGRITYCHB.COM",175494.0,36
"TRADE ZONE OPERATIONS, INC.
P.O. BOX 41458, LONG BEACHCA 90853, US, TE949-706-7992",173600.88,200
"US ENERGY
425 BETTER WAY, APPLETON, WI 54915",172227.53,22
"ROANOKE CEMENT CO LLC
5700 LAKE WRIGHT DRIVE, SUITE 300, NORFOLK VA23502 US",172200.0,4
"ESSEX CEMENT CO LLC
BUILDING 182, CALCUTTA STR, NEWARK, NJ 07114",171130.0,4
"ENEOS AMERICAS INC
3040 POST OAK BLVD., SUITE 1625, HOUSTON TX77056 US",171026.0,8
"PROCTOR & GAMBLE MFG. CO.
5299 SPRING GROVE AVE, FHIC HISTORIC BUILDING, 4TH FLR, CINCINNATIOH 45217, TEUS",170459.43,30
"MARATHON ANACORTES REFINERY
MARCH POINT ROAD ANACORTES, WASHINGTON  98221",170259.06,4
"BEST PETROLEUM CORPORATION
PO BOX 9525 BAYAMON PR 00960 PR",169153.22,12
"AM CALVERT LLC
PO BOX 456 CALVERT AL 36513 USA",168991.65,3
"CHS INC
5500 CENEX DR INVER, GROVE HEIGHTS, MN 55077",168774.12,5
"ESSEX CEMENT CO LLC
BUILDING 182, CALCUTTA STR, PORT NEWARK NJ07114 US",167340.0,4
"V. ALEXANDER AND CO., INC.
22, Century Boulevard, Nashville, Tennessee, 37214, United States",167270.76,205
"LAXFUEL
9900 LAXFUEL ROAD LOS ANGELES CA, 90045",166942.34000000003,6
"KIA AMERICA INC.
111 PETERS CANYON ROAD, IRVINECA 92606, US",166186.62,132
"THOMAS KOWAL LLC
AKA APALACHEE MARINE, 1423 HIGHLAND AVE, ROCHESTER, NY 14620",165862.0,9
"OCP NORTH AMERICA
235 LAKE STREET EAST, STE 202, WAYZATA MN 55391",165000.0,6
