Priority,HS2,Tonnage,Records,Rule_Suggestion,Keywords,Estimated_Group,Estimated_Commodity,Estimated_Cargo,Notes
7,23,2595027.96,619,Organic Soybean Meal,ORGANIC SOYBEAN MEAL|CERTIFIED ORGANIC,Dry Bulk,Agricultural Products,Animal Feed,Certified organic
7,23,2595027.96,619,Organic Sunflower Meal,ORGANIC SUNFLOWER MEAL,Dry Bulk,Agricultural Products,Animal Feed,Certified organic
7,23,2595027.96,619,DDGS,DISTILLERS DRIED GRAINS|DDGS,Dry Bulk,Agricultural Products,Animal Feed,Ethanol production byproduct
7,23,2595027.96,619,Vegetable Feed Pellets,VEGETABLE BLEND PELLETS|FEED GRADE,Dry Bulk,Agricultural Products,Animal Feed,Processed feed
8,31,2479603.38,346,Potassium Fertilizer,KALISOP|POTASSIUM|60ER KALI,Dry Bulk,Chemicals,Fertilizers,Potassium sulfate common
8,31,2479603.38,346,Calcium Nitrate,CALCIUM NITRATE,Liquid Bulk,Chemicals,Fertilizers,Liquid fertilizer solution
8,31,2479603.38,346,Triple Superphosphate,TRIPLE|SUPERPHOSPHATE|GTSP,Dry Bulk,Chemicals,Fertilizers,Phosphate fertilizer
8,31,2479603.38,346,Granular Fertilizer,GRANULAR (HS31 only),Dry Bulk,Chemicals,Fertilizers,Form indicator
9,87,2283351.27,17319,Volvo Vehicles,VOLVO XC40|VOLVO XC60|VOLVO XC90|VOLVO,Dry Bulk,General Cargo,Vehicles,Passenger vehicles
9,87,2283351.27,17319,Land Rover Vehicles,LAND ROVER|RANGE ROVER|DEFENDER,Dry Bulk,General Cargo,Vehicles,Passenger vehicles
9,87,2283351.27,17319,Mercedes Vehicles,MERCEDES BENZ|MERCEDES-BENZ,Dry Bulk,General Cargo,Vehicles,Passenger vehicles
9,87,2283351.27,17319,Articulated Haulers,ARTICULATED HAULER,Dry Bulk,General Cargo,Construction Equipment,Heavy equipment
9,87,2283351.27,17319,Tractors,TRACTOR|TRACTORS,Dry Bulk,General Cargo,Vehicles,Agricultural/industrial
10,38,2019355.88,895,Fatty Acids,FATTY ACID|STEARIC ACID,Liquid Bulk,Chemicals,Fatty Acids,Various concentrations
10,38,2019355.88,895,Hardened Fatty Acid,HARDENED|DISTILLED FATTY ACID,Liquid Bulk,Chemicals,Fatty Acids,Processed fatty acids
10,38,2019355.88,895,Artificial Graphite,ARTIFICIAL GRAPHITE|GRAPHITE POWDER,Dry Bulk,Chemicals,Industrial Chemicals,Battery/electrode material
11,28,2013094.08,793,Silicon Carbide,SILICON CARBIDE,Dry Bulk,Chemicals,Industrial Chemicals,Abrasive/refractory material
11,28,2013094.08,793,Manganese Sulfate,MANGANESE SULPHATE|MANGANESE SULFATE,Dry Bulk,Chemicals,Industrial Chemicals,Chemical compound
11,28,2013094.08,793,Zinc Sulfate,ZINC SULPHATE|ZINC SULFATE,Dry Bulk,Chemicals,Industrial Chemicals,Chemical compound
11,28,2013094.08,793,Ferrous Sulfate,FERROUS SULPHATE|FERROUS SULFATE,Dry Bulk,Chemicals,Industrial Chemicals,Chemical compound
11,28,2013094.08,793,Tabular Alumina,TABULAR ALUMINA|ALUMINA,Dry Bulk,Chemicals,Industrial Chemicals,Refractory material
12,12,1921887.54,338,Organic Soybeans,ORGANIC SOYBEANS|CERTIFIED ORGANIC (HS12),Dry Bulk,Agricultural Products,Oil Seeds,Certified organic
12,12,1921887.54,338,Organic Flaxseed,ORGANIC FLAXSEED|FLAXSEED,Dry Bulk,Agricultural Products,Oil Seeds,Certified organic
12,12,1921887.54,338,Organic Canola,ORGANIC CANOLA|CANOLA SEED,Dry Bulk,Agricultural Products,Oil Seeds,Certified organic/NOP
12,12,1921887.54,338,Mustard Seed,MUSTARD SEED|ORIENTAL MUSTARD,Dry Bulk,Agricultural Products,Oil Seeds,Canadian #1 common
12,12,1921887.54,338,Rye,RYE|GERMAN RYE,Dry Bulk,Agricultural Products,Grains,Not currently classified
13,68,1901246.99,259,Marble,MARBLE,Dry Bulk,Minerals,Stone Products,Dimension stone
13,68,1901246.99,259,Rock Wool Insulation,ROCK WOOL|ROCKWOOL|INSULATION,Dry Bulk,Minerals,Insulation Products,Mineral wool
13,68,1901246.99,259,Cement Products,CEMENT (HS68 only),Dry Bulk,Minerals,Cement Products,Various cement types
14,73,1894914.84,4555,Seamless Steel Pipe,SEAMLESS PIPE|SEAMLESS TUBE,Dry Bulk,Metals,Steel Products,Oil & gas industry
14,73,1894914.84,4555,Steel Pipe,STEEL PIPE (HS73),Dry Bulk,Metals,Steel Products,Construction/infrastructure
14,73,1894914.84,4555,Steel Tubes,STEEL TUBE|TUBES,Dry Bulk,Metals,Steel Products,Various applications
14,73,1894914.84,4555,Structural Steel,I-BEAM|BEAM|POST|GALVANIZED STRUCTURE,Dry Bulk,Metals,Steel Products,Construction materials
14,73,1894914.84,4555,Fasteners,NUTS|BOLTS|SCREWS|WASHERS,Dry Bulk,Metals,Steel Products,Hardware components
15,25,1872325.41,588,Granite Blocks,GRANITE BLOCKS|ROUGH GRANITE,Dry Bulk,Minerals,Stone Products,Dimension stone
15,25,1872325.41,588,Portland Cement,PORTLAND CEMENT|CEMENT TYPE,Dry Bulk,Minerals,Cement,Construction material
15,25,1872325.41,588,Deadburned Magnesite,DEADBURNED MAGNESITE|MAGNESITE,Dry Bulk,Minerals,Industrial Minerals,Refractory material
15,25,1872325.41,588,Carbon Additive,CARBON ADDITIVE,Dry Bulk,Minerals,Industrial Minerals,Steel production additive
