Party_Name,Total_Tons,Record_Count
M T Chem Leo,340128.48,12
Tubos De Acero De Mexico S.A.,338608.6,1443
Innophos Fosfatados De Mexico,337927.96,43
Anshan Zizhu International Trading,336246.33,35
Shougang Hierro Peru S.A.A.,335966.92,6
Uniland International Bv,335549.0,11
Stelco Inc.,334000.0,12
Pt Intibenua Perkasatama,332723.81,221
Copersucar S.A.,332157.08,19
"Mitsui & Co., Ltd.",328513.09,685
Sia Kronospan Riga,328000.21,38
Eurochem Usolsky Potash Complex,325516.6,15
Akcansa Cimento San Tic. A.S. Tehc Trading Americas Llc,324288.0,10
"Dongbu Steel Co., Ltd.",324253.27,1880
Metsa Fibre Oy,323958.23,230
Gm Korea Comapny,323508.04,686
"Meglobal Eg Singapore Pte., Ltd.",322562.12,38
Surface Deployment And Distribution,316268.85,437
Bandegua S.A.,314488.93,1212
"Long Son Co., Ltd.",313463.0,7
Viterra Inc.,310861.07,71
Gardau Metaldom Sa,310846.88,33
Dangote Petroleum Refinery And,309561.42,14
Tronox Mineral Sands ( (Pty) ) Ltd.,308122.58,28
Sca Logistics Ab,306098.77,90
Pt Sumber Indah Perkasa,305173.84,243
Wilmar Nabati Indonesia,304971.85,211
Rio Tinto Fer Et Titane Inc.,304419.9,38
Pcs Nitrogen Trinidad Ltd.,303503.91,44
Leed Salt Damietta Port Main,299200.0,6
Metsa Board Corp,298455.23,67
Sociedad Punta Delobos Sa,297050.0,6
Akcansa Cimento Sanayi T.A.S.,296169.51,18
Vida Wood Ab,294350.15,42
Eni Mexico S. De R.L. De C.V.,293598.87,8
Jfe Shoji Corp.,292739.74,9
Green Energy International Ltd.,289488.4,11
"Hyundai Oilbank Co., Ltd.",287331.81,23
Rio Tinto Alcan Inc.,283214.74,72
Sg Comercio Exterior Sa,279194.0,6
Corporacion Nacional Del Cobre De Chile,278889.18,501
"Husteel Co., Ltd.",278529.72,610
Dexter Construction Group,277894.44,7
Petroineos Trading Ltd.,275379.16000000003,10
Binderholz Oberrot Baruth Gmb H,275173.89,109
Shell Global Lng Ltd.,275133.82,14
Ncl (Bahamas Ltd.),271302.43,7380
Hydro Aluminium As,270520.86,101
Elk Valley Resources,270000.0,10
Grey Rock Gathering & Marketing Ll,269473.18,14
Europstone Ras Spain S.L.,268394.42,6
Eneos Corp.,267184.08,41
Imperial Oil Co.,267170.5,138
Carbon Mexicano S A De C V,264000.0,10
Mexichem Fluor S.A. De C.V.,262484.15,57
Nite Oil Ltd.,262416.96,3
Nnpc,261836.76,6
Gimpex Ltd.,259418.0,12
Nuh Cimento Sanayi Anonim Sirketi,258574.5,11
"Dongkuk Coated Metal Co., Ltd.",255611.25,1634
Sirius House,255133.44,2
Jidong Development Group,253705.0,5
"Nexteel Co., Ltd.",252466.31,713
Amreyah Cement Co.,251812.2,24
Hoa Sen Group,251538.75,679
Envalior Nv,247001.26,18
Wanhua Chemical Singapore Pte,246549.81,83
Nitrogen 2000 Unlimited,246401.16,25
Fertcom Llc Fz,244430.81,11
3 R Potiguar Sa,240137.22,4
Nnpc Exploration And Production,239660.0,4
Global Prime Brasil Com. Exportador,238671.86000000002,427
"Aramco Trading Singapore Pte., Ltd.",238414.71,22
Bapco Refining Bsc,236321.82,52
"Voestalpine Tubulars Gmb H & Co., Kg",235927.03,668
Thyssenkrupp Steel Europe Ag,235736.0,2081
Vista Energy Argentina Sau,235643.37,7
Daimler Ag Werk 011,234151.46,199
"Lydford Mining Co., Ltd.",233713.72,8
Salinor Salinas Do Nordeste S.A.,231740.0,6
Kuwait Petrolium Corp.,229898.0,4
Ton Dong A Corp.,227999.28,1127
"Varshini Exim Pvt., Ltd.",227252.0,7
Tronox Mineral Sands (Pty) ) Ltd.,226575.48,16
Parkland Corp.,225527.69,6
Nordic Bulk Co. A S,225500.0,5
H.J. Baker Sulphur Canada Ulc,222785.0,5
Pt Sari Dumai Sejati,222750.38,130
Pt Ivo Mas Tunggal,222245.12,153
Shanghai Chongming Minerals Lao,221598.0,6
Hartree Partners Lp,221371.68,18
Wilmar Trading (Australia) (Pty) ) Ltd.,220455.91,35
Repsol Petroleo,219642.75,9
C.I. Banacol S.A.,219313.53,176
Uam Logistics & Trad Llc,218551.76,4
Jordan Phosphate Mines Co. Plc,218450.0,6
Aluar Aluminio Argentino S.A.I.C.,218055.84,218
Garnet International Resources (Pty) ),217900.0,5
Pt . Pacrim Nusantara Lestari Foods,217292.02,140
Adm Agri Industries Co.,215957.87,21
"Long Son Industrials Co., Ltd.",214192.0,9
Energy Eg Co.,210180.56,12
Alcoa Ltd.,209763.0,18
Zhejiang Petroleum And Chemical Co.,209631.28,8
"Long Son Co., Ltd. Thanh Hoa Branch",209624.0,4
Perenco Guatemala Ltd.,209493.2,5
Kofert,209366.01,11
James Richardson International Ltd.,208800.0,9
Carrera 7,208706.32,3
Sumas Shale Ltd.,208240.0,22
Caribbean Nitrogen Company,207556.35,23
Teck Coal Ltd.,206000.0,10
Audi Mexico S.A. De C.V.,205632.5,224
"K.Granites Pvt., Ltd.",204600.0,22
Pt Sinar Mas Agro Resources An,203459.09,188
Suzano S A,202942.4,46
Campa Iberia,202860.06,30
Eti Maden Isletmeleri Genel Mudurlugu,202753.52,54
Engie Energy Marketing Singapore,200966.05,6
Sasol Chemicals A Division Of Saso,200870.48,281
Bp Trinidad And Tobago,199912.19,7
Turkiye Petrol Rafinerileri A.S,199673.03999999998,8
P M I Comercio International S A,198205.2,3
Lkab Minerals Ab,197048.02000000002,14
Outokumpu Chrome Oy,196497.38,31
Eastern Steel Sdn Bhd,196126.95,5
Voestalpine Stahl Service Center Gmb H.,195688.92,622
Ilim Nordic Timber,194998.15,170
Petronas E&P Argentinas.A.,194510.87,4
"Brb Singapore Pte., Ltd.",193760.73,15
Royal El Minya Cement Co.,193574.64,30
Bayerische Motoren Werke Ag,193017.26,1444
Bppna,192769.48,2
Graincorp Commodity Management (Pty) ),191891.74,23
The Shell Petroleum Development,191569.0,5
Suda Stratejik Metal Dis Ticaret,191310.0,4
Adnoc Trading (Totalenergies),191244.0,4
Shell International Trad & Shipping Co.,188363.04,30
Addax Petroleum Cameroon,188164.94,2
Sinopec Qingdao Refining And,188062.85,5
3 R Portiguar S.A.,187239.0,11
"Yieh Phui Enterprise Co., Ltd.",186854.1,1430
Sorfert Algerie Sp A,186151.0,7
Arcelor Mittal Brasil S.A.,185364.14,279
Imerys Industrial Minerals Greece,184200.0,21
Kazakstan Pipeline Ventures Llc,181798.0,3
Prayon S.A.,180886.88999999998,35
Shoreline Natural Resources Ltd.,180866.0,2
Nam Kim Steel Jsc,180842.08,569
Komatsu Ltd.,180157.19,4959
Indorama Eleme Fertilizer,180047.38,6
Subarucorporation,179112.5,139
Best Commodity Trade,178848.0,17
Blue Scope Steel (Ais) (Pty) Ltd.,177755.69,41
Akcansa Cimento San Tic As,177150.0,5
"Uti Worldwide (Singapore) Pte., Ltd.",176554.14,10
Phillips 66 Ltd.,175860.0,6
Idemitsu International (Asia) Pte,175821.46,28
First Exploration And Petroluem,174402.28000000003,4
Royal Caribbean Cruise,174081.48,13146
Siderca S.A.I.C.,173490.49,228
Boliden Harjavalta Oy,171049.43,13
Enap Refinerias S.A. (Ersa),171047.45,14
Vissai Ninh Binh Joint Stock Plot C7 Gian Khau Industries Zone Gia Vien District,170340.0,6
Petrogal Brasil S.A.,170299.37,3
M T Chem Cobalt,170003.9,8
Hengyi Industries Sdn Bhd,169018.0,11
Karoon Petroleo & Gas Ltda,168864.66999999998,3
Ionic Aspis,168662.0,2
Atlantic Lng Co. Of Trinidad,167538.0,4
"Neste Singapore Pte., Ltd.",167363.06,16
Granite Infrastructure Canada,167200.0,27
Aker Bp Asa,166656.0,4
El Sharika El Djazairia El Omania,165747.9,8
Metal One Corp.,165515.55,368
Jcb Sales Ltd.,164928.09,746
Sohar International Urea & Chemical,164577.0,3
Imerys Rio Capim Caulim S.A,164299.0,16
Ton Yi Industries Corp.,161781.18,458
Cenovus,161568.96000000002,4
Broychim Sarl,160201.0,5
Dalmine S.P.A.,159833.58,300
Chevrn Argentina Srl,159466.35,5
Dangote Refinery And Petrochemicals,158388.0,6
Eurochem Usolsky Potash Complex Usolsky Site Building 15,156901.0,5
Compania Espanola,156410.28,9
Cliffs,155902.0,6
Pt . Dexin Steel Indonesia Gedung,154965.4,3
"Paria Fuel Trading Co., Ltd.",154696.6,2
Parrish & Heimbecker Ltd.,154227.92,21
Buzzi Unicem Sp A,154002.91999999998,4
Promet Steel Jsc Bulgaria,153547.88,25
Oxbow Brasil Energia Industria E,153534.42,13
Oeste,153010.0,2
Frontera Energy Comombia Corp.,152472.0,4
Jsc Azot,152392.25,10
Luossavaara Kiirunavaara Ab,152260.0,2
China International United,151907.06,16
"Ore And Metal Co., Ltd.",151611.94,17
Richards Bay Titanium (Pty) ) Ltd.,151583.0,16
Perenco Guatemala Ltd. Crd,151492.6,2
Mitsui Chemicals Inc.,151295.24,16
"Okaya And Co., Ltd.",150516.68,158
"Green Esteel Enterprise Pte., Ltd.",150354.0,4
Zhejiang Petroleum And Chemical,150298.69,7
Tosyali Iron Steel Industry Algeria,150270.0,20
Cleopatra Industries For Building,149699.88,32
China Aviation Oil (Singapore) Corp.,148536.4,8
Azule Energy Angola Sp A .,148235.8,6
Sonmez Cemento Yapi Ve,147676.0,3
Telf Ag,147162.9,260
Deme Offshore Nl Bv,145047.87,57
Cnpc International Ltd. (Hk),144668.0,4
Goltas Goller Bolgesi Cimento,144499.59,13
Anpg,143887.2,1
Totalenergies E&P Angola A C Anpg,143743.01,1
Minera Escondida Ltda,143486.08,103
Vs Petroleum Dmcc,142992.9,3
Schwaiger Holzindustrie Gmb H,142569.19,94
Corporacion De Desarrollo Agricola,142445.97,543
Comilog,142335.0,14
Hess International Sales Llc,141850.0,2
Amaggi Exportacao E Importacao Ltda,141106.84,12
Petrorio Luxembourg Holding Sari,140949.28,1
The Government Of The Cooperative,140564.0,2
Canpotex Ltd.,140389.0,20
Cnoc Petroleum Guyana Ltd.,140311.5,1
Petronas Petroleo Brasil Ltda,140308.0,2
Tengizchevroil Llp,140169.36,4
Viterra Bv,140164.83,47
Parkland Refining (B.C.) Ltd.,140086.44,43
"Prosperity Tieh Enterprise Co., Ltd.",139956.78,580
Nobian Industries Chemicals B.V.,139775.34,13
North Coast Commodities Ltd.,139450.0,3
"Saic Gm Dong Yue Motors Co., Ltd.",139294.63,90
Noc,138978.4,1
Transportadora De Gas Del Sur Sa,138037.0,32
Ata Timber Ab,137869.72,20
Ineos Tyssedal As,137738.36,9
Adocim Cimento Beton San.Ve Tic.A.S,135650.0,3
Aurubis Beerse,134688.0,3
Coast Mountain Resources,134500.0,22
China National United Oil Corp.,133515.34,5
Natixis Paris,133503.12,2
Shinsho Corporation,133371.79,1574
Newcross Exploration,132341.0,2
Newcross Exploration And Production,131108.4,2
Totsaenergies Ep Nigeria Ltd.,130266.0,2
Bp Europa Se,129193.93,6
Cepsa,128499.0,8
Capex Sa,128492.88,6
Nnpc Suppliers To Bono Energy,128289.0,4
Repsol Sinopec Brasil Sa,127715.0,1
Amag Metal Gmb H,126934.56,132
"Yongan Qisheng Minerals Co., Ltd.",126720.0,4
Xfert Dmcc,126381.92,7
"Tianjin Honor Green Energy Co., Ltd.",125862.42,43
Count Energy Trading Sa,124481.87,30
Kenmare Moma Processing (Mauritius),124465.06,4
Nnpc Suppliers To Oando Plc,124442.0,2
Fibrant Bv,124249.14,7
Ioi Global Services Sdn Bhd,123773.19,59
Lotte Chemical Corp.,123642.22,33
Tullow Ghana Ltd.,123061.0,2
Bb Energy Gulf Dmcc,121828.36,4
Amarus International Pte,121715.64,48
Consorcio Azucarero De Empresas,121666.0,15
Seah Steel Vina Corp.,121418.34999999999,174
Saudi Aramco Products,121285.0,5
Crc Rota Sanayi Ve Dis Tic Ltd. Sti.,121236.68,8
Lava Mining & Quarrying Co.,121100.0,6
Qit Madagascar Minerals Sa,121011.18000000001,6
Sinopec Zhenhai Refining,119969.24,3
Transmountain Westridge Marine,119432.0,3
Raffineria Di Milazzo Scpa,119376.4,7
Totalenergies E&P Nigeria Ltd.,119373.0,2
Bosai Minerals Group (Guyana) Inc.,118732.08,25
Petroleos Del Norte Sa,118464.5,6
"Sk Geo Centric Co., Ltd.",118426.94,29
Bmw De Mexico S.A. De C.V.,118149.46,236
Atlantic Copper S.L.U.,118034.76000000001,8
Sociedad Contractual Minera El Abra,117943.59,156
Wilmar Edible Oils Philippines Inc.,117744.69,40
Setra Travaror Ab,117589.08,20
Richmond Steel Recycling Ltd.,117534.0,24
China Steel Corporation,117494.62000000001,225
Bp Europa Se Bp Nederland,116945.72,4
Ypf S.A. Cuit 30 54668997 9,116228.73999999999,16
Sucden Do Brasil Ltda,116208.62,12
Gs Global Corp.,115917.48,118
Boliden Mineral Ab Jarnagsleden,115860.0,6
Groupe Chimique Tunisien,115508.0,5
Constructora Meco,115372.45000000001,3
"South32 Marketing Pte., Ltd.",115269.77,108
Var Energi Asa,115212.72,3
Usinas Siderurgicas De Minas Gerais,115180.04,164
Emirates Steel Industries,113975.01,78
Atlas Meth Co Un Ltd. Boo Meth Trin M,113586.12,28
Marubeni Itochu Steel Inc.,113229.38,493
China Steel Nippon Steel Vn Joint,111757.61,317
Tecnimont Sp A,111287.6,16
Shell Internatinal Trading Middle,110845.8,2
Steel International Trading Co.,110160.02,36
Richardson International Ltd.,109902.65,7
Inter Ontario Equipment Rental,109868.91,10
Volkswagen De Mexico S.A. De C.V.,109616.98,250
Davao Bay Coconut Oil Mills Inc.,109490.06999999999,80
Sibelco Nordic As,109025.72,16
Comabar Sa,108430.0,5
Maruichi Sun Steel Jsc,108263.79,362
Pcs Sales (Canada) Inc.,108000.0,9
Bracell Sp Celulose Ltda,107636.0,42
Shell International,107217.26,2
Liga Agricola Industries De La Cana,107094.23,9
Woodside Energy Ltd.B.V.,107084.09,2
Globe Coco Products Mfg.,106005.14,12
Shanghai Chongming Minerals,105906.72,2
Petro Rio Jaguar Petroleo Ltda,105668.6,2
Saudi Aramco Toatl Refining And,104960.68,7
Bw Energy Gabon Sa,104449.24,3
Vallourec Deutschland Gmb H,104307.14,4
Adnoc Onshore (Totalenergies),104264.0,4
Oando Oil Ltd.,103944.0,2
Compania Inversora Industrial Sa,103104.22,13
Cty Tnhh Cong Nghiep Long Son,102800.0,2
Uam Logistics &Trading Llc,102630.0,2
Ril,102582.0,8
Eew Special Pipe Constructions Gmb H,102548.59,15
"C&D Logistics (Shanghai) Co., Ltd.",102120.41,20
Woodside Energy Trinidad C2 Ltd.,101506.88,2
Ep Petroecuador Alpallana,101357.26,2
Incitec Pivot Fertilisers,101148.0,3
Martell & Co.,100568.72,25
Petrocoque Sa Industria E Comercio,100137.45999999999,4
Pt Kreasijaya Adhikarya,99847.27,50
3 R Portiguar Sa,99690.0,2
"Hoa Phat Steel Co., Ltd.",99182.47,137
Hitachi Construction Machinery,99176.89,415
Exportadora De Sal S.A. De C.V. Mor,99100.0,2
Imerys Rio Capim Cauli,98767.0,9
Atlantic Copper Sa,98666.64,5
"Insun Sg Pte., Ltd.",98522.0,2
Societe Nationale Pour La Recherche,98344.0,2
Grey Rock Gathering And,98070.12,2
K+S Kali Gmb H,97471.07,18
Vallourec Solucoes Tubulares Do,96541.31,855
Mannesmann Line Pipe Gmb H,96384.53,313
Fasa Comercial Exportadora Ltda,95997.18,28
Antan Producing Ltd. To Unicorp,95944.0,2
Mauser Usa Llc,95628.5,1
Angola Lng Ltd.,94660.9,9
"Hyundai Glovis Co., Ltd.",94657.31,505
Ashdod Refinery Ltd.,94516.76,6
Xiaoxian Kangdeli Grease Tech,94132.32,24
West Coast Reduction Ltd.,93841.20999999999,18
"Rio Tinto Marketing Pte., Ltd.",92987.0,2
Brasil Seasalt Co. Ltda,92580.0,3
"China International United Petroleum & Chemicals Co., Ltd.",92469.84,10
Galaxy Oil Fz Llc Gold Crest Tower,92312.0,4
Diatom Mineracao Ltda,92258.39,9
Monte Rosa,92105.42,12
Nissan Mexicana S.A. De C.V.,91563.81,1570
Arcelor Mittal Bremen Gmb H,91362.22,574
Mibau Stema Norge As,91082.0,2
Holzindustrie Stallinger Gmb H,90508.38,76
Oriental Energy Resources Ltd.,90473.02,3
Motor Oil (Hellas) Corinth Refineries S.A.,90273.6,8
Comet Trading Sa,90261.0,12
Glencore Ltd. 330 Madison Avenue N,90128.14,3
M T Chem Argon,90090.0,5
Stora Enso Ab,90007.65,279
Eiffage Insfraestructuras S.A.U.,90000.0,2
Sumec Technology And Equipment Co.,89708.18,31
South African Sugar Association,89642.0,8
Borsodchem Zrt,88614.86,35
Satorp,88589.44,4
"Volvo Group Korea Co., Ltd.",88537.2,2733
Avg Siderurgia Ltda,88519.0,23
Gps Chemoil Llc Fzc,88462.0,2
Tubos Reunidos S.A.,88187.63,619
Reliance International Ltd.,87903.1,6
Sohar Steel Llc,87811.3,16
Refinaria De Manaus S.A.,86934.38,3
"Karamtara Engineering Pvt., Ltd.",86817.5,96
Tupras Trading Ltd.,86713.0,3
Ante Gmb H & Co. Kg,86629.06,71
Gerdau Acominas S.A.,86232.93,14
Penny Newman Grain Co.,85374.0,4
Fasa Commercial Exportadora Ltda,84980.0,20
Count Energy Trading S.A.,84929.77,13
Nigerian Petroleum Corp.,84628.08,1
Kobelco Constr Machinery,84564.42,517
"Shin Yang Steel Co., Ltd.",84165.27,118
"Nissan Motor Co., Ltd.",83780.93,402
Societe De Sel De Mohammedia (Ssm) 5 Avenue Moulay Hassan Rabat Maroc,83668.0,2
Unisea Shipping,83219.0,1
Cenovus Energy Inc.,82823.0,1
Hanwha Solutions Corp.,82803.09,23
Oxbow Energy Solutions Bv,82679.97,5
Traxys Europe Sa,82584.76,8
Raizen Centro Sul Sa,82549.1,11
Usinas Siderurgicas De Minas Gerais S.A.,82520.94,260
Ste Tuniso Andalouse De Cement,82146.0,13
Digital Ingenierie Sarl,82058.82,2
Tronox Mineral Sands (Pty) ) ) Ltd.,82020.42,4
Sinopec Zhenhai Refining & Chemical,81911.64,2
Sarl Macore,81500.0,2
Alcoa World Alumina Brazil Particip,81479.0,5
Vista Energy Sau,81255.0,3
Clearlake Shipping,80648.0,7
"Dansuk Industries Co., Ltd.",80524.73,23
Nyrstar Sales & Mkting,80400.72,8
Ferguminas Siderurgia Ltda,80274.0,8
Progan Eu Bv,80264.03,13
Nec Corporation,80030.37999999999,22
Petroleum Coke Industries Co.,80000.0,4
Atlas Methanol Co Un Ltd.,79972.11,24
General Mills Corp. Ltd.,79916.0,12
Azucarera La Grecia S.A. De C.V.,79880.4,11
Industrial Azucarera San Cristobal,79784.0,5
Ruwais Fertilizer Industries,79608.16,2
Vibra Trading Bv,79056.0,4
Cpc Corp. Taiwan,79023.41,19
Ab Lifosa Juodkiskio 50,79006.9,3
Gulf Petrol Supplies Llc,78351.76,2
Ep Petroecuador Alpallana Y Av. 6 D,78207.82,1
Diasub Fze,77339.76,23
Fuerza Tarea Conjunta Bravo,77109.0,1
Hoa Phat Dung Quat Steel Jsc,76731.79,21
Louis Dreyfus Co. Brasil S A.,76669.91,4
Refineria La Pampilla Saa,76642.97,3
Peute Baustoff Gmb H,76172.94,2
Goiasa Goiatuba Alcool Ltda.,76131.3,8
"Dongkuk Industries Co., Ltd.",75724.72,14
Agroindustrial Pinas Del Bosque Sa,75533.4,98
Ilim Timber Bavaria Gmb H,75489.77,148
Ecofuel Trading Sa,75348.0,2
Preem Ab,75092.82,3
Petro Canada Lubricants Inc.,75018.45999999999,15
Ypf S.A.,74802.76,51
Samsung C And T Corp.,74656.58,173
Bb Energy Usa Llc,74532.0,4
Saras Sp A,74327.51999999999,2
Saras Saras Trading Sa,73968.84,2
Marathon Oil Co.,73868.0,2
Audi Ag,73331.92,347
Pmi,73270.81,1
Utc Overseas Gmb H,73208.68,3
Mangalore Refinery And,73179.76,2
Ocp S.A.,73037.0,6
Pluspetrol Sa,72939.0,3
Jsc Mineral & Chem,72702.2,7
Bp Latin America Llc Sucursal Co.,72638.38,2
Carnival Cruise Lines,72584.8,14929
Perenco Petroleo E Gas Braiil Ltda,72534.24,1
Arcelor Mittal Mining Canada,72389.0,1
British Steel Ltd.,72169.31999999999,226
Belize Sugar Industries Ltd.,72039.85,11
Guyana Industrial Minerals Inc.,72016.65,13
Merichem Co.,71964.64,33
Glencore Uk Ltd.,71936.9,4
Jsc Azot 10 Svyazi St.,71800.0,5
Minera Spence S.A.,71700.1,75
Eni Sp A Raffineria Di Livorno,71631.76000000001,5
Nobian Industrial Chemicals Bv,71547.54,18
Kuwait National Petroleum Co.,71526.0,2
Mocoh Sa,70913.3,2
Guararapes Paineis S.A.,70818.94,436
Volkswagen Ag,70393.65,432
Stena Metal International Ab,70204.0,4
Scan Global Logistics,70006.0,8
Seat Sa,69821.25,85
Southern Peru Copper Corp.,69653.77,162
Cnooc Petroleum Guyana Ltd.,69329.38,2
Macquaire Energy Canada Ltd.,69307.96,2
Bp Energia Espana S.A.U,69286.26999999999,4
Siderca Saic,69263.45,58
Iplom Sp A,69167.8,5
Caribbean Gas Chemical Ltd.,68586.5,12
Petroperu Sa,68365.56,4
Viterra Polska Sp.Z.O.O.,68213.93000000001,2
Kronospan Trading Srl,68139.8,9
Queensland Sugar Ltd.,68000.0,2
Mexpol S.A.,67500.0,6
Colakoglu Metalurji A.S.,67216.98,10
Petroleos Del Norte S.A.,67098.0,2
Hyundai Oilbank Co.; Ltd.,67017.6,2
Tay Nam Steel,66563.41,165
Cargill Salt B.V.,66246.44,3
Aradel Energy Ltd.,66140.0,2
Mondry Sp. Z O.O.,66003.97,8
