Rule_ID,Phase,Tier,Priority,HS2,HS4,HS6,Keywords,Exclude_Keywords,Pckg,Group,Commodity,Cargo,Cargo_Detail,Lock_Group,Lock_Commodity,Lock_Cargo,Lock_Cargo_Detail,Estimated_Tonnage,Note
CHEM-GLYCOL,7,3,1,29,2905,,"GLYCOL, ETHYLENE GLYCOL, MEG, DEG",,,Liquid Bulk,Chemicals,Organic Chemicals,Glycols,TRUE,TRUE,FALSE,FALSE,2000000,Antifreeze and polyester precursor
MACHINERY-EXCAVATOR,7,3,2,84,8429,,"EXCAVATOR, BULLDOZER, LOADER, BACKHOE",,,Dry Bulk,General Cargo,Project Cargo,Heavy Construction Equipment,TRUE,TRUE,FALSE,FALSE,3000000,Heavy earthmoving machinery
MACHINERY-CATERPILLAR,7,3,2,84,8429,,"CATERPILLAR, CAT ",,,Dry Bulk,General Cargo,Project Cargo,Heavy Construction Equipment,TRUE,TRUE,FALSE,FALSE,2000000,Caterpillar brand equipment
MACHINERY-HANDLING,7,3,2,84,8428,,"CARGO HANDLING, MATERIAL HANDLER, CRANE",,,Dry Bulk,General Cargo,Project Cargo,Cargo Handling Equipment,TRUE,TRUE,FALSE,FALSE,1500000,Port and terminal equipment
ORE-SLAG,7,3,3,26,2619,,"SLAG, BLAST FURNACE SLAG",,BLK,Dry Bulk,Industrial Minerals,Slag,Blast Furnace Slag,TRUE,TRUE,TRUE,FALSE,2000000,Steel production byproduct
ORE-CHROMITE,7,3,3,26,2610,,CHROMITE,,BLK,Dry Bulk,Industrial Minerals,Ores,Chromite Ore,TRUE,TRUE,FALSE,FALSE,1000000,Chromium ore
ORE-BAUXITE,7,3,3,26,2606,,BAUXITE,,BLK,Dry Bulk,Industrial Minerals,Ores,Bauxite,TRUE,TRUE,TRUE,FALSE,1000000,Aluminum ore
FEED-SOYBEAN-MEAL,7,3,3,23,2304,,"SOYBEAN MEAL, SOY MEAL",,BLK,Dry Bulk,Agricultural Products,Animal Feed,Soybean Meal,TRUE,TRUE,FALSE,FALSE,2000000,Livestock feed from soybeans
FEED-SUNFLOWER-MEAL,7,3,3,23,2306,,"SUNFLOWER MEAL, SUNFLOWER PELLET",,BLK,Dry Bulk,Agricultural Products,Animal Feed,Sunflower Meal,TRUE,TRUE,FALSE,FALSE,500000,Livestock feed from sunflowers
FERT-CALCIUM-NITRATE,7,3,3,31,3102,,"CALCIUM NITRATE, CAN",,BLK,Dry Bulk,Agricultural Products,Fertilizers,Calcium Nitrate,TRUE,TRUE,FALSE,FALSE,1500000,Nitrogen fertilizer
FERT-POTASSIUM,7,3,3,31,3104,,"POTASSIUM, POTASH, K2O, KALISOP",,BLK,Dry Bulk,Agricultural Products,Fertilizers,Potassium Fertilizer,TRUE,TRUE,FALSE,FALSE,800000,Potassium-based fertilizers
FERT-PHOSPHATE,7,3,3,31,3103,,"TRIPLE, GTSP, PHOSPHATE",,BLK,Dry Bulk,Agricultural Products,Fertilizers,Phosphate Fertilizer,TRUE,TRUE,FALSE,FALSE,500000,Phosphorus fertilizers
CHEM-FATTY-ACID,7,3,3,38,3823,,"FATTY ACID, STEARIC ACID",,LBK,Liquid Bulk,Chemicals,Fatty Acids,Fatty Acids,TRUE,TRUE,TRUE,FALSE,1200000,Industrial fatty acids for soap/detergent
CHEM-GRAPHITE,7,3,3,38,3801,,GRAPHITE,,BLK,Dry Bulk,Industrial Minerals,Graphite,Artificial Graphite,TRUE,TRUE,TRUE,FALSE,800000,Carbon electrodes and lubricants
CHEM-SILICON-CARBIDE,7,3,3,28,2849,,"SILICON CARBIDE, SIC",,BLK,Dry Bulk,Industrial Minerals,Silicon Carbide,Silicon Carbide,TRUE,TRUE,TRUE,FALSE,1000000,Abrasive and refractory material
CHEM-SULFATE-MN,7,3,3,28,2833,,"MANGANESE SULPHATE, MANGANESE SULFATE",,BLK,Dry Bulk,Chemicals,Inorganic Chemicals,Manganese Sulfate,TRUE,TRUE,FALSE,FALSE,500000,Fertilizer and feed additive
CHEM-SULFATE-ZN,7,3,3,28,2833,,"ZINC SULPHATE, ZINC SULFATE",,BLK,Dry Bulk,Chemicals,Inorganic Chemicals,Zinc Sulfate,TRUE,TRUE,FALSE,FALSE,300000,Fertilizer and animal nutrition
CHEM-SULFATE-FE,7,3,3,28,2833,,"FERROUS SULFATE, FERROUS SULPHATE",,BLK,Dry Bulk,Chemicals,Inorganic Chemicals,Ferrous Sulfate,TRUE,TRUE,FALSE,FALSE,200000,Water treatment and fertilizer
