Source,Target,Relationship_Type,Shipments,Tons
Bromine Compounds Ltd.,"DJ POWERS COMPANY INC.
5000 PARKWAY BUSINESS CENTRE DR., STE. 1000, SAVANNAHGA 31405",Shipper→NotifyParty,4,22045.57
Bp Energia Espana S.A.U,"ALCOA CARBON PRODUCTS
REYNOLDS METALS COMPANY LLC, 4040 W TAK FARM RD, LAKE CHARLES, LA 70605",Shipper→NotifyParty,1,22036.1
Monte Rosa,"CARE OF ED AND F MAN LIQUID PRODUCT
LLC 365 CANAL STREET SUITE 2929 NEW, ORLEANS LA 70130",Shipper→NotifyParty,3,22026.04
Emirates Steel Industries,Societe General Ny,Shipper→Consignee,20,22012.98
Bunge Lipid Enzymtec Sdn Bhd,Bunge Loders Croklaan,Shipper→Consignee,38,22012.14
Heritage Petroleum,Paulsboro Refining,Shipper→NotifyParty,1,22009.9
Ed & F Man Liquid Products Mexico,"RED STAR/LESAFFRE YEAST CORPORATION
365 CANAL STREET, SUITE 2929, NEW ORLEANS LA70130 US",Shipper→NotifyParty,2,22008.0
Red Star Yeast Lesaffre Yeast,"RED STAR/LESAFFRE YEAST CORPORATION
365 CANAL STREET, SUITE 2929, NEW ORLEANS LA70130 US",Consignee→NotifyParty,2,22008.0
Ed & F Man Liquid Products Mexico,Red Star Yeast Lesaffre Yeast,Shipper→Consignee,2,22008.0
Marubeni Itochu Steel Inc.,Marubeni Itochu Steel Mexico Sa De,Shipper→Consignee,57,22005.370000000003
George E Warren Corp,Societe Generale,Shipper→Consignee,5,22004.68
Martin Operating Partnership,"MARTIN OPERATING PARTNERSHIP
1 GULF STATES ROAD BEAUMONT TEXAS, 77704 USA",Consignee→NotifyParty,1,22001.85
Boliden Harjavalta Oy,"MARTIN OPERATING PARTNERSHIP
1 GULF STATES ROAD BEAUMONT TEXAS, 77704 USA",Shipper→NotifyParty,1,22001.85
Separation Technologies Llc,"SEPARATION TECHNOLOGIES LLC
455 FAIRWAY DR, SUTIE 200, DEERFIELD BEACH, FLORIDA 33441",Consignee→NotifyParty,1,22000.6
Medcem Global,"SEPARATION TECHNOLOGIES LLC
455 FAIRWAY DR, SUTIE 200, DEERFIELD BEACH, FLORIDA 33441",Shipper→NotifyParty,1,22000.6
Lafarge Thessalon,Lafarge North America,Shipper→Consignee,1,22000.0
Petroleum Supply Llc,"PETROLEUM SUPPLY LLC
PO BOX 366950, SAN JUAN, PR 00936",Consignee→NotifyParty,2,22000.0
Newcrest Red Chris Mining Ltd.,"SHANDONG HUMON SMELTING CO., LTD.
TEL: +86-0535-4631180-2238, USCC: 913700001653412924",Shipper→NotifyParty,2,22000.0
Yara Sluiskil B.V.,"YARA NORTH AMERICA INC
100 N TAMPA STREET  SUITE 3200, P.O. BOX 24926, TAMPAFL 33602, TE913-734-5624 CEL",Shipper→NotifyParty,2,22000.0
Newcrest Red Chris Mining Ltd.,"SHANDONG HUMON SMELTING CO., LTD.
TEL: +86-0535-4631180-2238, USCC: 913700001653412924",Consignee→NotifyParty,2,22000.0
Ecopetrol,"PETROLEUM SUPPLY LLC
PO BOX 366950, SAN JUAN, PR 00936",Shipper→NotifyParty,2,22000.0
Yara North America,"YARA NORTH AMERICA INC
100 N TAMPA STREET  SUITE 3200, P.O. BOX 24926, TAMPAFL 33602, TE913-734-5624 CEL",Consignee→NotifyParty,2,22000.0
Jsc Mineral & Chem,"EUROCHEM NORTH AMERICA CORP.
2502 N ROCKY POINT DR, SUITE 510, TAMPA FL 33607 US",Shipper→NotifyParty,2,22000.0
Newcrest Red Chris Mining Ltd.,Newcrest Red Chris Mining Ltd.,Shipper→Consignee,2,22000.0
Mondry Sp. Z O.O.,"PHIL PATTERSON INC
1011 ELLISON AVE, OMAHA, NE 68110",Shipper→NotifyParty,2,21999.97
Mondry Sp. Z O.O.,The Scoular Grain Inc.,Shipper→Consignee,2,21999.97
The Scoular Grain Inc.,"PHIL PATTERSON INC
1011 ELLISON AVE, OMAHA, NE 68110",Consignee→NotifyParty,2,21999.97
George E Warren Corp,"GEORGE E WARREN LLC
3001 OCEAN DRIVE SUITE 203 VERO, BEACH FL 32963 1953 UNITED STATES",Consignee→NotifyParty,1,21989.7
Aramco Traiding Ltd.,George E Warren Corp,Shipper→Consignee,1,21989.7
Aramco Traiding Ltd.,"GEORGE E WARREN LLC
3001 OCEAN DRIVE SUITE 203 VERO, BEACH FL 32963 1953 UNITED STATES",Shipper→NotifyParty,1,21989.7
Timbro Trading S A Rua Jose,American Sugar Refining,Shipper→Consignee,4,21976.98
Timbro Trading S A Rua Jose,"AMERICAN SUGAR REFINING INC.,
1N. CLEMATIS STREET,, WEST PALM BEACH,, FLORIDA 33401",Shipper→NotifyParty,4,21976.98
Speedcarrier No.3 Corp.,Modern American Recycling Services,Shipper→Consignee,1,21957.86
Tenaris Bay City,"AXIOM WORDWIDE LOGISTIX INC
545 PLAZA VERDE DR. SUITE 100, HOUSTON, TX 77038, 281-821-2929",Consignee→NotifyParty,1,21939.42
Dalmine S.P.A.,"AXIOM WORDWIDE LOGISTIX INC
545 PLAZA VERDE DR. SUITE 100, HOUSTON, TX 77038, 281-821-2929",Shipper→NotifyParty,1,21939.42
Mosaic Forest Management Corp.,Port Angeles Hardwoods Llc,Shipper→Consignee,21,21908.239999999998
Italkali Sp A,Scotwood Industries Inc.,Shipper→Consignee,3,21897.0
PMI Trading,"GUNVOR USA LLC
600 TRAVIS ST STE. 6500, HOUSTON, TX 77002",Consignee→NotifyParty,1,21884.0
PMI Trading,"GUNVOR USA LLC
600 TRAVIS ST STE. 6500, HOUSTON, TX 77002",Shipper→NotifyParty,1,21884.0
Gunvor Group,Puerto Rico Energy,Shipper→NotifyParty,5,21877.0
Gunvor Group,Puerto Rico Energy,Shipper→Consignee,5,21877.0
Scotwood Industries Inc.,"NEW ENGLAND STEAMSHIP AGENTS INC
730 DOWNING STREET NISKA YUNA NY, 12309 USA",Consignee→NotifyParty,2,21875.0
Italkali Sp A,"NEW ENGLAND STEAMSHIP AGENTS INC
730 DOWNING STREET NISKA YUNA NY, 12309 USA",Shipper→NotifyParty,2,21875.0
Norske Skog Saugbrugs As,"GEODIS USA INC
THE NAVY YARD, 5101 S BOARD ST, PHILADELPHIA, PA 19112, 267 570-2773",Shipper→NotifyParty,11,21871.97
Norske Skog Saugbrugs As,Norcell Inc.,Shipper→Consignee,11,21871.97
"Wanhua Chemical (America) Co., Ltd.","WANHUA CHEMICAL AMERICA CO LTD
3803 WEST CHESTER PIKE SUITE 240, NEWTOWM SQUARE PA 19073",Consignee→NotifyParty,6,21843.32
Wanhua Chemical Singapore Pte,"WANHUA CHEMICAL AMERICA CO LTD
3803 WEST CHESTER PIKE SUITE 240, NEWTOWM SQUARE PA 19073",Shipper→NotifyParty,6,21843.32
Sultan Cement Llc,"SULTAN CEMENT LLC
12225 STEPHENS RD., WARREN, MI 48089",Consignee→NotifyParty,1,21834.0
National Co. For Cement,Sultan Cement Llc,Shipper→Consignee,1,21834.0
National Co. For Cement,"SULTAN CEMENT LLC
12225 STEPHENS RD., WARREN, MI 48089",Shipper→NotifyParty,1,21834.0
Suncor Energy,Michigan Paving And Materials,Shipper→Consignee,6,21826.9
"Qingdao Jingyun Unite Trade Co., Ltd.",Valero,Shipper→NotifyParty,8,21822.23
Sia Kronospan Riga,"PORT OF BALTIMORE MD
2200 BROENING HWY BALTIMORE MD, 21224 UNITED STATES OF AMERICA",Shipper→NotifyParty,2,21813.190000000002
Azucarera La Grecia S.A. De C.V.,"CSC SUGAR LLC
33 RIVERSIDE AVE WESTPORT CT 06880",Shipper→NotifyParty,4,21807.35
Azucarera La Grecia S.A. De C.V.,Csc Sugar Llc,Shipper→Consignee,4,21807.35
Campa Iberia Sau,Biosphere Fuels Llc,Shipper→Consignee,4,21786.62
Graincorp Commodity Management (Pty) ),Marathon Petroleum,Shipper→Consignee,1,21786.46
Toyota Motor Sales,"TOYOTA MOTOR SALES, USA INC
6565 HEADQUARTERS DR., TAX ID:95-1958272 TEL:(469)292-2538, PLANO TX 75024 US, PLANO                TXUS",Consignee→NotifyParty,14,21784.9
Cemtech Global Muhendislik As,"CEMTECH USA LLC
133 N FRIENDS DR. NO 204, FRIENDSWOOD, TC 77549, T",Shipper→NotifyParty,1,21780.0
Cemtech Usa Llc,"CEMTECH USA LLC
133 N FRIENDS DR. NO 204, FRIENDSWOOD, TC 77549, T",Consignee→NotifyParty,1,21780.0
Yamazaki Mazak Trading Corp.,Mazak Corp.,Shipper→Consignee,1183,21764.83
Southern Ionics,"SOUTHERN IONICS INCORPORATED
P O DRAWER 1217 579 COMMERCE STREET, WEST POINT MS 39773 USA",Consignee→NotifyParty,1,21752.79
Alunorte Alumina Do Norte Do,"SOUTHERN IONICS INCORPORATED
P O DRAWER 1217 579 COMMERCE STREET, WEST POINT MS 39773 USA",Shipper→NotifyParty,1,21752.79
Vitol,BP,Consignee→NotifyParty,1,21752.0
Bondalti Chemicals S.A.,Specgx Llc,Shipper→Consignee,8,21738.0
Specgx Llc,"EXPEDITORS ST. LOUIS
610 LAMBERT POINTE DRIVE, HAZELWOOD, MO 63042, (314) 426-6606    KIM MEZERA",Consignee→NotifyParty,8,21738.0
Shell Na Lng Llc,"SHELL INTERNATIONAL TRADING MIDDLE
EAST LIMITTED FZE DUBAI PO BOX, 16968 UNITED ARAB EMIRATES",Shipper→NotifyParty,6,21702.6
Shell International Trading Middle,"SHELL INTERNATIONAL TRADING MIDDLE
EAST LIMITTED FZE DUBAI PO BOX, 16968 UNITED ARAB EMIRATES",Consignee→NotifyParty,6,21702.6
Shell Na Lng Llc,Shell International Trading Middle,Shipper→Consignee,6,21702.6
Someco America Corp.,"SUCDEN AMERICAS CORPORATION
701 BRICKELL AVENUE SUITE 1200, MIAMI FL 33131",Consignee→NotifyParty,9,21697.0
Posco,Cascadia Metals Inc.,Shipper→Consignee,12,21680.079999999998
Aramco Trading Fujairah,"SUNOCO LLC
3805 WEST CHESTER PIKE, NEWTON SQUARE, PA 19073",Consignee→NotifyParty,2,21675.0
Bpwood Ltd.,"JOHN M BRINING CO. INC
JOHN M BRINING CO. INC 202 CONGRESS, STREET MOBILE  AL  36603 USA PH  1, -251- 432- 9741 FAX  251- 432-",Consignee→NotifyParty,49,21653.73
Bpwood Ltd.,"JOHN M BRINING CO. INC
JOHN M BRINING CO. INC 202 CONGRESS, STREET MOBILE  AL  36603 USA PH  1, -251- 432- 9741 FAX  251- 432-",Shipper→NotifyParty,49,21653.73
Aramco Americas,"TO THE ORDER OF ARAMCO TRADING AMER
ONE ALLEN CENTER, 500 DALLAS ST 8TH FLOOR, HOUSTON, TX. 77002",Shipper→NotifyParty,1,21653.0
Aramco Americas,"TO THE ORDER OF ARAMCO TRADING AMER
ONE ALLEN CENTER, 500 DALLAS ST 8TH FLOOR, HOUSTON, TX. 77002",Consignee→NotifyParty,1,21653.0
Ecopetrol,Associated Asphalt Partners Llc,Shipper→Consignee,2,21644.0
ArcelorMittal,"GEODIS USA
8210 HUMBLE WESTFIELD RD  #100, HUMBLE  TX  77338 T:346-842-6500, HOUBROKERAGE.FF.US@GEODIS.COM",Shipper→NotifyParty,58,21639.04
ArcelorMittal,"GEODIS USA
8210 HUMBLE WESTFIELD RD  #100, HUMBLE  TX  77338 T:346-842-6500, HOUBROKERAGE.FF.US@GEODIS.COM",Consignee→NotifyParty,58,21639.04
Alunorte Alumina Do Norte Do,"USALCO BALTIMORE PLANT
2601 CANNERY AVE, BALTIMORE, MD 21226, PH: 419-707-7674",Shipper→NotifyParty,2,21630.120000000003
Usalco Baltimore Plant Llc,"USALCO BALTIMORE PLANT
2601 CANNERY AVE, BALTIMORE, MD 21226, PH: 419-707-7674",Consignee→NotifyParty,2,21630.120000000003
Trafigura,"ASSOCIATED ASPHALT PARTNERS
110 FRANKLIN ROAD 9TH FLOOR, ROANOKE VA24027 USOPS",Consignee→NotifyParty,2,21620.0
Ecopetrol,"ASSOCIATED ASPHALT PARTNERS
110 FRANKLIN ROAD 9TH FLOOR, ROANOKE VA24027 USOPS",Shipper→NotifyParty,2,21620.0
China Aviation Oil (Singapore) Corp.,"LAXFUEL
9900 LAXFUEL ROAD LOS ANGELES CA, 90045",Shipper→NotifyParty,2,21616.52
Siderca S.A.I.C.,Tenaris Bay City,Shipper→Consignee,6,21604.510000000002
Gs Caltex Corporation,BP,Shipper→Consignee,3,21601.56
Vineyard Wind 1 Llc,Vineyard Wind 1 Llc,Shipper→Consignee,9,21583.32
Posco,Kloeckner Metals Service Centers De,Shipper→Consignee,139,21567.69
Trafigura,"MARTIN PRODUCT SALES LLC
THREE RIVERWAY, SUITE 1250, HOUSTON TX77056 US",Consignee→NotifyParty,2,21562.0
Ecopetrol,"MARTIN PRODUCT SALES LLC
THREE RIVERWAY, SUITE 1250, HOUSTON TX77056 US",Shipper→NotifyParty,2,21562.0
Pata Sia,"VIDA WOOD US
219 PEDEEN ROAD SUITE 102 27577 231, SMITHFIELD THE UNITED STATES OF, AMERICA",Shipper→NotifyParty,3,21553.16
Vida Wood Us,"VIDA WOOD US
219 PEDEEN ROAD SUITE 102 27577 231, SMITHFIELD THE UNITED STATES OF, AMERICA",Consignee→NotifyParty,3,21553.16
Trafigura,"DEER PARK REFINING LP
5900 HIGHWAY 225, DEER PARK, TX 77536",Shipper→NotifyParty,2,21539.12
Expeditors St Louis Branch,"EXPEDITORS ST LOUIS
610 LAMBERT POINTE DRIVE HAZELWOOD, MO  63042",Consignee→NotifyParty,6,21535.600000000002
Bayer Agriculture Bvba,"EXPEDITORS ST LOUIS
610 LAMBERT POINTE DRIVE HAZELWOOD, MO  63042",Shipper→NotifyParty,6,21535.600000000002
Jsc Apatit,"ANTHONY GENARO DBA GULF CONTINENTAL
FORWARDING CO LICENSED CUSTOMS, BROKER AND FREIGHT FORWARDER 513, HUSEMAN LANE COVINGTON LA 70435",Shipper→NotifyParty,1,21531.75
Anthony Genaro Dba Gulf Continental,"ANTHONY GENARO DBA GULF CONTINENTAL
FORWARDING CO LICENSED CUSTOMS, BROKER AND FREIGHT FORWARDER 513, HUSEMAN LANE COVINGTON LA 70435",Consignee→NotifyParty,1,21531.75
Central Azucarero La Victoria S.A.,"AMERICAN SUGAR REFINING INC.,
1 N. CLEMATIS STREET,, WEST PLAM BEACH, FLORIDA 33401",Shipper→NotifyParty,2,21531.04
Central Azucarero La Victoria S.A.,American Sugar Refining,Shipper→Consignee,2,21531.04
Eramet,Eramet Marietta Inc.,Shipper→Consignee,18,21530.0
Gm Korea Comapny,"GMNA FINANCE-TAX STAFF
P.O.BOX 300, 300 RENAISSANCE CENTER, MC 482-C13-C96, DETROIT, MI 48265-, 3000 U.S.A. (ANGELA.COOK GM.COM,, DETROIT MI",Shipper→NotifyParty,71,21524.84
Usinas Siderurgicas De Minas Gerais,"ICF CUSTOMS SERVICE LLC
8709 KILLAM INDUSTRIAL BLVD LAREDO, TX 78045",Shipper→NotifyParty,9,21514.16
Ternium,"ICF CUSTOMS SERVICE LLC
8709 KILLAM INDUSTRIAL BLVD LAREDO, TX 78045",Consignee→NotifyParty,9,21514.16
Siderca Saic,"AXIOM WORLDWIDE LOGISTIX, INC.
545 PLAZA VERDE DR. SUITE 100, HOUSTON TX77038 US

;

TENARIS GLOBAL SERVICES USA
USA IMPORT DOCS, 2200 WEST LOOP SOUTH SUITE 800, HOUSTON TX77027 US",Shipper→NotifyParty,16,21509.25
Siderca Saic,"TENARIS GLOBAL SERVICES USA
USA IMPORT DOCS, 2200 WEST LOOP SOUTH SUITE 800, HOUSTON TX77027 US

;

AXIOM WORLDWIDE LOGISTIX, INC.
545 PLAZA VERDE DR. SUITE 100, HOUSTON TX77038 US",Shipper→NotifyParty,16,21509.25
Tenaris Global Services Usa,"TENARIS GLOBAL SERVICES USA
USA IMPORT DOCS, 2200 WEST LOOP SOUTH SUITE 800, HOUSTON TX77027 US

;

AXIOM WORLDWIDE LOGISTIX, INC.
545 PLAZA VERDE DR. SUITE 100, HOUSTON TX77038 US",Consignee→NotifyParty,16,21509.25
Associated Asphalt Distribution Llc,Associated Asphalt Distribution Llc,Shipper→Consignee,2,21493.0
Kobelco Construction Machinery Us.,"KOBELCO CONSTRUCTION MACHINERY U.S.
7820 W LITTLE YORK RD, HOUSTON, TEXAS 77040, U.S.A",Consignee→NotifyParty,144,21487.11
Ton Yi Industries Corp.,Societe General Ny,Shipper→Consignee,55,21482.14
Idemitsu International (Asia) Pte,Idemitsu Apollo,Shipper→NotifyParty,7,21472.0
Sumec Technology And Equipment Co.,Diamond Green Diesel Llc,Shipper→Consignee,6,21443.579999999998
Ilim Timber Bavaria Gmb H,Boscus Canada Inc.,Shipper→Consignee,29,21436.54
"Wanhua Chemical (America) Co., Ltd.","WANHUA CHEMICAL AMERICA CO LTD
3803 WEST CHESTER PIKE SUITE 240, NEWTOWN SQAURE PA",Consignee→NotifyParty,4,21426.34
Wanhua Chemical Singapore Pte,"WANHUA CHEMICAL AMERICA CO LTD
3803 WEST CHESTER PIKE SUITE 240, NEWTOWN SQAURE PA",Shipper→NotifyParty,4,21426.34
Kronos (Us) Inc.,"KRONOS LOUISIANA INC
3330 BAYOU D'INDE ROAD, WESTLAKELA 70669, US, TE337-990-4116",Consignee→NotifyParty,2,21404.0
Sierra Rutile Ltd.,Kronos (Us) Inc.,Shipper→Consignee,2,21404.0
Sierra Rutile Ltd.,"KRONOS LOUISIANA INC
3330 BAYOU D'INDE ROAD, WESTLAKELA 70669, US, TE337-990-4116",Shipper→NotifyParty,2,21404.0
Icl Specialty Products Inc.,"DJ POWERS COMPANY INC
5000 BUSINESS CENTER DRIVE, SUITE 1000, SAVANNAH, GA, US, 31405, TE912-234-724",Consignee→NotifyParty,3,21401.0
Icl Europe Cooperatief U.A.,"DJ POWERS COMPANY INC
5000 BUSINESS CENTER DRIVE, SUITE 1000, SAVANNAH, GA, US, 31405, TE912-234-724",Shipper→NotifyParty,3,21401.0
Trafigura,BP,Shipper→NotifyParty,2,21400.0
Trafigura,BP,Shipper→Consignee,2,21400.0
"Gmb Korea Industries Co., Ltd.","TRADE ZONE OPERATIONS INC C/O
FAPS INC, 371 CRANEWAY ST, PORT NEWARKNJ 07114, TEUS",Shipper→NotifyParty,100,21387.14
Mazda Canada,"MAZDA CANADA INC
55 VOGELL ROAD, RICHMOND HILL, ON - L4B 3K5 CANADA             CA, RICHMOND HILL            L4B 3K5",Consignee→NotifyParty,24,21379.84
Petrochina International (Canada),Hf Sinclair Refining & Marketing,Shipper→Consignee,1,21365.06
Hf Sinclair Refining & Marketing,"HF SINCLAIR REFINING & MARKETING
LLC, 8505 S. TEXAS ROAD, ROAD (PS REFINERY), ANACORTES, WA 98221",Consignee→NotifyParty,1,21365.06
Petrochina International (Canada),"HF SINCLAIR REFINING & MARKETING
LLC, 8505 S. TEXAS ROAD, ROAD (PS REFINERY), ANACORTES, WA 98221",Shipper→NotifyParty,1,21365.06
Totsa Totalenergies Trading Sa,Sony Puerto Rico Inc.,Shipper→Consignee,3,21360.0
Aramco Trading Singapo,Citgo,Consignee→NotifyParty,2,21358.0
S-Oil,Aramco Trading Singapo,Shipper→Consignee,2,21358.0
S-Oil,Citgo,Shipper→NotifyParty,2,21358.0
Gm Korea Comapny,"GMNA FINANCE-TAX STAFF
P.O.BOX 300, 300 RENAISSANCE CENTER, MC 482-C13-C96, DETROIT,, MI 48265-3000 U.S.A. (ANGELA.COOK, DETROIT MI",Shipper→NotifyParty,35,21346.12
Multifer Siderurgia Ltd.,Host Agency,Shipper→Consignee,4,21340.0
Azucarera Del Norte Sa De Cv,Quality Liquid Feeds,Shipper→Consignee,4,21321.0
Nedmag Industries Bv,"INNOVATIVE MUNICIPAL PRODUCTS US.
454 RIVER RD, GLENMONT NY12077 US",Shipper→NotifyParty,2,21302.0
Innovative Municipal Products (Us),"INNOVATIVE MUNICIPAL PRODUCTS US.
454 RIVER RD, GLENMONT NY12077 US",Consignee→NotifyParty,2,21302.0
Azucarera Del Norte Sa De Cv,"QUALITY LIQUID FEEDS
3586 STATE RD 23 NORTH, PO BOX 240 DODGEVILLE, WI 53533",Shipper→NotifyParty,2,21300.0
Quality Liquid Feeds,"QUALITY LIQUID FEEDS
3586 STATE RD 23 NORTH, PO BOX 240 DODGEVILLE, WI 53533",Consignee→NotifyParty,2,21300.0
Kobelco Constr Machinery,"KOBELCO CONSTRUCTION MACHINERY U.S.
7820 W LITTLE YORK RD, HOUSTON, TEXAS 77040, U.S.A",Shipper→NotifyParty,142,21297.51
Toyota Motor Corporation,"TOYOTA DE PUERTO RICO CORPORATION
1064 MUNOZ RIVERA AVE., RIO PIEDRAS, SAN JUANPR, SAN JUAN",Shipper→NotifyParty,16,21291.36
Toyota De Puerto Rico Corp.,"TOYOTA DE PUERTO RICO CORPORATION
1064 MUNOZ RIVERA AVE., RIO PIEDRAS, SAN JUANPR, SAN JUAN",Consignee→NotifyParty,16,21291.36
Phillips 66 International Trading,"PHILIIPS 66 COMPANY
2331 CITY WEST BLVD, HOUSTON, TX 77042",Consignee→NotifyParty,8,21290.0
Sandy Cay Development Ltd.,Calcean Minerals And Materials Llc,Shipper→Consignee,2,21281.52
Aramco Trading Co.,Valero,Shipper→Consignee,1,21271.44
Aramco Trading Co.,Valero,Shipper→NotifyParty,1,21271.44
Cnh International S A,Cali America Logistics Inc.,Shipper→Consignee,298,21267.09
Ash Grove Cement Co.,"ASH GROVE CEMENT COMPANY
1100 PORT TERMINAL ROAD, DULUTH MN55802 US",Consignee→NotifyParty,1,21257.0
Akcansa Cimento Sanayi T.A.S.,"ASH GROVE CEMENT COMPANY
1100 PORT TERMINAL ROAD, DULUTH MN55802 US",Shipper→NotifyParty,1,21257.0
Bergkvist Siljan Insjon Ab,"UNIVERSAL LOGISTICS USA INC
28954 LORAIN ROAD SUITE 101 NORTH, OLMSTED OH 44070 USA",Shipper→NotifyParty,5,21246.42
Bergkvist Siljan Insjon Ab,Qp Timber Us Llc,Shipper→Consignee,5,21246.42
Celebrity Cruises Ltd.,"JAZZ CRUISES LLC - GROUP
135 N. MERAMEC AVENUE, SUITE 500, ST. LOUIS MO63105 US",Shipper→NotifyParty,2,21240.94
Celebrity Cruises Ltd.,"JAZZ CRUISES LLC - GROUP
135 N. MERAMEC AVENUE, SUITE 500, ST. LOUIS MO63105 US",Consignee→NotifyParty,1,21240.93
Irving Oil,Vitol,Shipper→Consignee,2,21236.0
ExxonMobil,"EXXON TEAM
BDP INTERNATIONAL INC 4690 WORLD, HOUSTON PARKWAY HOUSTON TX 77032",Consignee→NotifyParty,4,21231.66
Sarnia Chemical Plant Imperial,"EXXON TEAM
BDP INTERNATIONAL INC 4690 WORLD, HOUSTON PARKWAY HOUSTON TX 77032",Shipper→NotifyParty,4,21231.66
Olympic Steel Corp.,"MASTERPIECE INTERNATIONAL
147-31 176 TH STREET 2ND FLOOR, 300 CORPORATE DRIVE, PITTSBURG PA 15108 USA",Consignee→NotifyParty,36,21231.46
Corporacion Nacional Del Cobre De Chile,Charter Brokerage Cw Logistics,Shipper→Consignee,32,21221.52
Unimacts Mfg. Mx Llc,"DAMCO USA INC (NEW YORK)
13333 BROOKVILLE BLVD, ROSEDALENY 11422, US",Consignee→NotifyParty,16,21213.18
Richardson Terminals Ltd.,The Andersons,Shipper→Consignee,2,21200.0
Quality Liquid Feeds,"EXPEDITORS CINCINNATI
200 CONNER ROAD STE 190, HEBRON, KY 41048",Consignee→NotifyParty,4,21200.0
Dead Sea Works Ltd.,"GROWMARK, INC.
1705 TOWANDA AVENUE, BLOOMINGTON, IL., USA, TEL: 309-557-6000",Shipper→NotifyParty,2,21191.86
Okuma Corporation,Okuma America Corporation,Shipper→Consignee,1309,21187.18
Louis Dreyfus Co. Sucos S.A.,"LOUIS DREYFUS COMPANY JUICES NA LLC
7680 UNIVERSAL BLVD, SUITE 680, ORLANDOFL 32819, TEUS",Shipper→NotifyParty,6,21185.39
Louis Dreyfus Co. Juices Na Llc,"LOUIS DREYFUS COMPANY JUICES NA LLC
7680 UNIVERSAL BLVD, SUITE 680, ORLANDOFL 32819, TEUS",Consignee→NotifyParty,6,21185.39
Cambria,"C.H. ROBINSON
14800 CHARLSON ROAD SUITE 400, EDEN PRAIRE MN US 55347",Consignee→NotifyParty,4,21170.68
Kaltun Madencilik Sanayi Nakliye,"C.H. ROBINSON
14800 CHARLSON ROAD SUITE 400, EDEN PRAIRE MN US 55347",Shipper→NotifyParty,4,21170.68
Nissan Canada Inc.,"1)NISSAN CANADA INC.
P.O.BOX 820,NEW WESTMINSTER B.C., 2)LIVINGSTON CUSTOMS BROKERS, VANCOUVER B.C., VANCOUVER            BC          CA",Consignee→NotifyParty,126,21161.72
Braskem S.A.,Trafigura,Shipper→Consignee,8,21160.0
Pcs Sales (Usa) Inc.,"PCS SALES USA INC.
CORPORATE 500, 500 LAKE COOK ROAD, SUITE 150, DEERFIELD, IL 60015 USA",Consignee→NotifyParty,3,21131.0
Pcs Nitrogen Trinidad Ltd.,"PCS SALES USA INC.
CORPORATE 500, 500 LAKE COOK ROAD, SUITE 150, DEERFIELD, IL 60015 USA",Shipper→NotifyParty,3,21131.0
Innovative Municipal Products (Us),"INNOVATIVE MUNCIPAL PRODUCTS INC
454 RIVER ROAD GLENMONT NY 12077, USA",Consignee→NotifyParty,2,21124.54
Nedmag Industries Bv,"INNOVATIVE MUNCIPAL PRODUCTS INC
454 RIVER ROAD GLENMONT NY 12077, USA",Shipper→NotifyParty,2,21124.54
Boscus Canada,"AXXESS INTERNATIONAL INC
AXXESS INTERNATIONAL INC 100 WALNUT, STREET USA- CHAMPLAIN  NY 12919 TE, L  518-208-4007",Consignee→NotifyParty,64,21121.05
Tervakoski Oy,"Expeditors International
2550 ELLSMERE AVE, SUITE B, NORFOLK VA US 23513

;

DELFORT USA, INC
216 3rd St. NE, # C, CHARLOTTESVILLE VA US 22902",Shipper→NotifyParty,207,21082.74
Burnswick Valley Lumber Inc.,"CUSTOMS DIRECT LLC
6901 W STRABANE TRL, SIOUX FALLSSD 57106, US",Consignee→NotifyParty,17,21076.52
Valls International Inc.,"VALLS INTERNATIONAL HOUSTON INC
711 W AREA BLVD SUIT 550 WEBSTER TX, 77689 USA",Consignee→NotifyParty,7,21072.36
Reliance Industries,Valls International Inc.,Shipper→Consignee,7,21072.36
Reliance Industries,"VALLS INTERNATIONAL HOUSTON INC
711 W AREA BLVD SUIT 550 WEBSTER TX, 77689 USA",Shipper→NotifyParty,7,21072.36
Biosphere Fuels Llc,"BIOSPHERE FUELS LLC
1111 BAGBY STREET 2350 HOUSTON TX, 77002",Consignee→NotifyParty,5,21068.85
Energy Eg Co.,Emirates Aluminium (EGA),Shipper→NotifyParty,2,21060.0
Mid American Salt Llc,Emirates Aluminium (EGA),Consignee→NotifyParty,2,21060.0
Arvedi Tubi Acciaio Sp A,Conestoga Supply Corp.,Shipper→Consignee,30,21050.02
Conestoga Supply Corp.,"GEODIS USA INC.
8210 HUMBLE-WESTFIELD RD SUITE 100, HUMBLE TX US 77338",Consignee→NotifyParty,30,21050.02
Caribbean Nitrogen Company,Calamco,Shipper→Consignee,3,21049.0
Xfert Dmcc,"E.C.O. FERTILIZERS INC
200 S PARK RD, STE 460, HOLLYWOOD, FL 33021, OPERATIONS@ECOFERT.US",Shipper→NotifyParty,2,21024.949999999997
Cnhi International S A,Cali America Logistics Inc.,Shipper→Consignee,177,21022.41
Sucden Do Brasil Ltda,"AMERICAN SUGAR REFINING INC.,
1N. CLEMATIS STREET,, WEST PALM BEACH, FLORIDA 33401",Shipper→NotifyParty,4,21013.36
