Entity_1,Entity_2,Cooccurrence_Count
Monroe Energy,Trafigura,4
Natural Oleochemicals Sdn Bhd,Wilmar Oleo Quimico S.De.Rl.De.C.V.,4
Shell,Heritage Petroleum,4
Trafigura,Gs Caltex Corporation,4
Heritage Petroleum,Chevron,4
Heritage Petroleum,Shell,4
Idemitsu Apollo,Gs Caltex Corporation,4
Gunvor Group,Citgo,4
ExxonMobil,Citgo,4
Trafigura,Ecopetrol,4
Puerto Rico Energy,Shell,4
Gs Caltex Corporation,Trafigura,4
Wilmar Oleo Quimico S.De.Rl.De.C.V.,Natural Oleochemicals Sdn Bhd,4
Chevron,Heritage Petroleum,4
Citgo,ExxonMobil,4
Citgo,Gunvor Group,4
Gs Caltex Corporation,Idemitsu Apollo,4
Puerto Rico Energy,Valero,4
Gs Caltex Corporation,Marathon Petroleum,4
PBF Energy,Petrobras,4
Ep Petroecuador,Chevron,4
Ecopetrol,Trafigura,4
Chevron,Ep Petroecuador,4
Petrobras,PBF Energy,4
Marathon Petroleum,Gs Caltex Corporation,4
Valero,Puerto Rico Energy,4
PMI Trading,BP,3
Ep Petroecuador,Valero,3
BP,PMI Trading,3
BP,Gs Caltex Corporation,3
Aramco Americas,Heritage Petroleum,3
Marathon Petroleum,Ecopetrol,3
Valero,Reliance Industries,3
Heritage Petroleum,Aramco Americas,3
Ecopetrol,Marathon Petroleum,3
Valero,Totsa Totalenergies Trading Sa,3
Suncor Energy,PBF Energy,3
Gs Caltex Corporation,BP,3
Suncor Energy,Chevron,3
Suncor Energy,BP,3
Valero,Ep Petroecuador,3
Reliance Industries,Valero,3
PBF Energy,Suncor Energy,3
BP,Suncor Energy,3
Totsa Totalenergies Trading Sa,Valero,3
Chevron,Suncor Energy,3
Valero,Irving Oil,2
Valero,Petropiar,2
Suncor Energy,ExxonMobil,2
Gs Caltex Corporation,Valero,2
Emirates Aluminium (EGA),Trafigura,2
State Oil Marketing Company (SOMO),Abu Dhabi National Oil Company,2
ExxonMobil,Suncor Energy,2
ExxonMobil,Vitol,2
ExxonMobil,Trafigura,2
Vitol,Irving Oil,2
BP,Trafigura,2
Vitol,ExxonMobil,2
BP,Chevron,2
Trafigura,BP,2
Valero,Petrobras,2
Chevron,Citgo,2
Chevron,Petrobras,2
Trafigura,ExxonMobil,2
Medcem Global,Argos Usa,2
Trafigura,Emirates Aluminium (EGA),2
PMI Trading,Aramco Americas,2
Trafigura,Novum Energy Trading Corp.,2
Aramco Americas,PMI Trading,2
Vulcan Materials,Orca Sand and Gravel,2
Petropiar,Valero,2
Aramco Americas,Ecopetrol,2
Houston Refining,Chevron,2
Novum Energy Trading Corp.,Trafigura,2
Chevron,Houston Refining,2
Orca Sand and Gravel,Vulcan Materials,2
Irving Oil,Valero,2
Ecopetrol,Aramco Americas,2
Petrobras,Chevron,2
Chevron,BP,2
Petrobras,Valero,2
Citgo,Chevron,2
Marathon Petroleum,Totsa Totalenergies Trading Sa,2
Valero,Gs Caltex Corporation,2
Irving Oil,Vitol,2
Abu Dhabi National Oil Company,State Oil Marketing Company (SOMO),2
Totsa Totalenergies Trading Sa,Marathon Petroleum,2
Argos Usa,Medcem Global,2
Vitol,Diamond Green Diesel Llc,1
ExxonMobil,Monroe Energy,1
ExxonMobil,Novum Energy Trading Corp.,1
BP,Citgo,1
Shell,Ecopetrol,1
Vitol,Petrobras,1
Novum Energy Trading Corp.,Citgo,1
PBF Energy,Chevron,1
Petrobras,Vitol,1
Chevron,Novum Energy Trading Corp.,1
Diamond Green Diesel Llc,Vitol,1
Chevron,PBF Energy,1
PMI Trading,Puerto Rico Energy,1
Novum Energy Trading Corp.,Chevron,1
Novum Energy Trading Corp.,ExxonMobil,1
Puerto Rico Energy,PMI Trading,1
Monroe Energy,ExxonMobil,1
Citgo,BP,1
Citgo,Novum Energy Trading Corp.,1
Ecopetrol,Shell,1
