Stage_1_RAW_Column,Stage_2_PREPROCESSED_Column,Stage_3_CLASSIFIED_Column,Status,RAW_Sample_Value,PREPROCESSED_Sample_Value,CLASSIFIED_Sample_Value,Transformation,Notes
Report 4,N/A,N/A,DROPPED,,,,Dropped,
Report 5,N/A,N/A,DROPPED,,,,Dropped,
Report 6,N/A,N/A,DROPPED,,,,Dropped,
Shipment Destination,Destination (D),Destination (D),KEPT,"Houston, Houston, Texas",Virgin Islands (U.S.),"Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",Renamed,
Shipment Destination Region,N/A,N/A,DROPPED,Southwest Region,,,Dropped,
Shipment Origin,Origin (F),Origin (F),KEPT,Thailand,Puerto Rico,Canada,Renamed,
Shipper,Shipper,Shipper,KEPT,Viking Life Saving Equipment,Pet Products Associates,Sarnia Chemical Plant Imperial,Kept,
Shipper (Original Format),Shipper (Original Format),Shipper (Original Format),KEPT,"VIKING LIFE SAVING EQUIPMENT
PINTONG INDUSTRIAL ESTATE
789 128 178 MOO 1 NONGKHAM
CHONBURY THBONNIE ","PET PRODUCTS ASSOCIATES
PO BOX 2558
GUAYNABO PR 009702558
TE787-790-7380","SARNIA CHEMICAL PLANT IMPERIAL
602 S CHRISTINA ST SARNIA ON N7T
7M5",Kept,
Shipper Address,N/A,N/A,DROPPED,"38/21,38/43 Moo 5",,,Dropped,
Shipper City,N/A,N/A,DROPPED,Si Racha,,,Dropped,
Shipper Country,N/A,N/A,DROPPED,United States,,,Dropped,
Shipper D-U-N-S®,N/A,N/A,DROPPED,131489817.0,,,Dropped,
Shipper Domestic HQ,N/A,N/A,DROPPED,Shell Petroleum Group,,,Dropped,
Shipper Domestic HQ Address,N/A,N/A,DROPPED,"900 Louisiana Street, South Houston, TX 77587, USA",,,Dropped,
Shipper Domestic HQ D-U-N-S®,N/A,N/A,DROPPED,131489817.0,,,Dropped,
Shipper Email 1,N/A,N/A,DROPPED,emheidi.heslin@us.dsv.com,,,Dropped,
Shipper Email 2,N/A,N/A,DROPPED,emricky.tinsley@shell.com,,,Dropped,
Shipper Email 3,N/A,N/A,DROPPED,ema.yanaga@mitsui.com,,,Dropped,
Shipper Employees,N/A,N/A,DROPPED,90.0,,,Dropped,
Shipper Fax,N/A,N/A,DROPPED,+58 212 7084661,,,Dropped,
Shipper Full Address,N/A,N/A,DROPPED,"38/21,38/43 Moo 5, Si Racha 20230, Thailand",,,Dropped,
Shipper Global HQ,N/A,N/A,DROPPED,Valero Energy,,,Dropped,
Shipper Global HQ Address,N/A,N/A,DROPPED,"One Valero Way, San Antonio Texas 78249, United States",,,Dropped,
Shipper Global HQ D-U-N-S®,N/A,N/A,DROPPED,,,,Dropped,
Shipper Incorporation Year,N/A,N/A,DROPPED,2002.0,,,Dropped,
Shipper Industry,N/A,N/A,DROPPED,Chemicals,,,Dropped,
Shipper MI Key,N/A,N/A,DROPPED,8734802.0,,,Dropped,
Shipper Market Capitalization,N/A,N/A,DROPPED,76352393139.11,,,Dropped,
Shipper Phone 1,N/A,N/A,DROPPED,+1 242 351 9200,,,Dropped,
Shipper Phone 2,N/A,N/A,DROPPED,+60 3 3375 1288,,,Dropped,
Shipper Phone 3,N/A,N/A,DROPPED,+60 603337336,,,Dropped,
Shipper Postal Code,N/A,N/A,DROPPED,20230,,,Dropped,
Shipper Profile,N/A,N/A,DROPPED,https://panjiva.com/Viking-Life-Saving-Equipment/158754915,,,Dropped,
Shipper Revenue,N/A,N/A,DROPPED,9158114.0,,,Dropped,
Shipper SIC Codes,Shipper SIC Codes,Shipper SIC Codes,KEPT,5541,"2899, 3469, 5012, 5013, 5169, 5999",4213,Kept,
Shipper SPCIQ ID,N/A,N/A,DROPPED,423075008.0,,,Dropped,
Shipper State/Region,N/A,N/A,DROPPED,Delaware,,,Dropped,
Shipper Stock Tickers,N/A,N/A,DROPPED,"OTCPK:MITS.Y, TSE:8031",,,Dropped,
Shipper Trade Roles,N/A,N/A,DROPPED,Manufacturer,,,Dropped,
Shipper Ultimate Parent,N/A,N/A,DROPPED,Claus Sørensens Fond Holding A/S,,,Dropped,
Shipper Ultimate Parent Headquarters Address,N/A,N/A,DROPPED,"Auktionsgade 6-8, Esbjerg Region of Southern Denmark 6700, Denmark",,,Dropped,
Shipper Ultimate Parent MI Key,N/A,N/A,DROPPED,8343019.0,,,Dropped,
Shipper Ultimate Parent Profile,N/A,N/A,DROPPED,https://panjiva.com/Claus-S-rensens-Fond-Holding-A-S/56987237,,,Dropped,
Shipper Ultimate Parent SPCIQ ID,N/A,N/A,DROPPED,242836490.0,,,Dropped,
Shipper Ultimate Parent Stock Tickers,N/A,N/A,DROPPED,NasdaqGS:CHRW,,,Dropped,
Shipper Ultimate Parent Website,N/A,N/A,DROPPED,www.csfond.dk,,,Dropped,
Shipper Unified,N/A,N/A,DROPPED,,,,Dropped,
Shipper Website 1,N/A,N/A,DROPPED,pdvsa.com,,,Dropped,
Shipper Website 2,N/A,N/A,DROPPED,,,,Dropped,
Transport Method,N/A,N/A,DROPPED,Maritime,,,Dropped,
Value of Goods (USD),Value,Value,KEPT,12000.0,2100.0,128724000.0,Renamed,
Vessel,Vessel,Vessel,KEPT,PORTO CHELI,BONNIE G,YM SATURN,Kept,
Vessel IMO,IMO,IMO,KEPT,9563706.0,8023864.0,9362138,Renamed,
Vessel Voyage ID,Voyage,Voyage,KEPT,346W,BG90,24609,Renamed,
Volume (Container TEU),N/A,N/A,DROPPED,,,,Dropped,
Volume (TEU),N/A,N/A,DROPPED,,,,Dropped,
Weight (Original Format),Weight (Original Format),Weight (Original Format),KEPT,750 KG,1000 L,8117803 KG,Kept,
Weight (kg),Kilos,Kilos,KEPT,750.0,453.59238,8117803.0,Renamed,
Weight (t),Tons,Tons,KEPT,0.75,0.45,8117.8,Renamed,
_source_dir,N/A,N/A,DROPPED,us_gulf,,,Dropped,
_source_file,N/A,N/A,DROPPED,Panjiva-US_Imports-all-results_1_to_2638_of_2638-2025-12-03-11-09.csv,,,Dropped,
N/A,Cargo,Cargo,ADDED IN PREPROCESSING,,,TBN,Added,Added during preprocessing (derived/engineered)
N/A,Cargo Detail,Cargo Detail,ADDED IN PREPROCESSING,,,TBN,Added,Added during preprocessing (derived/engineered)
N/A,Carrier Name,Carrier Name,ADDED IN PREPROCESSING,,"FSHP - Formel, Stevenson Freight Services Llc",MAET - Maersk Tankers,Added,Added during preprocessing (derived/engineered)
N/A,Commodity,Commodity,ADDED IN PREPROCESSING,,,TBN,Added,Added during preprocessing (derived/engineered)
N/A,DWT,DWT,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Filter,Filter,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Group,Group,ADDED IN PREPROCESSING,,,Liquid Bulk,Added,Added during preprocessing (derived/engineered)
N/A,HS2,HS2,ADDED IN PREPROCESSING,,23.0,87,Added,Added during preprocessing (derived/engineered)
N/A,HS4,HS4,ADDED IN PREPROCESSING,,2309.0,8703,Added,Added during preprocessing (derived/engineered)
N/A,HS6,HS6,ADDED IN PREPROCESSING,,230910.0,870390,Added,Added during preprocessing (derived/engineered)
N/A,Note,Note,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Pckg,Pckg,ADDED IN PREPROCESSING,,PKG,LBK,Added,Added during preprocessing (derived/engineered)
N/A,Port_Coast,Port_Coast,ADDED IN PREPROCESSING,,East,Gulf,Added,Added during preprocessing (derived/engineered)
N/A,Port_Code,Port_Code,ADDED IN PREPROCESSING,,5101.0,2004,Added,Added during preprocessing (derived/engineered)
N/A,Port_Consolidated,Port_Consolidated,ADDED IN PREPROCESSING,,Virgin Islands,New Orleans,Added,Added during preprocessing (derived/engineered)
N/A,Port_Region,Port_Region,ADDED IN PREPROCESSING,,Caribbean,Gulf East,Added,Added during preprocessing (derived/engineered)
N/A,RAW_REC_ID,RAW_REC_ID,ADDED IN PREPROCESSING,,PANV-20260112-00106392,PANV-20260112-00010001,Added,Added during preprocessing (derived/engineered)
N/A,Report_Four,Report_Four,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Report_One,Report_One,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Report_Three,Report_Three,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Report_Two,Report_Two,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,Type,Type,ADDED IN PREPROCESSING,,,,Added,Added during preprocessing (derived/engineered)
N/A,N/A,Cargo_Detail_Locked,ADDED IN CLASSIFICATION,,,FALSE,Added,Added during classification (lock flags / metadata)
N/A,N/A,Cargo_Locked,ADDED IN CLASSIFICATION,,,FALSE,Added,Added during classification (lock flags / metadata)
N/A,N/A,Classified_Phase,ADDED IN CLASSIFICATION,,,1,Added,Added during classification (lock flags / metadata)
N/A,N/A,Commodity_Locked,ADDED IN CLASSIFICATION,,,FALSE,Added,Added during classification (lock flags / metadata)
N/A,N/A,Group_Locked,ADDED IN CLASSIFICATION,,,TRUE,Added,Added during classification (lock flags / metadata)
N/A,N/A,Last_Rule_ID,ADDED IN CLASSIFICATION,,,CARR-MAET,Added,Added during classification (lock flags / metadata)
N/A,N/A,Vessel_Type_Simple,ADDED IN CLASSIFICATION,,,Tanker,Added,Added during classification (lock flags / metadata)
